cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_hogares_;2001_vehículo_automotor_tiene;2001_vehículo_automotor_no_tiene;2001_bicicleta_tiene;2001_bicicleta_no_tiene;2001_motocicleta_o_cuatratrack_tiene;2001_motocicleta_o_cuatratrack_no_tiene;2012_total_hogares;2012_vehículo_automotor_tiene;2012_vehículo_automotor_no_tiene;2012_bicicleta_tiene;2012_bicicleta_no_tiene;2012_motocicleta_o_cuatratrack_tiene;2012_motocicleta_o_cuatratrack_no_tiene;2012_carreta_o_carreton_tiene;2012_carreta_o_carreton_no_tiene;2012_deslizador_balsa_canoa_o_bote_tiene;2012_deslizador_balsa_canoa_o_bote_no_tiene;2024_total_hogares_;2024_vehículo_automotor_tiene;2024_vehículo_automotor_no_tiene;2024_vehículo_automotor_sin_especificar;2024_bicicleta_tiene;2024_bicicleta_no_tiene;2024_bicicleta_sin_especificar;2024_motocicleta_o_cuatratrack_tiene;2024_motocicleta_o_cuatratrack_no_tiene;2024_motocicleta_o_cuatratrack_sin_especificar;2024_carreta_o_carreton_tiene;2024_carreta_o_carreton_no_tiene;2024_carreta_o_carreton_sin_especificar;2024_deslizador_balsa_canoa_o_bote_tiene;2024_deslizador_balsa_canoa_o_bote_no_tiene;2024_deslizador_balsa_canoa_o_bote_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2326;303;Provincia;La Paz;Inquisivi;;Rural;14,155;193;13,962;2,066;12,089;653;13,502;16,598;1,354;15,244;2,430;14,168;2,212;14,386;509;16,089;24;16,574;24,752;4,210;19,498;1,044;3,482;20,240;1,030;4,891;18,817;1,044;1,113;22,594;1,045;135;23,570;1,047
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2327;304;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Inquisivi;4,091;37;4,054;364;3,727;80;4,011;4,894;177;4,717;616;4,278;437;4,457;77;4,817;4;4,890;7,144;1,037;5,825;282;745;6,123;276;1,395;5,468;281;306;6,556;282;30;6,831;283
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2328;305;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2329;306;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Rural;4,091;37;4,054;364;3,727;80;4,011;4,894;177;4,717;616;4,278;437;4,457;77;4,817;4;4,890;7,144;1,037;5,825;282;745;6,123;276;1,395;5,468;281;306;6,556;282;30;6,831;283
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2330;307;Municipio/TIOC;La Paz;Inquisivi;Quime;Quime;2,305;72;2,233;272;2,033;120;2,185;3,387;401;2,986;307;3,080;267;3,120;206;3,181;9;3,378;4,434;959;3,314;161;583;3,691;160;493;3,780;161;210;4,063;161;26;4,247;161
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2331;308;Municipio/TIOC;La Paz;Inquisivi;Quime;Urbana;732;38;694;125;607;30;702;1,158;179;979;153;1,005;128;1,030;95;1,063;0;1,158;1,610;454;1,090;66;357;1,188;65;226;1,318;66;95;1,449;66;14;1,530;66
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2332;309;Municipio/TIOC;La Paz;Inquisivi;Quime;Rural;1,573;34;1,539;147;1,426;90;1,483;2,229;222;2,007;154;2,075;139;2,090;111;2,118;9;2,220;2,824;505;2,224;95;226;2,503;95;267;2,462;95;115;2,614;95;12;2,717;95
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2333;310;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Cajuata;1,925;55;1,870;353;1,572;294;1,631;3,019;386;2,633;462;2,557;1,072;1,947;190;2,829;3;3,016;5,809;1,450;4,091;268;1,059;4,485;265;2,327;3,215;267;322;5,220;267;59;5,482;268
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2334;311;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Urbana;;;;;;;;;;;;;;;;;;;706;117;552;37;113;558;35;236;434;36;40;630;36;7;662;37
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2335;312;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Rural;1,925;55;1,870;353;1,572;294;1,631;3,019;386;2,633;462;2,557;1,072;1,947;190;2,829;3;3,016;5,103;1,333;3,539;231;946;3,927;230;2,091;2,781;231;282;4,590;231;52;4,820;231
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2336;313;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Colquiri;4,953;82;4,871;986;3,967;197;4,756;5,830;911;4,919;1,115;4,715;877;4,953;145;5,685;11;5,819;7,870;1,933;5,578;359;1,469;6,047;354;1,290;6,220;360;311;7,199;360;56;7,453;361
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2337;314;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Urbana;1,049;52;997;318;731;141;908;1,728;486;1,242;316;1,412;515;1,213;72;1,656;5;1,723;2,222;1,001;1,159;62;543;1,617;62;581;1,579;62;81;2,079;62;37;2,122;63
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2338;315;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Rural;3,904;30;3,874;668;3,236;56;3,848;4,102;425;3,677;799;3,303;362;3,740;73;4,029;6;4,096;5,648;932;4,419;297;926;4,430;292;709;4,641;298;230;5,120;298;19;5,331;298
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2339;316;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Ichoca;1,924;17;1,907;431;1,493;36;1,888;1,695;101;1,594;312;1,383;81;1,614;30;1,665;0;1,695;3,455;297;3,068;90;544;2,824;87;172;3,193;90;138;3,226;91;18;3,346;91
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2340;317;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Urbana;;;;;;;;;;;;;;;;;;;480;60;406;14;93;374;13;33;433;14;39;426;15;6;459;15
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2341;318;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Rural;1,924;17;1,907;431;1,493;36;1,888;1,695;101;1,594;312;1,383;81;1,614;30;1,665;0;1,695;2,975;237;2,662;76;451;2,450;74;139;2,760;76;99;2,800;76;12;2,887;76
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2342;319;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Villa Libertad Licoma;738;20;718;103;635;97;641;1,021;84;937;166;855;216;805;35;986;2;1,019;1,871;370;1,396;105;445;1,321;105;596;1,170;105;132;1,635;104;21;1,744;106
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2343;320;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Urbana;;;;;;;;362;41;321;79;283;95;267;7;355;0;362;813;204;567;42;257;514;42;306;465;42;51;721;41;11;760;42
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2344;321;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Rural;738;20;718;103;635;97;641;659;43;616;87;572;121;538;28;631;2;657;1,058;166;829;63;188;807;63;290;705;63;81;914;63;10;984;64
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2345;322;Provincia;La Paz;Sur Yungas;;Sur Yungas;17,566;652;16,914;3,400;14,166;553;17,013;37,770;5,464;32,306;3,849;33,921;4,389;33,381;2,975;34,795;287;37,483;49,680;15,232;32,942;1,506;6,408;41,789;1,483;10,410;37,763;1,507;2,473;45,694;1,513;668;47,501;1,511
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2346;323;Provincia;La Paz;Sur Yungas;;Urbana;1,461;124;1,337;523;938;67;1,394;3,806;614;3,192;546;3,260;739;3,067;684;3,122;35;3,771;6,744;2,242;4,256;246;1,321;5,176;247;1,594;4,902;248;551;5,945;248;99;6,397;248
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2347;324;Provincia;La Paz;Sur Yungas;;Rural;16,105;528;15,577;2,877;13,228;486;15,619;33,964;4,850;29,114;3,303;30,661;3,650;30,314;2,291;31,673;252;33,712;42,936;12,990;28,686;1,260;5,087;36,613;1,236;8,816;32,861;1,259;1,922;39,749;1,265;569;41,104;1,263
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2348;325;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Chulumani;3,734;164;3,570;704;3,030;102;3,632;6,079;880;5,199;831;5,248;405;5,674;368;5,711;14;6,065;7,214;1,903;5,110;201;1,056;5,960;198;813;6,201;200;302;6,711;201;74;6,938;202
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2349;326;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Urbana;752;67;685;171;581;27;725;760;122;638;126;634;31;729;43;717;0;760;1,081;283;749;49;193;839;49;92;940;49;74;958;49;11;1,021;49
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2350;327;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Rural;2,982;97;2,885;533;2,449;75;2,907;5,319;758;4,561;705;4,614;374;4,945;325;4,994;14;5,305;6,133;1,620;4,361;152;863;5,121;149;721;5,261;151;228;5,753;152;63;5,917;153
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2351;328;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Irupana;3,624;137;3,487;366;3,258;165;3,459;6,499;908;5,591;716;5,783;606;5,893;267;6,232;3;6,496;9,458;2,627;6,513;318;1,266;7,875;317;1,517;7,622;319;425;8,713;320;93;9,045;320
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2352;329;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Urbana;;;;;;;;;;;;;;;;;;;1,372;419;880;73;240;1,059;73;196;1,103;73;49;1,250;73;18;1,281;73
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2353;330;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Rural;3,624;137;3,487;366;3,258;165;3,459;6,499;908;5,591;716;5,783;606;5,893;267;6,232;3;6,496;8,086;2,208;5,633;245;1,026;6,816;244;1,321;6,519;246;376;7,463;247;75;7,764;247
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2354;331;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Yanacachi;1,188;52;1,136;136;1,052;12;1,176;2,308;439;1,869;345;1,963;210;2,098;60;2,248;2;2,306;2,998;668;2,239;91;471;2,437;90;411;2,496;91;106;2,801;91;28;2,879;91
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2355;332;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2356;333;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Rural;1,188;52;1,136;136;1,052;12;1,176;2,308;439;1,869;345;1,963;210;2,098;60;2,248;2;2,306;2,998;668;2,239;91;471;2,437;90;411;2,496;91;106;2,801;91;28;2,879;91
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2357;334;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Palos Blancos;4,248;185;4,063;1,552;2,696;123;4,125;9,246;1,452;7,794;1,104;8,142;1,633;7,613;1,724;7,522;205;9,041;11,630;3,864;7,406;360;1,697;9,575;358;3,737;7,531;362;1,074;10,194;362;312;10,958;360
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2358;335;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Urbana;709;57;652;352;357;40;669;2,037;330;1,707;323;1,714;606;1,431;546;1,491;18;2,019;2,994;1,037;1,882;75;658;2,260;76;1,115;1,802;77;362;2,556;76;47;2,871;76
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2359;336;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Rural;3,539;128;3,411;1,200;2,339;83;3,456;7,209;1,122;6,087;781;6,428;1,027;6,182;1,178;6,031;187;7,022;8,636;2,827;5,524;285;1,039;7,315;282;2,622;5,729;285;712;7,638;286;265;8,087;284
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2360;337;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;La Asunta;4,772;114;4,658;642;4,130;151;4,621;13,638;1,785;11,853;853;12,785;1,535;12,103;556;13,082;63;13,575;18,380;6,170;11,674;536;1,918;15,942;520;3,932;13,913;535;566;17,275;539;161;17,681;538
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2361;338;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Urbana;;;;;;;;1,009;162;847;97;912;102;907;95;914;17;992;1,297;503;745;49;230;1,018;49;191;1,057;49;66;1,181;50;23;1,224;50
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2362;339;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Rural;4,772;114;4,658;642;4,130;151;4,621;12,629;1,623;11,006;756;11,873;1,433;11,196;461;12,168;46;12,583;17,083;5,667;10,929;487;1,688;14,924;471;3,741;12,856;486;500;16,094;489;138;16,457;488
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2363;340;Provincia;La Paz;Los Andes;;Los Andes;19,728;498;19,230;6,395;13,333;218;19,510;27,292;3,536;23,756;13,227;14,065;931;26,361;3,374;23,918;1,436;25,856;46,763;9,943;34,985;1,835;19,637;25,328;1,798;5,650;39,283;1,830;6,765;38,161;1,837;1,340;43,581;1,842
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2364;341;Provincia;La Paz;Los Andes;;Urbana;;;;;;;;700;244;456;398;302;18;682;308;392;2;698;12,755;3,162;9,113;480;4,813;7,471;471;770;11,505;480;1,663;10,608;484;89;12,182;484
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2365;342;Provincia;La Paz;Los Andes;;Rural;19,728;498;19,230;6,395;13,333;218;19,510;26,592;3,292;23,300;12,829;13,763;913;25,679;3,066;23,526;1,434;25,158;34,008;6,781;25,872;1,355;14,824;17,857;1,327;4,880;27,778;1,350;5,102;27,553;1,353;1,251;31,399;1,358
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2366;343;Municipio/TIOC;La Paz;Los Andes;Pucarani;Pucarani;7,081;229;6,852;1,976;5,105;123;6,958;11,121;1,394;9,727;5,628;5,493;642;10,479;1,163;9,958;572;10,549;21,459;4,397;16,201;861;8,911;11,696;852;3,430;17,169;860;2,985;17,612;862;423;20,171;865
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2367;344;Municipio/TIOC;La Paz;Los Andes;Pucarani;Urbana;;;;;;;;;;;;;;;;;;;7,346;1,566;5,442;338;2,408;4,604;334;462;6,546;338;843;6,164;339;45;6,962;339
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2368;345;Municipio/TIOC;La Paz;Los Andes;Pucarani;Rural;7,081;229;6,852;1,976;5,105;123;6,958;11,121;1,394;9,727;5,628;5,493;642;10,479;1,163;9,958;572;10,549;14,113;2,831;10,759;523;6,503;7,092;518;2,968;10,623;522;2,142;11,448;523;378;13,209;526
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2369;346;Municipio/TIOC;La Paz;Los Andes;Laja;Laja;4,457;80;4,377;1,618;2,839;16;4,441;7,761;1,044;6,717;3,718;4,043;152;7,609;473;7,288;22;7,739;13,613;3,162;9,959;492;5,887;7,243;483;1,255;11,868;490;1,760;11,362;491;64;13,057;492
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2370;347;Municipio/TIOC;La Paz;Los Andes;Laja;Urbana;;;;;;;;;;;;;;;;;;;4,394;1,217;3,059;118;1,831;2,450;113;229;4,048;117;514;3,762;118;35;4,241;118
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2371;348;Municipio/TIOC;La Paz;Los Andes;Laja;Rural;4,457;80;4,377;1,618;2,839;16;4,441;7,761;1,044;6,717;3,718;4,043;152;7,609;473;7,288;22;7,739;9,219;1,945;6,900;374;4,056;4,793;370;1,026;7,820;373;1,246;7,600;373;29;8,816;374
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2372;349;Municipio/TIOC;La Paz;Los Andes;Batallas;Batallas;5,739;171;5,568;2,072;3,667;75;5,664;6,062;899;5,163;3,140;2,922;123;5,939;1,408;4,654;43;6,019;8,503;1,929;6,237;337;3,819;4,362;322;874;7,292;337;1,590;6,572;341;63;8,098;342
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2373;350;Municipio/TIOC;La Paz;Los Andes;Batallas;Urbana;;;;;;;;700;244;456;398;302;18;682;308;392;2;698;1,015;379;612;24;574;417;24;79;911;25;306;682;27;9;979;27
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2374;351;Municipio/TIOC;La Paz;Los Andes;Batallas;Rural;5,739;171;5,568;2,072;3,667;75;5,664;5,362;655;4,707;2,742;2,620;105;5,257;1,100;4,262;41;5,321;7,488;1,550;5,625;313;3,245;3,945;298;795;6,381;312;1,284;5,890;314;54;7,119;315
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2375;352;Municipio/TIOC;La Paz;Los Andes;Puerto Pérez;Puerto Pérez;2,451;18;2,433;729;1,722;4;2,447;2,348;199;2,149;741;1,607;14;2,334;330;2,018;799;1,549;3,188;455;2,588;145;1,020;2,027;141;91;2,954;143;430;2,615;143;790;2,255;143
