cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_total_hogares_;numero_de_viviendas_refrigerador_o_congelador_tiene;numero_de_viviendas_refrigerador_o_congelador_no_tiene;numero_de_viviendas_refrigerador_o_congelador_sin_especificar;numero_de_viviendas_microondas_tiene;numero_de_viviendas_microondas_no_tiene;numero_de_viviendas_microondas_sin_especificar;numero_de_viviendas_calefon_o_termotanque_tiene;numero_de_viviendas_calefon_o_termotanque_no_tiene;numero_de_viviendas_calefon_o_termotanque_sin_especificar;numero_de_viviendas_aire_acondicionado_tiene;numero_de_viviendas_aire_acondicionado_no_tiene;numero_de_viviendas_aire_acondicionado_sin_especificar;numero_de_viviendas_lavadora_de_ropa_tiene;numero_de_viviendas_lavadora_de_ropa_no_tiene;numero_de_viviendas_lavadora_de_ropa_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2431;408;Provincia;La Paz;Manco Kapac;;Rural;8,949;1,210;7,462;277;169;8,503;277;87;8,584;278;23;8,649;277;149;8,522;278
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2432;409;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Copacabana;6,817;1,340;5,237;240;283;6,294;240;109;6,467;241;25;6,552;240;294;6,282;241
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2433;410;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Urbana;2,502;800;1,600;102;214;2,186;102;69;2,331;102;19;2,381;102;239;2,161;102
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2434;411;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Rural;4,315;540;3,637;138;69;4,108;138;40;4,136;139;6;4,171;138;55;4,121;139
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2435;412;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;3,631;639;2,883;109;93;3,429;109;42;3,480;109;15;3,507;109;88;3,434;109
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2436;413;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2437;414;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Rural;3,631;639;2,883;109;93;3,429;109;42;3,480;109;15;3,507;109;88;3,434;109
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2438;415;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Tito Yupanqui;1,474;98;1,317;59;16;1,399;59;12;1,403;59;5;1,410;59;26;1,389;59
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2439;416;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Urbana;471;67;375;29;9;433;29;7;435;29;3;439;29;20;422;29
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2440;417;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Rural;1,003;31;942;30;7;966;30;5;968;30;2;971;30;6;967;30
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;7,253;394;6,514;345;56;6,853;344;48;6,860;345;23;6,886;344;78;6,830;345
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;7,253;394;6,514;345;56;6,853;344;48;6,860;345;23;6,886;344;78;6,830;345
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2444;421;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;3,484;188;3,095;201;30;3,253;201;20;3,262;202;13;3,270;201;34;3,248;202
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2445;422;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2446;423;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;3,484;188;3,095;201;30;3,253;201;20;3,262;202;13;3,270;201;34;3,248;202
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2447;424;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;2,888;175;2,591;122;23;2,744;121;19;2,748;121;7;2,760;121;44;2,723;121
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2448;425;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2449;426;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Rural;2,888;175;2,591;122;23;2,744;121;19;2,748;121;7;2,760;121;44;2,723;121
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2450;427;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;881;31;828;22;3;856;22;9;850;22;3;856;22;0;859;22
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2451;428;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2452;429;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Rural;881;31;828;22;3;856;22;9;850;22;3;856;22;0;859;22
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2453;430;Provincia;La Paz;General José Manuel Pando;;General José Manuel Pando;4,651;181;4,307;163;24;4,463;164;35;4,452;164;11;4,476;164;52;4,435;164
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2454;431;Provincia;La Paz;General José Manuel Pando;;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2455;432;Provincia;La Paz;General José Manuel Pando;;Rural;4,651;181;4,307;163;24;4,463;164;35;4,452;164;11;4,476;164;52;4,435;164
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2456;433;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;2,956;147;2,707;102;16;2,838;102;28;2,826;102;7;2,847;102;44;2,810;102
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2457;434;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2458;435;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Rural;2,956;147;2,707;102;16;2,838;102;28;2,826;102;7;2,847;102;44;2,810;102
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2459;436;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Catacora;1,695;34;1,600;61;8;1,625;62;7;1,626;62;4;1,629;62;8;1,625;62
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2460;437;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2461;438;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Rural;1,695;34;1,600;61;8;1,625;62;7;1,626;62;4;1,629;62;8;1,625;62
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2462;439;Provincia;La Paz;Caranavi;;Caranavi;25,572;9,802;14,996;774;787;24,014;771;327;24,475;770;330;24,468;774;1,549;23,249;774
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2463;440;Provincia;La Paz;Caranavi;;Urbana;7,802;4,503;2,986;313;557;6,934;311;166;7,325;311;215;7,274;313;1,174;6,317;311
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2464;441;Provincia;La Paz;Caranavi;;Rural;17,770;5,299;12,010;461;230;17,080;460;161;17,150;459;115;17,194;461;375;16,932;463
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2465;442;Municipio/TIOC;La Paz;Caranavi;Caranavi;Caranavi;21,081;8,301;12,088;692;745;19,647;689;267;20,125;689;306;20,082;693;1,435;18,953;693
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2466;443;Municipio/TIOC;La Paz;Caranavi;Caranavi;Urbana;7,802;4,503;2,986;313;557;6,934;311;166;7,325;311;215;7,274;313;1,174;6,317;311
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2467;444;Municipio/TIOC;La Paz;Caranavi;Caranavi;Rural;13,279;3,798;9,102;379;188;12,713;378;101;12,800;378;91;12,808;380;261;12,636;382
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2468;445;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Alto Beni;4,491;1,501;2,908;82;42;4,367;82;60;4,350;81;24;4,386;81;114;4,296;81
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2469;446;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2470;447;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Rural;4,491;1,501;2,908;82;42;4,367;82;60;4,350;81;24;4,386;81;114;4,296;81
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2471;448;Departamento;Cochabamba;;;Cochabamba;675,064;406,777;248,054;20,233;133,955;520,889;20,220;55,186;599,645;20,233;10,018;644,805;20,241;165,173;489,644;20,247
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2472;449;Departamento;Cochabamba;;;Urbana;442,960;344,788;87,110;11,062;128,049;303,858;11,053;52,353;379,556;11,051;8,500;423,405;11,055;156,858;275,045;11,057
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2473;450;Departamento;Cochabamba;;;Rural;232,104;61,989;160,944;9,171;5,906;217,031;9,167;2,833;220,089;9,182;1,518;221,400;9,186;8,315;214,599;9,190
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2474;451;Provincia;Cochabamba;Cercado;;Cercado;212,273;171,417;35,901;4,955;75,153;132,165;4,955;35,178;172,141;4,954;4,069;203,250;4,954;87,834;119,485;4,954
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2475;452;Provincia;Cochabamba;Cercado;;Urbana;212,257;171,417;35,885;4,955;75,153;132,149;4,955;35,178;172,125;4,954;4,069;203,234;4,954;87,834;119,469;4,954
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2476;453;Provincia;Cochabamba;Cercado;;Rural;16;0;16;0;0;16;0;0;16;0;0;16;0;0;16;0
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2477;454;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Cochabamba;212,273;171,417;35,901;4,955;75,153;132,165;4,955;35,178;172,141;4,954;4,069;203,250;4,954;87,834;119,485;4,954
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2478;455;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Urbana;212,257;171,417;35,885;4,955;75,153;132,149;4,955;35,178;172,125;4,954;4,069;203,234;4,954;87,834;119,469;4,954
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2479;456;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Rural;16;0;16;0;0;16;0;0;16;0;0;16;0;0;16;0
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2480;457;Provincia;Cochabamba;Campero;;Campero;10,796;4,303;6,023;470;806;9,521;469;170;10,156;470;52;10,274;470;982;9,344;470
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2481;458;Provincia;Cochabamba;Campero;;Urbana;3,351;2,294;960;97;625;2,630;96;114;3,141;96;20;3,235;96;779;2,476;96
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2482;459;Provincia;Cochabamba;Campero;;Rural;7,445;2,009;5,063;373;181;6,891;373;56;7,015;374;32;7,039;374;203;6,868;374
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2483;460;Municipio/TIOC;Cochabamba;Campero;Aiquile;Aiquile;7,123;2,891;3,913;319;657;6,148;318;146;6,658;319;29;6,775;319;787;6,017;319
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2484;461;Municipio/TIOC;Cochabamba;Campero;Aiquile;Urbana;2,680;1,902;707;71;583;2,027;70;112;2,498;70;18;2,592;70;711;1,899;70
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2485;462;Municipio/TIOC;Cochabamba;Campero;Aiquile;Rural;4,443;989;3,206;248;74;4,121;248;34;4,160;249;11;4,183;249;76;4,118;249
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2486;463;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Pasorapa;1,753;419;1,256;78;42;1,633;78;4;1,671;78;2;1,673;78;68;1,607;78
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2487;464;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Urbana;671;392;253;26;42;603;26;2;643;26;2;643;26;68;577;26
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2488;465;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Rural;1,082;27;1,003;52;0;1,030;52;2;1,028;52;0;1,030;52;0;1,030;52
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2489;466;Municipio/TIOC;Cochabamba;Campero;Omereque;Omereque;1,920;993;854;73;107;1,740;73;20;1,827;73;21;1,826;73;127;1,720;73
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2490;467;Municipio/TIOC;Cochabamba;Campero;Omereque;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2491;468;Municipio/TIOC;Cochabamba;Campero;Omereque;Rural;1,920;993;854;73;107;1,740;73;20;1,827;73;21;1,826;73;127;1,720;73
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2492;469;Provincia;Cochabamba;Ayopaya;;Ayopaya;21,034;1,768;18,314;952;185;19,898;951;129;19,954;951;40;20,042;952;333;19,746;955
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2493;470;Provincia;Cochabamba;Ayopaya;;Urbana;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2494;471;Provincia;Cochabamba;Ayopaya;;Rural;21,034;1,768;18,314;952;185;19,898;951;129;19,954;951;40;20,042;952;333;19,746;955
