cuadro;no;nivel;departamento;provincia;municipio_tioc;area;total_incritos_en_servicio_de_registro_civil;total_incritos_en_servicio_de_registro_civil_tiene;total_incritos_en_servicio_de_registro_civil_no_tiene;total_incritos_en_servicio_de_registro_civil_sin_especificar;total_tenencia_de_cedula_de_identidad_total;total_tenencia_de_cedula_de_identidad_tiene;total_tenencia_de_cedula_de_identidad_no_tiene;total_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;total_tenencia_de_cedula_de_identidad_sin_especificar;"total_inscritos_en_servicio_de_registro_civil_
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"total_tenencia_de_cedula_de_identidad
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";hombres_incritos_en_servicio_de_registro_civil_total;hombres_incritos_en_servicio_de_registro_civil_tiene;hombres_incritos_en_servicio_de_registro_civil_no_tiene;hombres_incritos_en_servicio_de_registro_civil_sin_especificar;hombres_tenencia_de_cedula_de_identidad_total;hombres_tenencia_de_cedula_de_identidad_tiene;hombres_tenencia_de_cedula_de_identidad_no_tiene;hombres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;hombres_tenencia_de_cedula_de_identidad_sin_especificar;"hombres_inscritos_en_servicio_de_registro_civil_
()_tiene";"hombres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"hombres_tenencia_de_cedula_de_identidad
()_tiene";"hombres_tenencia_de_cedula_de_identidad
()_no_tiene";mujeres_incritos_en_servicio_de_registro_civil_total;mujeres_incritos_en_servicio_de_registro_civil_tiene;mujeres_incritos_en_servicio_de_registro_civil_no_tiene;mujeres_incritos_en_servicio_de_registro_civil_sin_especificar;mujeres_tenencia_de_cedula_de_identidad_total;mujeres_tenencia_de_cedula_de_identidad_tiene;mujeres_tenencia_de_cedula_de_identidad_no_tiene;mujeres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;mujeres_tenencia_de_cedula_de_identidad_sin_especificar;"mujeres_inscritos_en_servicio_de_registro_civil_
()_tiene";"mujeres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_no_tiene"
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2227;204;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Rural;17,336;17,200;40;96;17,336;17,146;70;17;103;99.8;0.2;99.6;0.4;9,000;8,937;22;41;9,000;8,912;34;10;44;99.8;0.2;99.6;0.4;8,336;8,263;18;55;8,336;8,234;36;7;59;99.8;0.2;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2228;205;Municipio/TIOC;La Paz;Camacho;Humanata;Humanata;5,658;5,634;7;17;5,658;5,618;19;0;21;99.9;0.1;99.7;0.3;2,925;2,912;4;9;2,925;2,902;10;0;13;99.9;0.1;99.7;0.3;2,733;2,722;3;8;2,733;2,716;9;0;8;99.9;0.1;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2229;206;Municipio/TIOC;La Paz;Camacho;Humanata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2230;207;Municipio/TIOC;La Paz;Camacho;Humanata;Rural;5,658;5,634;7;17;5,658;5,618;19;0;21;99.9;0.1;99.7;0.3;2,925;2,912;4;9;2,925;2,902;10;0;13;99.9;0.1;99.7;0.3;2,733;2,722;3;8;2,733;2,716;9;0;8;99.9;0.1;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2231;208;Municipio/TIOC;La Paz;Camacho;Escoma;Escoma;8,837;8,766;29;42;8,837;8,741;44;7;45;99.7;0.3;99.5;0.5;4,461;4,421;14;26;4,461;4,411;19;2;29;99.7;0.3;99.6;0.4;4,376;4,345;15;16;4,376;4,330;25;5;16;99.7;0.3;99.4;0.6
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2232;209;Municipio/TIOC;La Paz;Camacho;Escoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2233;210;Municipio/TIOC;La Paz;Camacho;Escoma;Rural;8,837;8,766;29;42;8,837;8,741;44;7;45;99.7;0.3;99.5;0.5;4,461;4,421;14;26;4,461;4,411;19;2;29;99.7;0.3;99.6;0.4;4,376;4,345;15;16;4,376;4,330;25;5;16;99.7;0.3;99.4;0.6
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2234;211;Provincia;La Paz;Muñecas;;Muñecas;33,580;33,126;189;265;33,580;32,977;295;27;281;99.4;0.6;99.1;0.9;17,696;17,468;98;130;17,696;17,393;152;13;138;99.4;0.6;99.1;0.9;15,884;15,658;91;135;15,884;15,584;143;14;143;99.4;0.6;99.1;0.9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2235;212;Provincia;La Paz;Muñecas;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2236;213;Provincia;La Paz;Muñecas;;Rural;33,580;33,126;189;265;33,580;32,977;295;27;281;99.4;0.6;99.1;0.9;17,696;17,468;98;130;17,696;17,393;152;13;138;99.4;0.6;99.1;0.9;15,884;15,658;91;135;15,884;15,584;143;14;143;99.4;0.6;99.1;0.9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2237;214;Municipio/TIOC;La Paz;Muñecas;Chuma;Chuma;17,830;17,588;112;130;17,830;17,532;145;17;136;99.4;0.6;99.2;0.8;9,271;9,142;67;62;9,271;9,117;83;6;65;99.3;0.7;99.1;0.9;8,559;8,446;45;68;8,559;8,415;62;11;71;99.5;0.5;99.3;0.7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2238;215;Municipio/TIOC;La Paz;Muñecas;Chuma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2239;216;Municipio/TIOC;La Paz;Muñecas;Chuma;Rural;17,830;17,588;112;130;17,830;17,532;145;17;136;99.4;0.6;99.2;0.8;9,271;9,142;67;62;9,271;9,117;83;6;65;99.3;0.7;99.1;0.9;8,559;8,446;45;68;8,559;8,415;62;11;71;99.5;0.5;99.3;0.7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2240;217;Municipio/TIOC;La Paz;Muñecas;Ayata;Ayata;9,029;8,870;52;107;9,029;8,829;82;4;114;99.4;0.6;99.1;0.9;4,772;4,696;21;55;4,772;4,671;36;4;61;99.6;0.4;99.2;0.8;4,257;4,174;31;52;4,257;4,158;46;0;53;99.3;0.7;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2241;218;Municipio/TIOC;La Paz;Muñecas;Ayata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2242;219;Municipio/TIOC;La Paz;Muñecas;Ayata;Rural;9,029;8,870;52;107;9,029;8,829;82;4;114;99.4;0.6;99.1;0.9;4,772;4,696;21;55;4,772;4,671;36;4;61;99.6;0.4;99.2;0.8;4,257;4,174;31;52;4,257;4,158;46;0;53;99.3;0.7;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2243;220;Municipio/TIOC;La Paz;Muñecas;Aucapata;Aucapata;6,721;6,668;25;28;6,721;6,616;68;6;31;99.6;0.4;99.0;1.0;3,653;3,630;10;13;3,653;3,605;33;3;12;99.7;0.3;99.1;0.9;3,068;3,038;15;15;3,068;3,011;35;3;19;99.5;0.5;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2244;221;Municipio/TIOC;La Paz;Muñecas;Aucapata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2245;222;Municipio/TIOC;La Paz;Muñecas;Aucapata;Rural;6,721;6,668;25;28;6,721;6,616;68;6;31;99.6;0.4;99.0;1.0;3,653;3,630;10;13;3,653;3,605;33;3;12;99.7;0.3;99.1;0.9;3,068;3,038;15;15;3,068;3,011;35;3;19;99.5;0.5;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2246;223;Provincia;La Paz;Larecaja;;Larecaja;106,921;105,391;1,009;521;106,921;104,820;1,196;292;613;99.1;0.9;98.9;1.1;56,591;55,690;623;278;56,591;55,357;674;212;348;98.9;1.1;98.8;1.2;50,330;49,701;386;243;50,330;49,463;522;80;265;99.2;0.8;99.0;1.0
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2247;224;Provincia;La Paz;Larecaja;;Urbana;24,170;23,769;287;114;24,170;23,586;354;80;150;98.8;1.2;98.5;1.5;11,986;11,755;174;57;11,986;11,651;198;54;83;98.5;1.5;98.3;1.7;12,184;12,014;113;57;12,184;11,935;156;26;67;99.1;0.9;98.7;1.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2248;225;Provincia;La Paz;Larecaja;;Rural;82,751;81,622;722;407;82,751;81,234;842;212;463;99.1;0.9;99.0;1.0;44,605;43,935;449;221;44,605;43,706;476;158;265;99.0;1.0;98.9;1.1;38,146;37,687;273;186;38,146;37,528;366;54;198;99.3;0.7;99.0;1.0
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2249;226;Municipio/TIOC;La Paz;Larecaja;Sorata;Sorata;30,083;29,802;144;137;30,083;29,680;205;37;161;99.5;0.5;99.3;0.7;15,291;15,133;87;71;15,291;15,061;126;17;87;99.4;0.6;99.2;0.8;14,792;14,669;57;66;14,792;14,619;79;20;74;99.6;0.4;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2250;227;Municipio/TIOC;La Paz;Larecaja;Sorata;Urbana;3,951;3,905;30;16;3,951;3,891;29;9;22;99.2;0.8;99.3;0.7;1,749;1,727;14;8;1,749;1,720;13;5;11;99.2;0.8;99.3;0.7;2,202;2,178;16;8;2,202;2,171;16;4;11;99.3;0.7;99.3;0.7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2251;228;Municipio/TIOC;La Paz;Larecaja;Sorata;Rural;26,132;25,897;114;121;26,132;25,789;176;28;139;99.6;0.4;99.3;0.7;13,542;13,406;73;63;13,542;13,341;113;12;76;99.5;0.5;99.2;0.8;12,590;12,491;41;58;12,590;12,448;63;16;63;99.7;0.3;99.5;0.5
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2252;229;Municipio/TIOC;La Paz;Larecaja;Guanay;Guanay;16,386;16,181;121;84;16,386;16,098;161;35;92;99.3;0.7;99.0;1.0;8,758;8,646;69;43;8,758;8,601;89;22;46;99.2;0.8;99.0;1.0;7,628;7,535;52;41;7,628;7,497;72;13;46;99.3;0.7;99.1;0.9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2253;230;Municipio/TIOC;La Paz;Larecaja;Guanay;Urbana;4,562;4,506;38;18;4,562;4,469;53;16;24;99.2;0.8;98.8;1.2;2,239;2,209;21;9;2,239;2,191;28;8;12;99.1;0.9;98.7;1.3;2,323;2,297;17;9;2,323;2,278;25;8;12;99.3;0.7;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2254;231;Municipio/TIOC;La Paz;Larecaja;Guanay;Rural;11,824;11,675;83;66;11,824;11,629;108;19;68;99.3;0.7;99.1;0.9;6,519;6,437;48;34;6,519;6,410;61;14;34;99.3;0.7;99.1;0.9;5,305;5,238;35;32;5,305;5,219;47;5;34;99.3;0.7;99.1;0.9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2255;232;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Tacacoma;9,761;9,664;45;52;9,761;9,620;75;4;62;99.5;0.5;99.2;0.8;5,161;5,116;20;25;5,161;5,088;38;1;34;99.6;0.4;99.3;0.7;4,600;4,548;25;27;4,600;4,532;37;3;28;99.5;0.5;99.2;0.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2256;233;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2257;234;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Rural;9,761;9,664;45;52;9,761;9,620;75;4;62;99.5;0.5;99.2;0.8;5,161;5,116;20;25;5,161;5,088;38;1;34;99.6;0.4;99.3;0.7;4,600;4,548;25;27;4,600;4,532;37;3;28;99.5;0.5;99.2;0.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2258;235;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Quiabaya;4,224;4,183;19;22;4,224;4,165;37;0;22;99.5;0.5;99.1;0.9;2,181;2,156;9;16;2,181;2,147;20;0;14;99.6;0.4;99.1;0.9;2,043;2,027;10;6;2,043;2,018;17;0;8;99.5;0.5;99.2;0.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2259;236;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2260;237;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Rural;4,224;4,183;19;22;4,224;4,165;37;0;22;99.5;0.5;99.1;0.9;2,181;2,156;9;16;2,181;2,147;20;0;14;99.6;0.4;99.1;0.9;2,043;2,027;10;6;2,043;2,018;17;0;8;99.5;0.5;99.2;0.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2261;238;Municipio/TIOC;La Paz;Larecaja;Combaya;Combaya;3,529;3,486;6;37;3,529;3,476;8;2;43;99.8;0.2;99.8;0.2;1,852;1,830;2;20;1,852;1,822;3;2;25;99.9;0.1;99.8;0.2;1,677;1,656;4;17;1,677;1,654;5;0;18;99.8;0.2;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2262;239;Municipio/TIOC;La Paz;Larecaja;Combaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2263;240;Municipio/TIOC;La Paz;Larecaja;Combaya;Rural;3,529;3,486;6;37;3,529;3,476;8;2;43;99.8;0.2;99.8;0.2;1,852;1,830;2;20;1,852;1,822;3;2;25;99.9;0.1;99.8;0.2;1,677;1,656;4;17;1,677;1,654;5;0;18;99.8;0.2;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2264;241;Municipio/TIOC;La Paz;Larecaja;Tipuani;Tipuani;7,716;7,590;82;44;7,716;7,556;97;14;49;98.9;1.1;98.7;1.3;4,240;4,175;43;22;4,240;4,156;54;6;24;99.0;1.0;98.7;1.3;3,476;3,415;39;22;3,476;3,400;43;8;25;98.9;1.1;98.8;1.2
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2265;242;Municipio/TIOC;La Paz;Larecaja;Tipuani;Urbana;2,352;2,308;29;15;2,352;2,295;31;7;19;98.8;1.2;98.7;1.3;1,242;1,220;17;5;1,242;1,214;18;3;7;98.6;1.4;98.5;1.5;1,110;1,088;12;10;1,110;1,081;13;4;12;98.9;1.1;98.8;1.2
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2266;243;Municipio/TIOC;La Paz;Larecaja;Tipuani;Rural;5,364;5,282;53;29;5,364;5,261;66;7;30;99.0;1.0;98.8;1.2;2,998;2,955;26;17;2,998;2,942;36;3;17;99.1;0.9;98.8;1.2;2,366;2,327;27;12;2,366;2,319;30;4;13;98.9;1.1;98.7;1.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2267;244;Municipio/TIOC;La Paz;Larecaja;Mapiri;Mapiri;21,843;21,427;338;78;21,843;21,250;418;78;97;98.4;1.6;98.1;1.9;11,798;11,542;210;46;11,798;11,436;241;58;63;98.2;1.8;97.9;2.1;10,045;9,885;128;32;10,045;9,814;177;20;34;98.7;1.3;98.2;1.8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2268;245;Municipio/TIOC;La Paz;Larecaja;Mapiri;Urbana;10,342;10,148;144;50;10,342;10,053;202;19;68;98.6;1.4;98.0;2.0;5,280;5,161;89;30;5,280;5,102;119;14;45;98.3;1.7;97.7;2.3;5,062;4,987;55;20;5,062;4,951;83;5;23;98.9;1.1;98.4;1.6
