cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_total;2012_total_tiene;2012_total_no_tiene;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_cedula_boliviana_de_extranjero;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_cedula_boliviana_de_extranjero;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_cedula_boliviana_de_extranjero;2024_mujeres_sin_especificar
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2295;272;Municipio/TIOC;La Paz;Ingavi;Desaguadero;Urbana;4,065;3,412;653;2,017;1,675;342;2,048;1,737;311;4,906;4,745;95;42;24;2,447;2,370;46;21;10;2,459;2,375;49;21;14
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2296;273;Municipio/TIOC;La Paz;Ingavi;Desaguadero;Rural;2,922;2,535;387;1,449;1,250;199;1,473;1,285;188;2,991;2,967;13;2;9;1,465;1,453;8;0;4;1,526;1,514;5;2;5
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2297;274;Municipio/TIOC;La Paz;Ingavi;La (Marka) San Andrés de Machaca;La (Marka) San Andrés de Machaca;6,145;5,441;704;3,085;2,739;346;3,060;2,702;358;7,936;7,788;74;12;62;4,046;3,967;36;8;35;3,890;3,821;38;4;27
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2298;275;Municipio/TIOC;La Paz;Ingavi;La (Marka) San Andrés de Machaca;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2299;276;Municipio/TIOC;La Paz;Ingavi;La (Marka) San Andrés de Machaca;Rural;6,145;5,441;704;3,085;2,739;346;3,060;2,702;358;7,936;7,788;74;12;62;4,046;3,967;36;8;35;3,890;3,821;38;4;27
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2300;277;Municipio/TIOC;La Paz;Ingavi;Jesús de Machaka;Jesús de Machaka;15,039;13,513;1,526;7,448;6,707;741;7,591;6,806;785;17,016;16,878;58;12;68;8,536;8,459;33;10;34;8,480;8,419;25;2;34
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2301;278;Municipio/TIOC;La Paz;Ingavi;Jesús de Machaka;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2302;279;Municipio/TIOC;La Paz;Ingavi;Jesús de Machaka;Rural;15,039;13,513;1,526;7,448;6,707;741;7,591;6,806;785;17,016;16,878;58;12;68;8,536;8,459;33;10;34;8,480;8,419;25;2;34
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2303;280;Municipio/TIOC;La Paz;Ingavi;Taraco;Taraco;6,603;6,032;571;3,310;3,014;296;3,293;3,018;275;7,540;7,506;15;3;16;3,626;3,608;8;1;9;3,914;3,898;7;2;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2304;281;Municipio/TIOC;La Paz;Ingavi;Taraco;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2305;282;Municipio/TIOC;La Paz;Ingavi;Taraco;Rural;6,603;6,032;571;3,310;3,014;296;3,293;3,018;275;7,540;7,506;15;3;16;3,626;3,608;8;1;9;3,914;3,898;7;2;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2306;283;Provincia;La Paz;Loayza;;Loayza;47,473;40,818;6,655;24,404;21,053;3,351;23,069;19,765;3,304;58,391;57,578;469;76;268;30,335;29,920;244;32;139;28,056;27,658;225;44;129
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2307;284;Provincia;La Paz;Loayza;;Urbana;;;;;;;;;;2,219;2,187;21;4;7;1,324;1,307;10;2;5;895;880;11;2;2
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2308;285;Provincia;La Paz;Loayza;;Rural;47,473;40,818;6,655;24,404;21,053;3,351;23,069;19,765;3,304;56,172;55,391;448;72;261;29,011;28,613;234;30;134;27,161;26,778;214;42;127
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2309;286;Municipio/TIOC;La Paz;Loayza;Luribay;Luribay;11,139;10,024;1,115;5,685;5,126;559;5,454;4,898;556;10,703;10,562;72;10;59;5,464;5,384;41;5;34;5,239;5,178;31;5;25
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2310;287;Municipio/TIOC;La Paz;Loayza;Luribay;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2311;288;Municipio/TIOC;La Paz;Loayza;Luribay;Rural;11,139;10,024;1,115;5,685;5,126;559;5,454;4,898;556;10,703;10,562;72;10;59;5,464;5,384;41;5;34;5,239;5,178;31;5;25
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2312;289;Municipio/TIOC;La Paz;Loayza;Sapahaqui;Sapahaqui;12,484;10,502;1,982;6,309;5,293;1,016;6,175;5,209;966;16,497;16,293;118;20;66;8,322;8,225;51;8;38;8,175;8,068;67;12;28
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2313;290;Municipio/TIOC;La Paz;Loayza;Sapahaqui;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2314;291;Municipio/TIOC;La Paz;Loayza;Sapahaqui;Rural;12,484;10,502;1,982;6,309;5,293;1,016;6,175;5,209;966;16,497;16,293;118;20;66;8,322;8,225;51;8;38;8,175;8,068;67;12;28
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2315;292;Municipio/TIOC;La Paz;Loayza;Yaco;Yaco;7,315;6,362;953;3,804;3,351;453;3,511;3,011;500;12,296;12,139;77;15;65;6,560;6,483;40;6;31;5,736;5,656;37;9;34
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2316;293;Municipio/TIOC;La Paz;Loayza;Yaco;Urbana;;;;;;;;;;2,219;2,187;21;4;7;1,324;1,307;10;2;5;895;880;11;2;2
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2317;294;Municipio/TIOC;La Paz;Loayza;Yaco;Rural;7,315;6,362;953;3,804;3,351;453;3,511;3,011;500;10,077;9,952;56;11;58;5,236;5,176;30;4;26;4,841;4,776;26;7;32
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2318;295;Municipio/TIOC;La Paz;Loayza;Malla;Malla;5,180;4,332;848;2,703;2,287;416;2,477;2,045;432;5,297;5,178;80;5;34;2,884;2,822;46;2;14;2,413;2,356;34;3;20
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2319;296;Municipio/TIOC;La Paz;Loayza;Malla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2320;297;Municipio/TIOC;La Paz;Loayza;Malla;Rural;5,180;4,332;848;2,703;2,287;416;2,477;2,045;432;5,297;5,178;80;5;34;2,884;2,822;46;2;14;2,413;2,356;34;3;20
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2321;298;Municipio/TIOC;La Paz;Loayza;Cairoma;Cairoma;11,355;9,598;1,757;5,903;4,996;907;5,452;4,602;850;13,598;13,406;122;26;44;7,105;7,006;66;11;22;6,493;6,400;56;15;22
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2322;299;Municipio/TIOC;La Paz;Loayza;Cairoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2323;300;Municipio/TIOC;La Paz;Loayza;Cairoma;Rural;11,355;9,598;1,757;5,903;4,996;907;5,452;4,602;850;13,598;13,406;122;26;44;7,105;7,006;66;11;22;6,493;6,400;56;15;22
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2324;301;Provincia;La Paz;Inquisivi;;Inquisivi;66,462;54,572;11,890;35,510;29,479;6,031;30,952;25,093;5,859;86,065;84,879;621;108;457;45,650;45,016;325;65;244;40,415;39,863;296;43;213
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2325;302;Provincia;La Paz;Inquisivi;;Urbana;11,443;9,803;1,640;5,918;5,097;821;5,525;4,706;819;18,791;18,529;133;13;116;9,468;9,329;68;3;68;9,323;9,200;65;10;48
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2326;303;Provincia;La Paz;Inquisivi;;Rural;55,019;44,769;10,250;29,592;24,382;5,210;25,427;20,387;5,040;67,274;66,350;488;95;341;36,182;35,687;257;62;176;31,092;30,663;231;33;165
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2327;304;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Inquisivi;14,717;10,973;3,744;7,889;6,009;1,880;6,828;4,964;1,864;18,679;18,446;169;14;50;10,079;9,958;87;7;27;8,600;8,488;82;7;23
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2328;305;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2329;306;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Rural;14,717;10,973;3,744;7,889;6,009;1,880;6,828;4,964;1,864;18,679;18,446;169;14;50;10,079;9,958;87;7;27;8,600;8,488;82;7;23
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2330;307;Municipio/TIOC;La Paz;Inquisivi;Quime;Quime;8,266;7,072;1,194;4,535;3,900;635;3,731;3,172;559;10,887;10,726;69;30;62;6,084;5,989;36;24;35;4,803;4,737;33;6;27
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2331;308;Municipio/TIOC;La Paz;Inquisivi;Quime;Urbana;3,131;2,648;483;1,462;1,208;254;1,669;1,440;229;4,473;4,386;43;5;39;2,185;2,135;23;2;25;2,288;2,251;20;3;14
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2332;309;Municipio/TIOC;La Paz;Inquisivi;Quime;Rural;5,135;4,424;711;3,073;2,692;381;2,062;1,732;330;6,414;6,340;26;25;23;3,899;3,854;13;22;10;2,515;2,486;13;3;13
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2333;310;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Cajuata;10,458;8,529;1,929;5,479;4,478;1,001;4,979;4,051;928;15,565;15,323;159;23;60;8,016;7,895;81;14;26;7,549;7,428;78;9;34
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2334;311;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Urbana;;;;;;;;;;2,110;2,089;14;1;6;1,067;1,056;8;0;3;1,043;1,033;6;1;3
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2335;312;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Rural;10,458;8,529;1,929;5,479;4,478;1,001;4,979;4,051;928;13,455;13,234;145;22;54;6,949;6,839;73;14;23;6,506;6,395;72;8;31
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2336;313;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Colquiri;19,620;16,421;3,199;10,585;8,999;1,586;9,035;7,422;1,613;23,505;23,216;88;15;186;12,386;12,241;42;8;95;11,119;10,975;46;7;91
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2337;314;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Urbana;5,972;5,019;953;3,252;2,787;465;2,720;2,232;488;6,610;6,564;18;2;26;3,462;3,444;6;0;12;3,148;3,120;12;2;14
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2338;315;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Rural;13,648;11,402;2,246;7,333;6,212;1,121;6,315;5,190;1,125;16,895;16,652;70;13;160;8,924;8,797;36;8;83;7,971;7,855;34;5;77
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2339;316;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Ichoca;7,913;6,632;1,281;4,162;3,516;646;3,751;3,116;635;9,552;9,440;58;5;49;5,128;5,065;35;2;26;4,424;4,375;23;3;23
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2340;317;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Urbana;;;;;;;;;;2,072;2,040;18;0;14;1,072;1,053;12;0;7;1,000;987;6;0;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2341;318;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Rural;7,913;6,632;1,281;4,162;3,516;646;3,751;3,116;635;7,480;7,400;40;5;35;4,056;4,012;23;2;19;3,424;3,388;17;3;16
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2342;319;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Villa Libertad Licoma;5,488;4,945;543;2,860;2,577;283;2,628;2,368;260;7,877;7,728;78;21;50;3,957;3,868;44;10;35;3,920;3,860;34;11;15
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2343;320;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Urbana;2,340;2,136;204;1,204;1,102;102;1,136;1,034;102;3,526;3,450;40;5;31;1,682;1,641;19;1;21;1,844;1,809;21;4;10
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2344;321;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Rural;3,148;2,809;339;1,656;1,475;181;1,492;1,334;158;4,351;4,278;38;16;19;2,275;2,227;25;9;14;2,076;2,051;13;7;5
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2345;322;Provincia;La Paz;Sur Yungas;;Sur Yungas;106,428;86,034;20,394;56,485;46,078;10,407;49,943;39,956;9,987;121,921;120,226;974;127;594;64,107;63,188;517;66;336;57,814;57,038;457;61;258
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2346;323;Provincia;La Paz;Sur Yungas;;Urbana;9,908;8,200;1,708;4,848;3,988;860;5,060;4,212;848;15,871;15,662;112;21;76;7,682;7,566;57;14;45;8,189;8,096;55;7;31
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2347;324;Provincia;La Paz;Sur Yungas;;Rural;96,520;77,834;18,686;51,637;42,090;9,547;44,883;35,744;9,139;106,050;104,564;862;106;518;56,425;55,622;460;52;291;49,625;48,942;402;54;227
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2348;325;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Chulumani;17,823;14,717;3,106;8,962;7,377;1,585;8,861;7,340;1,521;18,303;18,089;108;11;95;9,123;9,012;51;6;54;9,180;9,077;57;5;41
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2349;326;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Urbana;2,066;1,731;335;992;825;167;1,074;906;168;2,597;2,567;11;3;16;1,248;1,231;4;2;11;1,349;1,336;7;1;5
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2350;327;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Rural;15,757;12,986;2,771;7,970;6,552;1,418;7,787;6,434;1,353;15,706;15,522;97;8;79;7,875;7,781;47;4;43;7,831;7,741;50;4;36
