cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_total_tiene;2001_total_no_tiene;2001_total_sin_especificar;2001_hombres_total;2001_hombres_tiene;2001_hombres_no_tiene;2001_hombres_sin_especificar;2001_mujeres_total;2001_mujeres_tiene;2001_mujeres_no_tiene;2001_mujeres_sin_especificar;2012_total;2012_total_tiene;2012_total_no_tiene;2012_total_sin_especificar;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_hombres_sin_especificar;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2012_mujeres_sin_especificar;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_sin_especificar
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2440;417;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Rural;2,213;2,018;147;48;1,029;945;61;23;1,184;1,073;86;25;2,802;2,698;102;2;1,362;1,320;42;0;1,440;1,378;60;2;3,890;3,830;45;15;2,055;2,026;22;7;1,835;1,804;23;8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;15,722;14,581;692;449;8,262;7,718;317;227;7,460;6,863;375;222;17,865;17,702;147;16;9,486;9,406;71;9;8,379;8,296;76;7;17,918;17,734;55;129;9,544;9,455;20;69;8,374;8,279;35;60
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;15,722;14,581;692;449;8,262;7,718;317;227;7,460;6,863;375;222;17,865;17,702;147;16;9,486;9,406;71;9;8,379;8,296;76;7;17,918;17,734;55;129;9,544;9,455;20;69;8,374;8,279;35;60
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2444;421;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;8,103;7,471;341;291;4,253;3,951;159;143;3,850;3,520;182;148;8,858;8,799;53;6;4,697;4,666;27;4;4,161;4,133;26;2;9,217;9,089;36;92;4,896;4,839;12;45;4,321;4,250;24;47
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2445;422;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2446;423;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;8,103;7,471;341;291;4,253;3,951;159;143;3,850;3,520;182;148;8,858;8,799;53;6;4,697;4,666;27;4;4,161;4,133;26;2;9,217;9,089;36;92;4,896;4,839;12;45;4,321;4,250;24;47
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2447;424;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;6,053;5,653;283;117;3,162;2,976;124;62;2,891;2,677;159;55;7,003;6,925;69;9;3,703;3,668;31;4;3,300;3,257;38;5;6,649;6,604;17;28;3,558;3,532;7;19;3,091;3,072;10;9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2448;425;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2449;426;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Rural;6,053;5,653;283;117;3,162;2,976;124;62;2,891;2,677;159;55;7,003;6,925;69;9;3,703;3,668;31;4;3,300;3,257;38;5;6,649;6,604;17;28;3,558;3,532;7;19;3,091;3,072;10;9
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2450;427;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;1,566;1,457;68;41;847;791;34;22;719;666;34;19;2,004;1,978;25;1;1,086;1,072;13;1;918;906;12;0;2,052;2,041;2;9;1,090;1,084;1;5;962;957;1;4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2451;428;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2452;429;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Rural;1,566;1,457;68;41;847;791;34;22;719;666;34;19;2,004;1,978;25;1;1,086;1,072;13;1;918;906;12;0;2,052;2,041;2;9;1,090;1,084;1;5;962;957;1;4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2453;430;Provincia;La Paz;General José Manuel Pando;;General José Manuel Pando;6,137;5,814;217;106;3,088;2,942;96;50;3,049;2,872;121;56;7,474;7,372;85;17;3,835;3,779;46;10;3,639;3,593;39;7;12,156;11,811;274;71;6,182;5,997;143;42;5,974;5,814;131;29
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2454;431;Provincia;La Paz;General José Manuel Pando;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2455;432;Provincia;La Paz;General José Manuel Pando;;Rural;6,137;5,814;217;106;3,088;2,942;96;50;3,049;2,872;121;56;7,474;7,372;85;17;3,835;3,779;46;10;3,639;3,593;39;7;12,156;11,811;274;71;6,182;5,997;143;42;5,974;5,814;131;29
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2456;433;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;4,402;4,185;140;77;2,180;2,083;61;36;2,222;2,102;79;41;4,593;4,563;26;4;2,347;2,332;12;3;2,246;2,231;14;1;6,805;6,736;31;38;3,408;3,370;18;20;3,397;3,366;13;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2457;434;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2458;435;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Rural;4,402;4,185;140;77;2,180;2,083;61;36;2,222;2,102;79;41;4,593;4,563;26;4;2,347;2,332;12;3;2,246;2,231;14;1;6,805;6,736;31;38;3,408;3,370;18;20;3,397;3,366;13;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2459;436;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Catacora;1,735;1,629;77;29;908;859;35;14;827;770;42;15;2,881;2,809;59;13;1,488;1,447;34;7;1,393;1,362;25;6;5,351;5,075;243;33;2,774;2,627;125;22;2,577;2,448;118;11
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2460;437;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2461;438;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Rural;1,735;1,629;77;29;908;859;35;14;827;770;42;15;2,881;2,809;59;13;1,488;1,447;34;7;1,393;1,362;25;6;5,351;5,075;243;33;2,774;2,627;125;22;2,577;2,448;118;11
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2462;439;Provincia;La Paz;Caranavi;;Caranavi;51,153;46,512;3,431;1,210;28,092;25,760;1,693;639;23,061;20,752;1,738;571;61,524;60,185;1,241;98;32,720;32,048;622;50;28,804;28,137;619;48;70,261;69,637;366;258;36,797;36,463;204;130;33,464;33,174;162;128
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2463;440;Provincia;La Paz;Caranavi;;Urbana;12,083;10,958;899;226;6,354;5,798;437;119;5,729;5,160;462;107;13,299;13,164;113;22;6,927;6,861;53;13;6,372;6,303;60;9;20,847;20,685;67;95;10,523;10,436;38;49;10,324;10,249;29;46
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2464;441;Provincia;La Paz;Caranavi;;Rural;39,070;35,554;2,532;984;21,738;19,962;1,256;520;17,332;15,592;1,276;464;48,225;47,021;1,128;76;25,793;25,187;569;37;22,432;21,834;559;39;49,414;48,952;299;163;26,274;26,027;166;81;23,140;22,925;133;82
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2465;442;Municipio/TIOC;La Paz;Caranavi;Caranavi;Caranavi;43,060;39,161;2,874;1,025;23,466;21,520;1,406;540;19,594;17,641;1,468;485;50,330;49,191;1,061;78;26,515;25,951;526;38;23,815;23,240;535;40;59,676;59,126;322;228;31,048;30,758;180;110;28,628;28,368;142;118
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2466;443;Municipio/TIOC;La Paz;Caranavi;Caranavi;Urbana;12,083;10,958;899;226;6,354;5,798;437;119;5,729;5,160;462;107;13,299;13,164;113;22;6,927;6,861;53;13;6,372;6,303;60;9;20,847;20,685;67;95;10,523;10,436;38;49;10,324;10,249;29;46
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2467;444;Municipio/TIOC;La Paz;Caranavi;Caranavi;Rural;30,977;28,203;1,975;799;17,112;15,722;969;421;13,865;12,481;1,006;378;37,031;36,027;948;56;19,588;19,090;473;25;17,443;16,937;475;31;38,829;38,441;255;133;20,525;20,322;142;61;18,304;18,119;113;72
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2468;445;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Alto Beni;8,093;7,351;557;185;4,626;4,240;287;99;3,467;3,111;270;86;11,194;10,994;180;20;6,205;6,097;96;12;4,989;4,897;84;8;10,585;10,511;44;30;5,749;5,705;24;20;4,836;4,806;20;10
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2469;446;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2470;447;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Rural;8,093;7,351;557;185;4,626;4,240;287;99;3,467;3,111;270;86;11,194;10,994;180;20;6,205;6,097;96;12;4,989;4,897;84;8;10,585;10,511;44;30;5,749;5,705;24;20;4,836;4,806;20;10
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2471;448;Departamento;Cochabamba;;;Cochabamba;1,455,711;1,347,000;74,349;34,362;719,153;667,799;34,636;16,718;736,558;679,201;39,713;17,644;1,762,761;1,730,767;27,424;4,570;869,388;853,280;13,828;2,280;893,373;877,487;13,596;2,290;2,016,357;1,996,329;13,654;6,374;993,286;982,733;7,186;3,367;1,023,071;1,013,596;6,468;3,007
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2472;449;Departamento;Cochabamba;;;Urbana;856,409;804,795;33,958;17,656;412,345;387,995;15,922;8,428;444,064;416,800;18,036;9,228;1,200,912;1,185,114;13,733;2,065;580,178;572,200;6,951;1,027;620,734;612,914;6,782;1,038;1,421,617;1,406,801;11,201;3,615;684,548;676,804;5,859;1,885;737,069;729,997;5,342;1,730
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2473;450;Departamento;Cochabamba;;;Rural;599,302;542,205;40,391;16,706;306,808;279,804;18,714;8,290;292,494;262,401;21,677;8,416;561,849;545,653;13,691;2,505;289,210;281,080;6,877;1,253;272,639;264,573;6,814;1,252;594,740;589,528;2,453;2,759;308,738;305,929;1,327;1,482;286,002;283,599;1,126;1,277
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2474;451;Provincia;Cochabamba;Cercado;;Cercado;517,024;486,262;20,424;10,338;247,449;232,982;9,564;4,903;269,575;253,280;10,860;5,435;632,013;624,526;6,570;917;304,677;300,884;3,335;458;327,336;323,642;3,235;459;665,505;658,439;5,541;1,525;319,373;315,662;2,948;763;346,132;342,777;2,593;762
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2475;452;Provincia;Cochabamba;Cercado;;Urbana;516,683;485,958;20,395;10,330;247,294;232,843;9,551;4,900;269,389;253,115;10,844;5,430;632,013;624,526;6,570;917;304,677;300,884;3,335;458;327,336;323,642;3,235;459;665,482;658,416;5,541;1,525;319,358;315,647;2,948;763;346,124;342,769;2,593;762
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2476;453;Provincia;Cochabamba;Cercado;;Rural;341;304;29;8;155;139;13;3;186;165;16;5;;;;;;;;;;;;;23;23;0;0;15;15;0;0;8;8;0;0
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2477;454;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Cochabamba;517,024;486,262;20,424;10,338;247,449;232,982;9,564;4,903;269,575;253,280;10,860;5,435;632,013;624,526;6,570;917;304,677;300,884;3,335;458;327,336;323,642;3,235;459;665,505;658,439;5,541;1,525;319,373;315,662;2,948;763;346,132;342,777;2,593;762
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2478;455;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Urbana;516,683;485,958;20,395;10,330;247,294;232,843;9,551;4,900;269,389;253,115;10,844;5,430;632,013;624,526;6,570;917;304,677;300,884;3,335;458;327,336;323,642;3,235;459;665,482;658,416;5,541;1,525;319,358;315,647;2,948;763;346,124;342,769;2,593;762
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2479;456;Municipio/TIOC;Cochabamba;Cercado;Cochabamba;Rural;341;304;29;8;155;139;13;3;186;165;16;5;;;;;;;;;;;;;23;23;0;0;15;15;0;0;8;8;0;0
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2480;457;Provincia;Cochabamba;Campero;;Campero;37,011;33,639;2,607;765;18,852;17,223;1,279;350;18,159;16,416;1,328;415;35,763;34,786;890;87;18,141;17,641;461;39;17,622;17,145;429;48;36,298;35,995;165;138;18,439;18,270;94;75;17,859;17,725;71;63
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2481;458;Provincia;Cochabamba;Campero;;Urbana;7,381;6,962;284;135;3,523;3,331;133;59;3,858;3,631;151;76;10,997;10,843;134;20;5,259;5,181;67;11;5,738;5,662;67;9;11,686;11,595;71;20;5,625;5,579;38;8;6,061;6,016;33;12
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2482;459;Provincia;Cochabamba;Campero;;Rural;29,630;26,677;2,323;630;15,329;13,892;1,146;291;14,301;12,785;1,177;339;24,766;23,943;756;67;12,882;12,460;394;28;11,884;11,483;362;39;24,612;24,400;94;118;12,814;12,691;56;67;11,798;11,709;38;51
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2483;460;Municipio/TIOC;Cochabamba;Campero;Aiquile;Aiquile;26,281;23,947;1,753;581;13,157;12,062;840;255;13,124;11,885;913;326;23,267;22,609;593;65;11,651;11,324;295;32;11,616;11,285;298;33;23,123;22,925;92;106;11,513;11,402;50;61;11,610;11,523;42;45
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2484;461;Municipio/TIOC;Cochabamba;Campero;Aiquile;Urbana;7,381;6,962;284;135;3,523;3,331;133;59;3,858;3,631;151;76;7,863;7,742;103;18;3,690;3,632;48;10;4,173;4,110;55;8;8,857;8,780;57;20;4,126;4,088;30;8;4,731;4,692;27;12
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2485;462;Municipio/TIOC;Cochabamba;Campero;Aiquile;Rural;18,900;16,985;1,469;446;9,634;8,731;707;196;9,266;8,254;762;250;15,404;14,867;490;47;7,961;7,692;247;22;7,443;7,175;243;25;14,266;14,145;35;86;7,387;7,314;20;53;6,879;6,831;15;33
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2486;463;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Pasorapa;4,659;4,102;486;71;2,500;2,210;255;35;2,159;1,892;231;36;6,853;6,752;93;8;3,593;3,533;56;4;3,260;3,219;37;4;6,475;6,427;35;13;3,504;3,477;21;6;2,971;2,950;14;7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2487;464;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Urbana;;;;;;;;;;;;;3,134;3,101;31;2;1,569;1,549;19;1;1,565;1,552;12;1;2,829;2,815;14;0;1,499;1,491;8;0;1,330;1,324;6;0
