cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3492;Municipio/TIOC;Cochabamba;Carrasco;Pojo;Sin especificar;4.7;4.9;4.4;;2.4;4.3;0.0;;3.1;5.1;0.0;;5.0;2.9;7.7;;2.7;0.0;5.9;;9.6;11.5;7.7;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3493;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Pocona;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3494;Municipio/TIOC;Cochabamba;Carrasco;Pocona;0 a 17;7.6;8.3;6.8;;6.9;6.8;7.1;;9.7;12.8;6.5;;7.4;6.7;8.3;;6.7;6.5;6.8;;7.0;8.3;5.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3495;Municipio/TIOC;Cochabamba;Carrasco;Pocona;18 a 29;6.6;8.3;4.7;;13.9;18.2;7.1;;5.4;6.4;4.3;;6.2;6.7;5.6;;4.4;4.3;4.5;;4.7;6.3;2.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3496;Municipio/TIOC;Cochabamba;Carrasco;Pocona;30 a 59;22.5;26.5;17.7;;22.2;25.0;17.9;;20.4;27.7;13.0;;27.2;22.2;33.3;;20.0;26.1;13.6;;23.3;31.3;13.2;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3497;Municipio/TIOC;Cochabamba;Carrasco;Pocona;60 o más;60.2;53.5;68.2;;52.8;45.5;64.3;;62.4;48.9;76.1;;55.6;62.2;47.2;;64.4;56.5;72.7;;64.0;54.2;76.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3498;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Sin especificar;3.1;3.5;2.6;;4.2;4.5;3.6;;2.2;4.3;0.0;;3.7;2.2;5.6;;4.4;6.5;2.3;;1.2;0.0;2.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3499;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3500;Municipio/TIOC;Cochabamba;Carrasco;Pocona;0 a 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3501;Municipio/TIOC;Cochabamba;Carrasco;Pocona;18 a 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3502;Municipio/TIOC;Cochabamba;Carrasco;Pocona;30 a 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3503;Municipio/TIOC;Cochabamba;Carrasco;Pocona;60 o más;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3504;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Sin especificar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3505;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Rural;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3506;Municipio/TIOC;Cochabamba;Carrasco;Pocona;0 a 17;7.6;8.3;6.8;;6.9;6.8;7.1;;9.7;12.8;6.5;;7.4;6.7;8.3;;6.7;6.5;6.8;;7.0;8.3;5.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3507;Municipio/TIOC;Cochabamba;Carrasco;Pocona;18 a 29;6.6;8.3;4.7;;13.9;18.2;7.1;;5.4;6.4;4.3;;6.2;6.7;5.6;;4.4;4.3;4.5;;4.7;6.3;2.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3508;Municipio/TIOC;Cochabamba;Carrasco;Pocona;30 a 59;22.5;26.5;17.7;;22.2;25.0;17.9;;20.4;27.7;13.0;;27.2;22.2;33.3;;20.0;26.1;13.6;;23.3;31.3;13.2;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3509;Municipio/TIOC;Cochabamba;Carrasco;Pocona;60 o más;60.2;53.5;68.2;;52.8;45.5;64.3;;62.4;48.9;76.1;;55.6;62.2;47.2;;64.4;56.5;72.7;;64.0;54.2;76.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3510;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Sin especificar;3.1;3.5;2.6;;4.2;4.5;3.6;;2.2;4.3;0.0;;3.7;2.2;5.6;;4.4;6.5;2.3;;1.2;0.0;2.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3511;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Chimoré;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3512;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;0 a 17;12.7;12.6;12.7;;20.1;19.5;21.0;;12.1;13.0;10.5;;12.8;14.1;10.8;;10.0;9.6;10.5;;8.9;7.8;10.8;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3513;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;18 a 29;11.6;13.4;8.8;;12.1;16.1;6.5;;13.4;17.0;7.0;;12.8;12.1;13.8;;14.3;14.5;14.0;;6.7;8.7;3.1;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3514;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;30 a 59;30.1;30.2;30.1;;29.5;26.4;33.9;;29.3;31.0;26.3;;29.3;24.2;36.9;;24.3;27.7;19.3;;36.7;39.1;32.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3515;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;60 o más;42.9;41.7;44.8;;35.6;34.5;37.1;;42.0;38.0;49.1;;41.5;46.5;33.8;;48.6;44.6;54.4;;46.7;44.3;50.8;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3516;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Sin especificar;2.7;2.1;3.6;;2.7;3.4;1.6;;3.2;1.0;7.0;;3.7;3.0;4.6;;2.9;3.6;1.8;;1.1;0.0;3.1;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3517;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Urbana;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3518;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;0 a 17;11.4;14.9;5.8;;20.7;29.7;4.8;;10.0;13.2;4.5;;10.4;13.0;8.0;;8.2;6.9;10.0;;6.1;8.8;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3519;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;18 a 29;11.4;11.8;10.7;;15.5;21.6;4.8;;15.0;15.8;13.6;;8.3;4.3;12.0;;10.2;10.3;10.0;;6.1;2.9;13.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3520;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;30 a 59;34.5;34.2;35.0;;31.0;21.6;47.6;;38.3;44.7;27.3;;33.3;26.1;40.0;;26.5;31.0;20.0;;42.9;44.1;40.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3521;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;60 o más;40.5;37.9;44.7;;31.0;27.0;38.1;;36.7;26.3;54.5;;45.8;52.2;40.0;;51.0;48.3;55.0;;40.8;44.1;33.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3522;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Sin especificar;2.3;1.2;3.9;;1.7;0.0;4.8;;0.0;0.0;0.0;;2.1;4.3;0.0;;4.1;3.4;5.0;;4.1;0.0;13.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3523;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Rural;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3524;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;0 a 17;13.3;11.5;16.3;;19.8;12.0;29.3;;13.4;12.9;14.3;;13.8;14.5;12.5;;11.0;11.1;10.8;;9.9;7.4;14.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3525;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;18 a 29;11.8;14.2;7.9;;9.9;12.0;7.3;;12.4;17.7;2.9;;14.7;14.5;15.0;;16.5;16.7;16.2;;6.9;11.1;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3526;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;30 a 59;27.9;28.2;27.6;;28.6;30.0;26.8;;23.7;22.6;25.7;;27.6;23.7;35.0;;23.1;25.9;18.9;;34.4;37.0;30.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3527;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;60 o más;44.1;43.7;44.8;;38.5;40.0;36.6;;45.4;45.2;45.7;;39.7;44.7;30.0;;47.3;42.6;54.1;;48.9;44.4;56.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3528;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Sin especificar;2.9;2.5;3.4;;3.3;6.0;0.0;;5.2;1.6;11.4;;4.3;2.6;7.5;;2.2;3.7;0.0;;0.0;0.0;0.0;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3529;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Puerto Villarroel;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3530;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;0 a 17;8.6;7.5;10.1;;8.0;6.7;9.8;;6.1;4.9;7.7;;8.6;9.0;8.2;;10.5;9.1;12.9;;9.5;7.9;11.7;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3531;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;18 a 29;11.2;13.8;7.4;;14.1;15.5;12.1;;9.3;11.8;5.6;;9.8;11.9;6.8;;9.6;12.5;4.8;;13.1;17.1;7.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3532;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;30 a 59;31.6;32.2;30.6;;34.0;30.4;39.4;;34.8;34.5;35.2;;32.9;38.8;24.7;;27.1;26.4;28.2;;29.2;31.1;26.5;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3533;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;60 o más;46.8;44.6;50.0;;41.7;45.4;36.4;;48.7;47.3;50.7;;46.4;38.3;57.5;;50.0;49.5;50.8;;46.9;42.5;53.1;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3534;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Sin especificar;1.9;1.8;2.0;;2.1;2.1;2.3;;1.2;1.5;0.7;;2.3;2.0;2.7;;2.7;2.4;3.2;;1.3;1.3;1.2;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3535;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Urbana;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3536;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;0 a 17;10.5;9.8;11.5;;7.0;8.2;4.8;;7.6;5.8;11.1;;11.3;13.0;9.6;;13.0;14.1;11.8;;13.6;10.1;18.9;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3537;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;18 a 29;10.7;14.3;5.3;;11.3;13.7;7.1;;10.7;14.0;4.4;;8.5;13.0;3.8;;7.0;10.9;2.0;;15.2;19.0;9.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3538;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;30 a 59;28.5;28.4;28.8;;37.4;28.8;52.4;;32.1;34.9;26.7;;26.4;33.3;19.2;;22.6;18.8;27.5;;24.2;25.3;22.6;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3539;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;60 o más;48.7;45.8;53.1;;41.7;45.2;35.7;;47.3;43.0;55.6;;52.8;40.7;65.4;;57.4;56.3;58.8;;45.5;44.3;47.2;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3540;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Sin especificar;1.5;1.7;1.2;;2.6;4.1;0.0;;2.3;2.3;2.2;;0.9;0.0;1.9;;0.0;0.0;0.0;;1.5;1.3;1.9;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3541;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Rural;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;100;100;100;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3542;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;0 a 17;7.5;6.3;9.3;;8.5;5.8;12.2;;5.1;4.3;6.2;;7.5;7.5;7.4;;9.2;6.9;13.7;;7.4;6.7;8.3;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3543;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;18 a 29;11.5;13.6;8.4;;15.6;16.5;14.4;;8.4;10.3;6.2;;10.4;11.6;8.5;;11.1;13.2;6.8;;12.0;16.1;6.4;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3544;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;30 a 59;33.1;34.2;31.5;;32.2;31.4;33.3;;36.4;34.2;39.2;;35.7;40.8;27.7;;29.5;29.9;28.8;;31.8;34.2;28.4;;;;;;;;;;;
