cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total_total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;2024_total;2024_hombres;2024_mujeres;2024_sin_especificar;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2188;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;30 a 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2189;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;60 o más;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2190;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;Sin especificar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2191;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;Rural;571;341;230;0;78;45;33;0;128;78;50;0;125;73;52;0;112;74;38;0;128;71;57;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2192;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;0 a 17;48;26;22;0;6;5;1;0;9;5;4;0;14;7;7;0;8;4;4;0;11;5;6;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2193;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;18 a 29;31;22;9;0;3;3;0;0;4;3;1;0;8;5;3;0;6;4;2;0;10;7;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2194;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;30 a 59;121;74;47;0;19;10;9;0;30;16;14;0;32;19;13;0;19;14;5;0;21;15;6;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2195;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;60 o más;351;207;144;0;46;25;21;0;83;52;31;0;64;37;27;0;75;49;26;0;83;44;39;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2196;Municipio/TIOC;La Paz;Aroma;Ayo Ayo;Sin especificar;20;12;8;0;4;2;2;0;2;2;0;0;7;5;2;0;4;3;1;0;3;0;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2197;Municipio/TIOC;La Paz;Aroma;Calamarca;Calamarca;683;381;301;1;126;73;53;0;172;108;64;0;153;86;66;1;107;58;49;0;125;56;69;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2198;Municipio/TIOC;La Paz;Aroma;Calamarca;0 a 17;45;25;20;0;12;9;3;0;10;6;4;0;7;3;4;0;9;5;4;0;7;2;5;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2199;Municipio/TIOC;La Paz;Aroma;Calamarca;18 a 29;30;19;11;0;6;1;5;0;4;2;2;0;3;1;2;0;9;8;1;0;8;7;1;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2200;Municipio/TIOC;La Paz;Aroma;Calamarca;30 a 59;149;82;67;0;28;13;15;0;45;28;17;0;29;13;16;0;22;13;9;0;25;15;10;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2201;Municipio/TIOC;La Paz;Aroma;Calamarca;60 o más;434;241;192;1;79;50;29;0;105;67;38;0;111;66;44;1;59;28;31;0;80;30;50;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2202;Municipio/TIOC;La Paz;Aroma;Calamarca;Sin especificar;25;14;11;0;1;0;1;0;8;5;3;0;3;3;0;0;8;4;4;0;5;2;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2203;Municipio/TIOC;La Paz;Aroma;Calamarca;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2204;Municipio/TIOC;La Paz;Aroma;Calamarca;0 a 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2205;Municipio/TIOC;La Paz;Aroma;Calamarca;18 a 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2206;Municipio/TIOC;La Paz;Aroma;Calamarca;30 a 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2207;Municipio/TIOC;La Paz;Aroma;Calamarca;60 o más;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2208;Municipio/TIOC;La Paz;Aroma;Calamarca;Sin especificar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2209;Municipio/TIOC;La Paz;Aroma;Calamarca;Rural;683;381;301;1;126;73;53;0;172;108;64;0;153;86;66;1;107;58;49;0;125;56;69;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2210;Municipio/TIOC;La Paz;Aroma;Calamarca;0 a 17;45;25;20;0;12;9;3;0;10;6;4;0;7;3;4;0;9;5;4;0;7;2;5;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2211;Municipio/TIOC;La Paz;Aroma;Calamarca;18 a 29;30;19;11;0;6;1;5;0;4;2;2;0;3;1;2;0;9;8;1;0;8;7;1;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2212;Municipio/TIOC;La Paz;Aroma;Calamarca;30 a 59;149;82;67;0;28;13;15;0;45;28;17;0;29;13;16;0;22;13;9;0;25;15;10;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2213;Municipio/TIOC;La Paz;Aroma;Calamarca;60 o más;434;241;192;1;79;50;29;0;105;67;38;0;111;66;44;1;59;28;31;0;80;30;50;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2214;Municipio/TIOC;La Paz;Aroma;Calamarca;Sin especificar;25;14;11;0;1;0;1;0;8;5;3;0;3;3;0;0;8;4;4;0;5;2;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2215;Municipio/TIOC;La Paz;Aroma;Patacamaya;Patacamaya;1,217;691;525;1;217;125;92;0;298;190;108;0;239;127;111;1;209;127;82;0;254;122;132;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2216;Municipio/TIOC;La Paz;Aroma;Patacamaya;0 a 17;75;38;36;1;16;7;9;0;24;17;7;0;11;4;6;1;10;5;5;0;14;5;9;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2217;Municipio/TIOC;La Paz;Aroma;Patacamaya;18 a 29;80;52;28;0;18;17;1;0;19;15;4;0;17;5;12;0;11;7;4;0;15;8;7;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2218;Municipio/TIOC;La Paz;Aroma;Patacamaya;30 a 59;271;169;102;0;46;28;18;0;64;44;20;0;60;34;26;0;41;26;15;0;60;37;23;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2219;Municipio/TIOC;La Paz;Aroma;Patacamaya;60 o más;750;407;343;0;130;69;61;0;180;105;75;0;141;80;61;0;145;87;58;0;154;66;88;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2220;Municipio/TIOC;La Paz;Aroma;Patacamaya;Sin especificar;41;25;16;0;7;4;3;0;11;9;2;0;10;4;6;0;2;2;0;0;11;6;5;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2221;Municipio/TIOC;La Paz;Aroma;Patacamaya;Urbana;609;325;284;0;113;62;51;0;147;83;64;0;117;62;55;0;103;60;43;0;129;58;71;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2222;Municipio/TIOC;La Paz;Aroma;Patacamaya;0 a 17;33;15;18;0;7;4;3;0;8;4;4;0;5;1;4;0;4;1;3;0;9;5;4;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2223;Municipio/TIOC;La Paz;Aroma;Patacamaya;18 a 29;50;31;19;0;10;9;1;0;9;7;2;0;10;3;7;0;10;6;4;0;11;6;5;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2224;Municipio/TIOC;La Paz;Aroma;Patacamaya;30 a 59;150;88;62;0;26;12;14;0;37;24;13;0;30;19;11;0;26;17;9;0;31;16;15;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2225;Municipio/TIOC;La Paz;Aroma;Patacamaya;60 o más;353;177;176;0;64;33;31;0;90;45;45;0;67;37;30;0;62;35;27;0;70;27;43;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2226;Municipio/TIOC;La Paz;Aroma;Patacamaya;Sin especificar;23;14;9;0;6;4;2;0;3;3;0;0;5;2;3;0;1;1;0;0;8;4;4;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2227;Municipio/TIOC;La Paz;Aroma;Patacamaya;Rural;608;366;241;1;104;63;41;0;151;107;44;0;122;65;56;1;106;67;39;0;125;64;61;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2228;Municipio/TIOC;La Paz;Aroma;Patacamaya;0 a 17;42;23;18;1;9;3;6;0;16;13;3;0;6;3;2;1;6;4;2;0;5;0;5;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2229;Municipio/TIOC;La Paz;Aroma;Patacamaya;18 a 29;30;21;9;0;8;8;0;0;10;8;2;0;7;2;5;0;1;1;0;0;4;2;2;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2230;Municipio/TIOC;La Paz;Aroma;Patacamaya;30 a 59;121;81;40;0;20;16;4;0;27;20;7;0;30;15;15;0;15;9;6;0;29;21;8;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2231;Municipio/TIOC;La Paz;Aroma;Patacamaya;60 o más;397;230;167;0;66;36;30;0;90;60;30;0;74;43;31;0;83;52;31;0;84;39;45;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2232;Municipio/TIOC;La Paz;Aroma;Patacamaya;Sin especificar;18;11;7;0;1;0;1;0;8;6;2;0;5;2;3;0;1;1;0;0;3;2;1;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2233;Municipio/TIOC;La Paz;Aroma;Colquencha;Colquencha;404;229;175;0;78;49;29;0;103;67;36;0;74;45;29;0;66;31;35;0;83;37;46;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2234;Municipio/TIOC;La Paz;Aroma;Colquencha;0 a 17;34;18;16;0;8;5;3;0;7;3;4;0;5;2;3;0;5;2;3;0;9;6;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2235;Municipio/TIOC;La Paz;Aroma;Colquencha;18 a 29;32;22;10;0;7;4;3;0;6;5;1;0;4;4;0;0;6;4;2;0;9;5;4;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2236;Municipio/TIOC;La Paz;Aroma;Colquencha;30 a 59;80;47;33;0;22;14;8;0;13;9;4;0;19;11;8;0;8;4;4;0;18;9;9;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2237;Municipio/TIOC;La Paz;Aroma;Colquencha;60 o más;245;139;106;0;39;25;14;0;73;48;25;0;45;28;17;0;45;21;24;0;43;17;26;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2238;Municipio/TIOC;La Paz;Aroma;Colquencha;Sin especificar;13;3;10;0;2;1;1;0;4;2;2;0;1;0;1;0;2;0;2;0;4;0;4;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2239;Municipio/TIOC;La Paz;Aroma;Colquencha;Urbana;219;128;91;0;36;23;13;0;55;36;19;0;45;29;16;0;36;19;17;0;47;21;26;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2240;Municipio/TIOC;La Paz;Aroma;Colquencha;0 a 17;22;11;11;0;7;4;3;0;3;0;3;0;1;1;0;0;4;1;3;0;7;5;2;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2241;Municipio/TIOC;La Paz;Aroma;Colquencha;18 a 29;20;14;6;0;3;2;1;0;4;3;1;0;3;3;0;0;3;2;1;0;7;4;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2242;Municipio/TIOC;La Paz;Aroma;Colquencha;30 a 59;45;28;17;0;10;7;3;0;7;5;2;0;16;10;6;0;3;1;2;0;9;5;4;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2243;Municipio/TIOC;La Paz;Aroma;Colquencha;60 o más;126;74;52;0;15;10;5;0;39;27;12;0;25;15;10;0;26;15;11;0;21;7;14;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2244;Municipio/TIOC;La Paz;Aroma;Colquencha;Sin especificar;6;1;5;0;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;3;0;3;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2245;Municipio/TIOC;La Paz;Aroma;Colquencha;Rural;185;101;84;0;42;26;16;0;48;31;17;0;29;16;13;0;30;12;18;0;36;16;20;0;;;;;;;;;;
