cuarto;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_mujeres;2001_mujeres_sin_informacion;2001_mujeres_sin_hijos;2001_mujeres_con_hijos;2001_hijos_nacidos_vivos;2001_paridez_media;2012_total_mujeres;2012_mujeres_sin_informacion;2012_mujeres_sin_hijos;2012_mujeres_con_hijos;2012_hijos_nacidos_vivos;2012_paridez_media;2024_total_mujeres;2024_mujeres_sin_informacion;2024_mujeres_sin_hijos;2024_mujeres_con_hijos;2024_hijos_nacidos_vivos;2024_paridez_media;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2230;207;Municipio;Chuquisaca;Azurduy;Tarvita;40 a 44;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2231;208;Municipio;Chuquisaca;Azurduy;Tarvita;45 a 49;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2232;209;Municipio;Chuquisaca;Azurduy;Tarvita;Rural;2,931;393;420;2,118;11,026;4.3;2,724;466;455;1,803;8,783;3.9;4,219;915;1,018;2,286;7,079;2.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2233;210;Municipio;Chuquisaca;Azurduy;Tarvita;15 a 19;604;215;280;109;140;0.4;618;214;293;111;139;0.3;937;347;472;118;137;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2234;211;Municipio;Chuquisaca;Azurduy;Tarvita;20 a 24;505;70;68;367;844;1.9;348;82;67;199;364;1.4;764;216;246;302;462;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2235;212;Municipio;Chuquisaca;Azurduy;Tarvita;25 a 29;426;35;29;362;1,371;3.5;324;38;41;245;727;2.5;649;134;146;369;732;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2236;213;Municipio;Chuquisaca;Azurduy;Tarvita;30 a 34;417;27;13;377;1,916;4.9;358;30;28;300;1,273;3.9;527;92;76;359;961;2.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2237;214;Municipio;Chuquisaca;Azurduy;Tarvita;35 a 39;376;20;10;346;2,398;6.7;364;31;10;323;1,744;5.2;486;59;35;392;1,367;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2238;215;Municipio;Chuquisaca;Azurduy;Tarvita;40 a 44;330;18;11;301;2,326;7.5;376;44;9;323;2,250;6.8;416;32;23;361;1,435;3.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2239;216;Municipio;Chuquisaca;Azurduy;Tarvita;45 a 49;273;8;9;256;2,031;7.7;336;27;7;302;2,286;7.4;440;35;20;385;1,985;4.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2240;217;Provincia;Chuquisaca;Zudáñez;;Zudáñez;6,289;969;738;4,582;22,081;4.2;8,933;2,227;1,445;5,261;20,027;3.0;11,195;2,298;2,600;6,297;17,580;2.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2241;218;Provincia;Chuquisaca;Zudáñez;;15 a 19;1,224;562;445;217;288;0.4;1,995;958;761;276;346;0.3;2,038;815;980;243;271;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2242;219;Provincia;Chuquisaca;Zudáñez;;20 a 24;985;178;113;694;1,540;1.9;1,444;417;297;730;1,357;1.3;2,002;516;639;847;1,229;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2243;220;Provincia;Chuquisaca;Zudáñez;;25 a 29;882;63;63;756;2,455;3.0;1,274;266;183;825;2,098;2.1;1,892;362;425;1,105;2,092;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2244;221;Provincia;Chuquisaca;Zudáñez;;30 a 34;896;64;38;794;3,799;4.6;1,230;199;65;966;3,344;3.2;1,614;229;248;1,137;2,894;2.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2245;222;Provincia;Chuquisaca;Zudáñez;;35 a 39;814;45;28;741;4,324;5.6;1,100;145;53;902;3,981;4.2;1,370;168;124;1,078;3,367;2.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2246;223;Provincia;Chuquisaca;Zudáñez;;40 a 44;797;32;31;734;4,958;6.5;980;134;42;804;4,304;5.1;1,185;108;112;965;3,645;3.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2247;224;Provincia;Chuquisaca;Zudáñez;;45 a 49;691;25;20;646;4,717;7.1;910;108;44;758;4,597;5.7;1,094;100;72;922;4,082;4.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2248;225;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;;;;1,952;556;347;1,049;3,078;2.2;2,573;365;655;1,553;4,024;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2249;226;Provincia;Chuquisaca;Zudáñez;;15 a 19;;;;;;;433;243;152;38;43;0.2;426;140;248;38;38;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2250;227;Provincia;Chuquisaca;Zudáñez;;20 a 24;;;;;;;359;124;98;137;230;1.0;419;88;155;176;251;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2251;228;Provincia;Chuquisaca;Zudáñez;;25 a 29;;;;;;;311;78;55;178;371;1.6;408;54;107;247;459;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2252;229;Provincia;Chuquisaca;Zudáñez;;30 a 34;;;;;;;267;43;19;205;540;2.4;399;36;66;297;686;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2253;230;Provincia;Chuquisaca;Zudáñez;;35 a 39;;;;;;;228;34;10;184;593;3.1;351;18;34;299;876;2.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2254;231;Provincia;Chuquisaca;Zudáñez;;40 a 44;;;;;;;209;21;10;178;733;3.9;322;17;27;278;931;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2255;232;Provincia;Chuquisaca;Zudáñez;;45 a 49;;;;;;;145;13;3;129;568;4.3;248;12;18;218;783;3.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2256;233;Provincia;Chuquisaca;Zudáñez;;Rural;6,289;969;738;4,582;22,081;4.2;6,981;1,671;1,098;4,212;16,949;3.2;8,622;1,933;1,945;4,744;13,556;2.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2257;234;Provincia;Chuquisaca;Zudáñez;;15 a 19;1,224;562;445;217;288;0.4;1,562;715;609;238;303;0.4;1,612;675;732;205;233;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2258;235;Provincia;Chuquisaca;Zudáñez;;20 a 24;985;178;113;694;1,540;1.9;1,085;293;199;593;1,127;1.4;1,583;428;484;671;978;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2259;236;Provincia;Chuquisaca;Zudáñez;;25 a 29;882;63;63;756;2,455;3.0;963;188;128;647;1,727;2.2;1,484;308;318;858;1,633;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2260;237;Provincia;Chuquisaca;Zudáñez;;30 a 34;896;64;38;794;3,799;4.6;963;156;46;761;2,804;3.5;1,215;193;182;840;2,208;2.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2261;238;Provincia;Chuquisaca;Zudáñez;;35 a 39;814;45;28;741;4,324;5.6;872;111;43;718;3,388;4.5;1,019;150;90;779;2,491;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2262;239;Provincia;Chuquisaca;Zudáñez;;40 a 44;797;32;31;734;4,958;6.5;771;113;32;626;3,571;5.4;863;91;85;687;2,714;3.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2263;240;Provincia;Chuquisaca;Zudáñez;;45 a 49;691;25;20;646;4,717;7.1;765;95;41;629;4,029;6.0;846;88;54;704;3,299;4.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2264;241;Municipio;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;1,462;206;183;1,073;4,881;3.9;2,786;631;479;1,676;5,958;2.8;3,598;703;879;2,016;5,340;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2265;242;Municipio;Chuquisaca;Zudáñez;Zudáñez;15 a 19;293;123;113;57;66;0.4;609;283;241;85;106;0.3;600;234;294;72;79;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2266;243;Municipio;Chuquisaca;Zudáñez;Zudáñez;20 a 24;220;32;19;169;344;1.8;491;133;131;227;399;1.1;635;164;208;263;362;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2267;244;Municipio;Chuquisaca;Zudáñez;Zudáñez;25 a 29;209;20;22;167;498;2.6;388;78;53;257;610;2.0;588;116;139;333;613;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2268;245;Municipio;Chuquisaca;Zudáñez;Zudáñez;30 a 34;193;11;13;169;764;4.2;378;45;18;315;1,001;3.0;545;71;111;363;838;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2269;246;Municipio;Chuquisaca;Zudáñez;Zudáñez;35 a 39;218;13;9;196;1,091;5.3;329;39;11;279;1,138;3.9;439;52;49;338;1,002;2.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2270;247;Municipio;Chuquisaca;Zudáñez;Zudáñez;40 a 44;169;5;6;158;982;6.0;308;32;12;264;1,306;4.7;389;27;46;316;1,089;3.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2271;248;Municipio;Chuquisaca;Zudáñez;Zudáñez;45 a 49;160;2;1;157;1,136;7.2;283;21;13;249;1,398;5.3;402;39;32;331;1,357;3.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2272;249;Municipio;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;;;;1,163;303;245;615;1,896;2.2;1,290;191;343;756;1,877;1.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2273;250;Municipio;Chuquisaca;Zudáñez;Zudáñez;15 a 19;;;;;;;272;137;115;20;21;0.2;210;75;113;22;22;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2274;251;Municipio;Chuquisaca;Zudáñez;Zudáñez;20 a 24;;;;;;;220;70;75;75;124;0.8;224;47;85;92;126;0.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2275;252;Municipio;Chuquisaca;Zudáñez;Zudáñez;25 a 29;;;;;;;165;40;32;93;189;1.5;193;30;58;105;182;1.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2276;253;Municipio;Chuquisaca;Zudáñez;Zudáñez;30 a 34;;;;;;;152;20;11;121;315;2.4;209;19;40;150;332;1.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2277;254;Municipio;Chuquisaca;Zudáñez;Zudáñez;35 a 39;;;;;;;130;17;6;107;352;3.1;174;6;23;145;392;2.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2278;255;Municipio;Chuquisaca;Zudáñez;Zudáñez;40 a 44;;;;;;;133;9;4;120;517;4.2;148;7;13;128;431;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2279;256;Municipio;Chuquisaca;Zudáñez;Zudáñez;45 a 49;;;;;;;91;10;2;79;378;4.7;132;7;11;114;392;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2280;257;Municipio;Chuquisaca;Zudáñez;Zudáñez;Rural;1,462;206;183;1,073;4,881;3.9;1,623;328;234;1,061;4,062;3.1;2,308;512;536;1,260;3,463;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2281;258;Municipio;Chuquisaca;Zudáñez;Zudáñez;15 a 19;293;123;113;57;66;0.4;337;146;126;65;85;0.4;390;159;181;50;57;0.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2282;259;Municipio;Chuquisaca;Zudáñez;Zudáñez;20 a 24;220;32;19;169;344;1.8;271;63;56;152;275;1.3;411;117;123;171;236;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2283;260;Municipio;Chuquisaca;Zudáñez;Zudáñez;25 a 29;209;20;22;167;498;2.6;223;38;21;164;421;2.3;395;86;81;228;431;1.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2284;261;Municipio;Chuquisaca;Zudáñez;Zudáñez;30 a 34;193;11;13;169;764;4.2;226;25;7;194;686;3.4;336;52;71;213;506;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2285;262;Municipio;Chuquisaca;Zudáñez;Zudáñez;35 a 39;218;13;9;196;1,091;5.3;199;22;5;172;786;4.4;265;46;26;193;610;2.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2286;263;Municipio;Chuquisaca;Zudáñez;Zudáñez;40 a 44;169;5;6;158;982;6.0;175;23;8;144;789;5.2;241;20;33;188;658;3.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2287;264;Municipio;Chuquisaca;Zudáñez;Zudáñez;45 a 49;160;2;1;157;1,136;7.2;192;11;11;170;1,020;5.6;270;32;21;217;965;4.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2288;265;Municipio;Chuquisaca;Zudáñez;Presto;Presto;1,753;218;239;1,296;6,165;4.0;2,857;775;400;1,682;6,209;3.0;3,054;674;641;1,739;5,087;2.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2289;266;Municipio;Chuquisaca;Zudáñez;Presto;15 a 19;322;115;145;62;90;0.4;616;315;195;106;134;0.4;601;251;270;80;90;0.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2290;267;Municipio;Chuquisaca;Zudáñez;Presto;20 a 24;277;45;37;195;436;1.9;477;157;77;243;463;1.4;558;145;154;259;402;1.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2291;268;Municipio;Chuquisaca;Zudáñez;Presto;25 a 29;219;9;17;193;664;3.2;477;113;56;308;798;2.2;504;95;94;315;654;1.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2292;269;Municipio;Chuquisaca;Zudáñez;Presto;30 a 34;262;15;14;233;1,083;4.4;408;75;27;306;1,120;3.4;421;58;47;316;906;2.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2293;270;Municipio;Chuquisaca;Zudáñez;Presto;35 a 39;216;11;7;198;1,136;5.5;343;49;21;273;1,215;4.1;374;51;31;292;980;3.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2294;271;Municipio;Chuquisaca;Zudáñez;Presto;40 a 44;257;14;10;233;1,505;6.2;283;40;16;227;1,223;5.0;325;44;25;256;1,017;3.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2295;272;Municipio;Chuquisaca;Zudáñez;Presto;45 a 49;200;9;9;182;1,251;6.5;253;26;8;219;1,256;5.5;271;30;20;221;1,038;4.3;;
