cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2012_poblacion_total;2012_publico_acude;2012_publico_no_acude;2012_caja_de_salud_acude;2012_caja_de_salud_no_acude;2012_privado_acude;2012_privado_no_acude;2012_seguro_salud_privado_acude;2012_seguro_salud_privado_no_acude;2012_medico_tradicional_acude;2012_medico_tradicional_no_acude;2012_farmacia_o_automedica_acude;2012_farmacia_o_automedica_no_acude;2012_soluciones_caseras_acude;2012_soluciones_caseras_no_acude;2024_poblacion_total;2024_publico_acude;2024_publico_no_acude;2024_publico_sin_especificar;2024_caja_de_salud_acude;2024_caja_de_salud_no_acude;2024_caja_de_salud_sin_especificar;2024_privado_acude;2024_privado_no_acude;2024_privado_sin_especificar;2024_atencion_medica_a_domicilio_acude;2024_atencion_medica_a_domicilio_no_acude;2024_atencion_medica_a_domicilio_sin_especificar;2024_medico_tradicional_acude;2024_medico_tradicional_no_acude;2024_medico_tradicional_sin_especificar;2024_farmacia_o_automedica_acude;2024_farmacia_o_automedica_no_acude;2024_farmacia_o_automedica_sin_especificar;2024_soluciones_caseras_acude;2024_soluciones_caseras_no_acude;2024_soluciones_caseras_sin_especificar
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2233;a donde acuden las personas cuando tienen problemas de salud;211;Provincia;La Paz;Muñecas;;Muñecas;25,378;18,218;7,160;1,795;23,583;857;24,521;711;24,667;9,362;16,016;5,345;20,033;12,187;13,191;33,580;27,565;5,552;463;2,090;30,957;533;2,518;30,528;534;4,036;29,008;536;11,889;21,154;537;8,730;24,312;538;19,211;13,832;537
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2234;a donde acuden las personas cuando tienen problemas de salud;212;Provincia;La Paz;Muñecas;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2235;a donde acuden las personas cuando tienen problemas de salud;213;Provincia;La Paz;Muñecas;;Rural;25,378;18,218;7,160;1,795;23,583;857;24,521;711;24,667;9,362;16,016;5,345;20,033;12,187;13,191;33,580;27,565;5,552;463;2,090;30,957;533;2,518;30,528;534;4,036;29,008;536;11,889;21,154;537;8,730;24,312;538;19,211;13,832;537
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2236;a donde acuden las personas cuando tienen problemas de salud;214;Municipio/TIOC;La Paz;Muñecas;Chuma;Chuma;11,473;7,870;3,603;932;10,541;406;11,067;334;11,139;4,241;7,232;2,781;8,692;6,233;5,240;17,830;14,575;3,017;238;1,146;16,392;292;1,232;16,305;293;2,275;15,261;294;5,881;11,655;294;4,589;12,948;293;10,331;7,208;291
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2237;a donde acuden las personas cuando tienen problemas de salud;215;Municipio/TIOC;La Paz;Muñecas;Chuma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2238;a donde acuden las personas cuando tienen problemas de salud;216;Municipio/TIOC;La Paz;Muñecas;Chuma;Rural;11,473;7,870;3,603;932;10,541;406;11,067;334;11,139;4,241;7,232;2,781;8,692;6,233;5,240;17,830;14,575;3,017;238;1,146;16,392;292;1,232;16,305;293;2,275;15,261;294;5,881;11,655;294;4,589;12,948;293;10,331;7,208;291
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2239;a donde acuden las personas cuando tienen problemas de salud;217;Municipio/TIOC;La Paz;Muñecas;Ayata;Ayata;8,410;6,356;2,054;411;7,999;192;8,218;123;8,287;2,935;5,475;785;7,625;3,094;5,316;9,029;7,371;1,495;163;583;8,269;177;642;8,210;177;1,201;7,651;177;3,254;5,598;177;1,961;6,891;177;4,735;4,116;178
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2240;a donde acuden las personas cuando tienen problemas de salud;218;Municipio/TIOC;La Paz;Muñecas;Ayata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2241;a donde acuden las personas cuando tienen problemas de salud;219;Municipio/TIOC;La Paz;Muñecas;Ayata;Rural;8,410;6,356;2,054;411;7,999;192;8,218;123;8,287;2,935;5,475;785;7,625;3,094;5,316;9,029;7,371;1,495;163;583;8,269;177;642;8,210;177;1,201;7,651;177;3,254;5,598;177;1,961;6,891;177;4,735;4,116;178
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2242;a donde acuden las personas cuando tienen problemas de salud;220;Municipio/TIOC;La Paz;Muñecas;Aucapata;Aucapata;5,495;3,992;1,503;452;5,043;259;5,236;254;5,241;2,186;3,309;1,779;3,716;2,860;2,635;6,721;5,619;1,040;62;361;6,296;64;644;6,013;64;560;6,096;65;2,754;3,901;66;2,180;4,473;68;4,145;2,508;68
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2243;a donde acuden las personas cuando tienen problemas de salud;221;Municipio/TIOC;La Paz;Muñecas;Aucapata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2244;a donde acuden las personas cuando tienen problemas de salud;222;Municipio/TIOC;La Paz;Muñecas;Aucapata;Rural;5,495;3,992;1,503;452;5,043;259;5,236;254;5,241;2,186;3,309;1,779;3,716;2,860;2,635;6,721;5,619;1,040;62;361;6,296;64;644;6,013;64;560;6,096;65;2,754;3,901;66;2,180;4,473;68;4,145;2,508;68
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2245;a donde acuden las personas cuando tienen problemas de salud;223;Provincia;La Paz;Larecaja;;Larecaja;86,122;60,859;25,263;6,849;79,273;6,284;79,838;3,321;82,801;18,015;68,107;37,978;48,144;38,099;48,023;106,921;86,700;19,134;1,087;7,998;97,730;1,193;16,649;89,077;1,195;8,874;96,852;1,195;36,060;69,664;1,197;51,560;54,159;1,202;68,617;37,110;1,194
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2246;a donde acuden las personas cuando tienen problemas de salud;224;Provincia;La Paz;Larecaja;;Urbana;15,415;12,106;3,309;1,715;13,700;1,701;13,714;841;14,574;2,368;13,047;8,114;7,301;5,699;9,716;24,170;19,551;4,389;230;2,472;21,459;239;5,881;18,049;240;2,149;21,782;239;6,761;17,169;240;13,860;10,068;242;14,461;9,471;238
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2247;a donde acuden las personas cuando tienen problemas de salud;225;Provincia;La Paz;Larecaja;;Rural;70,707;48,753;21,954;5,134;65,573;4,583;66,124;2,480;68,227;15,647;55,060;29,864;40,843;32,400;38,307;82,751;67,149;14,745;857;5,526;76,271;954;10,768;71,028;955;6,725;75,070;956;29,299;52,495;957;37,700;44,091;960;54,156;27,639;956
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2248;a donde acuden las personas cuando tienen problemas de salud;226;Municipio/TIOC;La Paz;Larecaja;Sorata;Sorata;23,512;13,684;9,828;1,814;21,698;1,301;22,211;826;22,686;5,464;18,048;9,827;13,685;11,222;12,290;30,083;23,343;6,439;301;2,302;27,407;374;3,018;26,689;376;2,120;27,586;377;11,467;18,238;378;12,881;16,824;378;20,208;9,498;377
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2249;a donde acuden las personas cuando tienen problemas de salud;227;Municipio/TIOC;La Paz;Larecaja;Sorata;Urbana;2,788;2,159;629;384;2,404;250;2,538;171;2,617;522;2,266;1,673;1,115;1,367;1,421;3,951;3,344;568;39;628;3,281;42;777;3,132;42;368;3,540;43;1,474;2,434;43;2,214;1,694;43;2,716;1,192;43
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2250;a donde acuden las personas cuando tienen problemas de salud;228;Municipio/TIOC;La Paz;Larecaja;Sorata;Rural;20,724;11,525;9,199;1,430;19,294;1,051;19,673;655;20,069;4,942;15,782;8,154;12,570;9,855;10,869;26,132;19,999;5,871;262;1,674;24,126;332;2,241;23,557;334;1,752;24,046;334;9,993;15,804;335;10,667;15,130;335;17,492;8,306;334
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2251;a donde acuden las personas cuando tienen problemas de salud;229;Municipio/TIOC;La Paz;Larecaja;Guanay;Guanay;14,788;10,437;4,351;1,033;13,755;1,108;13,680;482;14,306;2,957;11,831;6,290;8,498;6,157;8,631;16,386;13,243;3,003;140;1,461;14,779;146;3,351;12,888;147;1,589;14,651;146;5,691;10,547;148;8,591;7,647;148;10,590;5,654;142
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2252;a donde acuden las personas cuando tienen problemas de salud;230;Municipio/TIOC;La Paz;Larecaja;Guanay;Urbana;4,165;3,223;942;399;3,766;529;3,636;178;3,987;655;3,510;2,240;1,925;1,455;2,710;4,562;3,736;781;45;550;3,967;45;1,198;3,318;46;379;4,138;45;1,284;3,232;46;2,580;1,936;46;2,557;1,964;41
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2253;a donde acuden las personas cuando tienen problemas de salud;231;Municipio/TIOC;La Paz;Larecaja;Guanay;Rural;10,623;7,214;3,409;634;9,989;579;10,044;304;10,319;2,302;8,321;4,050;6,573;4,702;5,921;11,824;9,507;2,222;95;911;10,812;101;2,153;9,570;101;1,210;10,513;101;4,407;7,315;102;6,011;5,711;102;8,033;3,690;101
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2254;a donde acuden las personas cuando tienen problemas de salud;232;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Tacacoma;8,182;6,174;2,008;428;7,754;529;7,653;191;7,991;1,722;6,460;2,541;5,641;3,918;4,264;9,761;8,332;1,278;151;391;9,213;157;891;8,714;156;510;9,095;156;3,930;5,675;156;4,091;5,514;156;6,678;2,927;156
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2255;a donde acuden las personas cuando tienen problemas de salud;233;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2256;a donde acuden las personas cuando tienen problemas de salud;234;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Rural;8,182;6,174;2,008;428;7,754;529;7,653;191;7,991;1,722;6,460;2,541;5,641;3,918;4,264;9,761;8,332;1,278;151;391;9,213;157;891;8,714;156;510;9,095;156;3,930;5,675;156;4,091;5,514;156;6,678;2,927;156
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2257;a donde acuden las personas cuando tienen problemas de salud;235;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Quiabaya;2,684;1,916;768;364;2,320;197;2,487;193;2,491;821;1,863;1,379;1,305;1,269;1,415;4,224;3,593;590;41;215;3,965;44;349;3,831;44;462;3,718;44;1,309;2,872;43;1,340;2,840;44;2,325;1,856;43
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2258;a donde acuden las personas cuando tienen problemas de salud;236;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2259;a donde acuden las personas cuando tienen problemas de salud;237;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Rural;2,684;1,916;768;364;2,320;197;2,487;193;2,491;821;1,863;1,379;1,305;1,269;1,415;4,224;3,593;590;41;215;3,965;44;349;3,831;44;462;3,718;44;1,309;2,872;43;1,340;2,840;44;2,325;1,856;43
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2260;a donde acuden las personas cuando tienen problemas de salud;238;Municipio/TIOC;La Paz;Larecaja;Combaya;Combaya;3,731;2,298;1,433;337;3,394;124;3,607;61;3,670;912;2,819;947;2,784;2,059;1,672;3,529;2,549;903;77;415;3,033;81;249;3,199;81;195;3,252;82;1,041;2,406;82;979;2,468;82;2,037;1,411;81
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2261;a donde acuden las personas cuando tienen problemas de salud;239;Municipio/TIOC;La Paz;Larecaja;Combaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2262;a donde acuden las personas cuando tienen problemas de salud;240;Municipio/TIOC;La Paz;Larecaja;Combaya;Rural;3,731;2,298;1,433;337;3,394;124;3,607;61;3,670;912;2,819;947;2,784;2,059;1,672;3,529;2,549;903;77;415;3,033;81;249;3,199;81;195;3,252;82;1,041;2,406;82;979;2,468;82;2,037;1,411;81
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2263;a donde acuden las personas cuando tienen problemas de salud;241;Municipio/TIOC;La Paz;Larecaja;Tipuani;Tipuani;9,985;7,628;2,357;878;9,107;1,215;8,770;642;9,343;1,721;8,264;5,886;4,099;3,862;6,123;7,716;6,497;1,143;76;687;6,949;80;2,079;5,557;80;709;6,927;80;1,847;5,789;80;3,646;3,989;81;4,433;3,202;81
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2264;a donde acuden las personas cuando tienen problemas de salud;242;Municipio/TIOC;La Paz;Larecaja;Tipuani;Urbana;2,456;1,907;549;224;2,232;248;2,208;166;2,290;368;2,088;1,225;1,231;804;1,652;2,352;1,861;468;23;251;2,075;26;715;1,611;26;250;2,076;26;468;1,858;26;1,042;1,284;26;1,205;1,121;26
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2265;a donde acuden las personas cuando tienen problemas de salud;243;Municipio/TIOC;La Paz;Larecaja;Tipuani;Rural;7,529;5,721;1,808;654;6,875;967;6,562;476;7,053;1,353;6,176;4,661;2,868;3,058;4,471;5,364;4,636;675;53;436;4,874;54;1,364;3,946;54;459;4,851;54;1,379;3,931;54;2,604;2,705;55;3,228;2,081;55
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2266;a donde acuden las personas cuando tienen problemas de salud;244;Municipio/TIOC;La Paz;Larecaja;Mapiri;Mapiri;13,891;11,386;2,505;1,268;12,623;1,263;12,628;582;13,309;2,147;11,744;6,679;7,212;5,123;8,768;21,843;17,931;3,731;181;1,730;19,926;187;4,986;16,670;187;2,180;19,477;186;6,807;14,850;186;13,579;8,075;189;14,011;7,643;189
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2267;a donde acuden las personas cuando tienen problemas de salud;245;Municipio/TIOC;La Paz;Larecaja;Mapiri;Urbana;6,006;4,817;1,189;708;5,298;674;5,332;326;5,680;823;5,183;2,976;3,030;2,073;3,933;10,342;8,241;2,004;97;869;9,373;100;2,667;7,575;100;881;9,362;99;2,766;7,477;99;6,340;3,900;102;6,279;3,961;102
