cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_total;poblacion_registrado_o_afiliado_o_ninguno;sus;cns_cp_cc_cbp_cossmil_su_otros;privado;ninguno;sin_especificar;hombres_total;hombres_poblacion_registrado_o_afiliado_o_ninguno;hombres_sus;hombres_cns_cp_cc_cbp_cossmil_su_otros;hombres_privado;hombres_ninguno;hombres_sin_especificar;mujeres_total;mujeres_poblacion_registrado_o_afiliado_o_ninguno;mujeres_sus;mujeres_cns_cp_cc_cbp_cossmil_su_otros;mujeres_privado;mujeres_ninguno;mujeres_sin_especificar
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2406;383;Municipio;La Paz;Nor Yungas;Coroico;Urbana;2,716;2,691;1,830;402;69;390;25;1,319;1,307;870;194;36;207;12;1,397;1,384;960;208;33;183;13
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2407;384;Municipio;La Paz;Nor Yungas;Coroico;Rural;24,661;24,222;19,018;1,265;210;3,729;439;12,790;12,552;9,643;636;109;2,164;238;11,871;11,670;9,375;629;101;1,565;201
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2408;385;Municipio;La Paz;Nor Yungas;Coripata;Coripata;23,266;22,856;17,801;587;116;4,352;410;11,929;11,699;8,866;291;69;2,473;230;11,337;11,157;8,935;296;47;1,879;180
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2409;386;Municipio;La Paz;Nor Yungas;Coripata;Urbana;3,049;3,004;2,371;146;18;469;45;1,521;1,504;1,170;73;13;248;17;1,528;1,500;1,201;73;5;221;28
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2410;387;Municipio;La Paz;Nor Yungas;Coripata;Rural;20,217;19,852;15,430;441;98;3,883;365;10,408;10,195;7,696;218;56;2,225;213;9,809;9,657;7,734;223;42;1,658;152
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2411;388;Provincia;La Paz;Abel Iturralde;;Abel Iturralde;22,387;21,935;16,782;1,118;79;3,956;452;12,163;11,908;8,796;609;50;2,453;255;10,224;10,027;7,986;509;29;1,503;197
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2412;389;Provincia;La Paz;Abel Iturralde;;Urbana;9,144;9,027;7,050;641;48;1,288;117;4,770;4,702;3,505;343;31;823;68;4,374;4,325;3,545;298;17;465;49
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2413;390;Provincia;La Paz;Abel Iturralde;;Rural;13,243;12,908;9,732;477;31;2,668;335;7,393;7,206;5,291;266;19;1,630;187;5,850;5,702;4,441;211;12;1,038;148
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2414;391;Municipio;La Paz;Abel Iturralde;Ixiamas;Ixiamas;12,408;12,104;8,997;461;44;2,602;304;6,992;6,819;4,961;252;28;1,578;173;5,416;5,285;4,036;209;16;1,024;131
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2415;392;Municipio;La Paz;Abel Iturralde;Ixiamas;Urbana;4,745;4,668;3,592;303;22;751;77;2,570;2,527;1,852;173;15;487;43;2,175;2,141;1,740;130;7;264;34
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2416;393;Municipio;La Paz;Abel Iturralde;Ixiamas;Rural;7,663;7,436;5,405;158;22;1,851;227;4,422;4,292;3,109;79;13;1,091;130;3,241;3,144;2,296;79;9;760;97
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2417;394;Municipio;La Paz;Abel Iturralde;San Buenaventura;San Buenaventura;9,979;9,831;7,785;657;35;1,354;148;5,171;5,089;3,835;357;22;875;82;4,808;4,742;3,950;300;13;479;66
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2418;395;Municipio;La Paz;Abel Iturralde;San Buenaventura;Urbana;4,399;4,359;3,458;338;26;537;40;2,200;2,175;1,653;170;16;336;25;2,199;2,184;1,805;168;10;201;15
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2419;396;Municipio;La Paz;Abel Iturralde;San Buenaventura;Rural;5,580;5,472;4,327;319;9;817;108;2,971;2,914;2,182;187;6;539;57;2,609;2,558;2,145;132;3;278;51
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2420;397;Provincia;La Paz;Bautista Saavedra;;Bautista Saavedra;22,070;21,461;16,391;458;121;4,491;609;11,742;11,419;8,571;248;82;2,518;323;10,328;10,042;7,820;210;39;1,973;286
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2421;398;Provincia;La Paz;Bautista Saavedra;;Urbana;2,726;2,648;1,937;67;9;635;78;1,458;1,417;1,020;40;6;351;41;1,268;1,231;917;27;3;284;37
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2422;399;Provincia;La Paz;Bautista Saavedra;;Rural;19,344;18,813;14,454;391;112;3,856;531;10,284;10,002;7,551;208;76;2,167;282;9,060;8,811;6,903;183;36;1,689;249
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2423;400;Municipio;La Paz;Bautista Saavedra;Charazani;Charazani;15,596;15,203;12,182;377;72;2,572;393;8,256;8,054;6,349;206;46;1,453;202;7,340;7,149;5,833;171;26;1,119;191
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2424;401;Municipio;La Paz;Bautista Saavedra;Charazani;Urbana;2,726;2,648;1,937;67;9;635;78;1,458;1,417;1,020;40;6;351;41;1,268;1,231;917;27;3;284;37
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2425;402;Municipio;La Paz;Bautista Saavedra;Charazani;Rural;12,870;12,555;10,245;310;63;1,937;315;6,798;6,637;5,329;166;40;1,102;161;6,072;5,918;4,916;144;23;835;154
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2426;403;Municipio;La Paz;Bautista Saavedra;Curva;Curva;6,474;6,258;4,209;81;49;1,919;216;3,486;3,365;2,222;42;36;1,065;121;2,988;2,893;1,987;39;13;854;95
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2427;404;Municipio;La Paz;Bautista Saavedra;Curva;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2428;405;Municipio;La Paz;Bautista Saavedra;Curva;Rural;6,474;6,258;4,209;81;49;1,919;216;3,486;3,365;2,222;42;36;1,065;121;2,988;2,893;1,987;39;13;854;95
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2429;406;Provincia;La Paz;Manco Kapac;;Manco Kapac;33,829;33,219;23,311;1,821;204;7,883;610;16,922;16,613;11,386;946;117;4,164;309;16,907;16,606;11,925;875;87;3,719;301
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2430;407;Provincia;La Paz;Manco Kapac;;Urbana;9,588;9,385;6,824;455;69;2,037;203;4,828;4,721;3,370;236;41;1,074;107;4,760;4,664;3,454;219;28;963;96
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2431;408;Provincia;La Paz;Manco Kapac;;Rural;24,241;23,834;16,487;1,366;135;5,846;407;12,094;11,892;8,016;710;76;3,090;202;12,147;11,942;8,471;656;59;2,756;205
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2432;409;Municipio;La Paz;Manco Kapac;Copacabana;Copacabana;17,289;17,092;12,013;765;127;4,187;197;8,394;8,304;5,639;384;80;2,201;90;8,895;8,788;6,374;381;47;1,986;107
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2433;410;Municipio;La Paz;Manco Kapac;Copacabana;Urbana;5,989;5,924;4,203;369;64;1,288;65;2,919;2,888;1,991;186;40;671;31;3,070;3,036;2,212;183;24;617;34
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2434;411;Municipio;La Paz;Manco Kapac;Copacabana;Rural;11,300;11,168;7,810;396;63;2,899;132;5,475;5,416;3,648;198;40;1,530;59;5,825;5,752;4,162;198;23;1,369;73
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2435;412;Municipio;La Paz;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;9,077;8,899;6,270;885;61;1,683;178;4,579;4,486;3,106;467;30;883;93;4,498;4,413;3,164;418;31;800;85
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2436;413;Municipio;La Paz;Manco Kapac;San Pedro de Tiquina;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2437;414;Municipio;La Paz;Manco Kapac;San Pedro de Tiquina;Rural;9,077;8,899;6,270;885;61;1,683;178;4,579;4,486;3,106;467;30;883;93;4,498;4,413;3,164;418;31;800;85
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2438;415;Municipio;La Paz;Manco Kapac;Tito Yupanqui;Tito Yupanqui;7,463;7,228;5,028;171;16;2,013;235;3,949;3,823;2,641;95;7;1,080;126;3,514;3,405;2,387;76;9;933;109
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2439;416;Municipio;La Paz;Manco Kapac;Tito Yupanqui;Urbana;3,599;3,461;2,621;86;5;749;138;1,909;1,833;1,379;50;1;403;76;1,690;1,628;1,242;36;4;346;62
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2440;417;Municipio;La Paz;Manco Kapac;Tito Yupanqui;Rural;3,864;3,767;2,407;85;11;1,264;97;2,040;1,990;1,262;45;6;677;50;1,824;1,777;1,145;40;5;587;47
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;17,606;17,096;13,836;731;64;2,465;510;9,384;9,119;7,246;394;40;1,439;265;8,222;7,977;6,590;337;24;1,026;245
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;17,606;17,096;13,836;731;64;2,465;510;9,384;9,119;7,246;394;40;1,439;265;8,222;7,977;6,590;337;24;1,026;245
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2444;421;Municipio;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;9,012;8,693;6,872;348;42;1,431;319;4,795;4,632;3,589;182;28;833;163;4,217;4,061;3,283;166;14;598;156
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2445;422;Municipio;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2446;423;Municipio;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;9,012;8,693;6,872;348;42;1,431;319;4,795;4,632;3,589;182;28;833;163;4,217;4,061;3,283;166;14;598;156
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2447;424;Municipio;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;6,557;6,410;5,414;284;14;698;147;3,508;3,427;2,843;154;7;423;81;3,049;2,983;2,571;130;7;275;66
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2448;425;Municipio;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2449;426;Municipio;La Paz;Gualberto Villarroel;Papel Pampa;Rural;6,557;6,410;5,414;284;14;698;147;3,508;3,427;2,843;154;7;423;81;3,049;2,983;2,571;130;7;275;66
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2450;427;Municipio;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;2,037;1,993;1,550;99;8;336;44;1,081;1,060;814;58;5;183;21;956;933;736;41;3;153;23
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2451;428;Municipio;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2452;429;Municipio;La Paz;Gualberto Villarroel;Chacarilla;Rural;2,037;1,993;1,550;99;8;336;44;1,081;1,060;814;58;5;183;21;956;933;736;41;3;153;23
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2453;430;Provincia;La Paz;General José Manuel Pando;;General José Manuel Pando;12,022;11,710;8,950;544;25;2,191;312;6,115;5,952;4,452;300;13;1,187;163;5,907;5,758;4,498;244;12;1,004;149
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2454;431;Provincia;La Paz;General José Manuel Pando;;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2455;432;Provincia;La Paz;General José Manuel Pando;;Rural;12,022;11,710;8,950;544;25;2,191;312;6,115;5,952;4,452;300;13;1,187;163;5,907;5,758;4,498;244;12;1,004;149
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2456;433;Municipio;La Paz;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;6,735;6,589;5,048;379;24;1,138;146;3,377;3,299;2,468;206;13;612;78;3,358;3,290;2,580;173;11;526;68
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2457;434;Municipio;La Paz;General José Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2458;435;Municipio;La Paz;General José Manuel Pando;Santiago de Machaca;Rural;6,735;6,589;5,048;379;24;1,138;146;3,377;3,299;2,468;206;13;612;78;3,358;3,290;2,580;173;11;526;68
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2459;436;Municipio;La Paz;General José Manuel Pando;Catacora;Catacora;5,287;5,121;3,902;165;1;1,053;166;2,738;2,653;1,984;94;0;575;85;2,549;2,468;1,918;71;1;478;81
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2460;437;Municipio;La Paz;General José Manuel Pando;Catacora;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2461;438;Municipio;La Paz;General José Manuel Pando;Catacora;Rural;5,287;5,121;3,902;165;1;1,053;166;2,738;2,653;1,984;94;0;575;85;2,549;2,468;1,918;71;1;478;81
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2462;439;Provincia;La Paz;Caranavi;;Caranavi;69,623;68,343;55,390;3,194;355;9,404;1,280;36,488;35,790;28,234;1,697;192;5,667;698;33,135;32,553;27,156;1,497;163;3,737;582
