cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;edad;sexo;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3685;1662;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;0 a 17;Mujeres;1;;;1;1;;;;3;5;7;1;1;;;1;;15
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3686;1663;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;18 a 29;Mujeres;;;;;;;1;;1;;;;;;;;;
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3687;1664;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;30 a 59;Mujeres;;;;;;;;;;2;;1;;;;1;;4
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3688;1665;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;60 o más;Mujeres;;;;;;;;;;;;;;;;;;
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3689;1666;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Palos Blancos;Palos Blancos;7;9;12;4;1;;6;;39;27;37;11;;16;;21;2;114
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3690;1667;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;0 a 17;Palos Blancos;6;6;3;1;;;2;;18;23;34;2;;12;;1;2;74
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3691;1668;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;18 a 29;Palos Blancos;1;;4;;;;1;;6;2;1;2;;1;;5;;11
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3692;1669;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;30 a 59;Palos Blancos;;2;3;3;1;;3;;12;2;2;7;;3;;11;;25
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3693;1670;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;60 o más;Palos Blancos;;1;2;;;;;;3;;;;;;;4;;4
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3694;1671;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Hombres;Hombres;3;2;8;3;1;;3;;20;16;18;7;;8;;16;;65
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3695;1672;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;0 a 17;Hombres;2;2;2;1;;;;;7;12;16;1;;5;;1;;35
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3696;1673;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;18 a 29;Hombres;1;;3;;;;1;;5;2;1;1;;;;4;;8
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3697;1674;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;30 a 59;Hombres;;;2;2;1;;2;;7;2;1;5;;3;;7;;18
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3698;1675;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;60 o más;Hombres;;;1;;;;;;1;;;;;;;4;;4
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3699;1676;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Mujeres;Mujeres;4;7;4;1;;;3;;19;11;19;4;;8;;5;2;49
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3700;1677;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;0 a 17;Mujeres;4;4;1;;;;2;;11;11;18;1;;7;;;2;39
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3701;1678;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;18 a 29;Mujeres;;;1;;;;;;1;;;1;;1;;1;;3
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3702;1679;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;30 a 59;Mujeres;;2;1;1;;;1;;5;;1;2;;;;4;;7
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3703;1680;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;60 o más;Mujeres;;1;1;;;;;;2;;;;;;;;;
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3704;1681;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;La Asunta;La Asunta;13;15;5;2;4;;5;11;55;59;44;16;2;5;;16;6;148
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3705;1682;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;0 a 17;La Asunta;10;14;2;2;2;;;3;33;54;41;1;2;4;;4;2;108
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3706;1683;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;18 a 29;La Asunta;1;;2;;;;1;3;7;4;;7;;;;3;2;16
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3707;1684;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;30 a 59;La Asunta;2;1;1;;1;;3;5;13;1;3;8;;1;;6;2;21
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3708;1685;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;60 o más;La Asunta;;;;;1;;1;;2;;;;;;;3;;3
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3709;1686;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Hombres;Hombres;4;9;5;1;1;;3;5;28;31;19;7;1;3;;14;4;79
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3710;1687;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;0 a 17;Hombres;2;8;2;1;;;;2;15;30;18;;1;3;;4;2;58
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3711;1688;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;18 a 29;Hombres;;;2;;;;;1;3;1;;2;;;;3;1;7
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3712;1689;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;30 a 59;Hombres;2;1;1;;;;2;2;8;;1;5;;;;5;1;12
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3713;1690;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;60 o más;Hombres;;;;;1;;1;;2;;;;;;;2;;2
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3714;1691;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Mujeres;Mujeres;9;6;;1;3;;2;6;27;28;25;9;1;2;;2;2;69
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3715;1692;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;0 a 17;Mujeres;8;6;;1;2;;;1;18;24;23;1;1;1;;;;50
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3716;1693;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;18 a 29;Mujeres;1;;;;;;1;2;4;3;;5;;;;;1;9
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3717;1694;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;30 a 59;Mujeres;;;;;1;;1;3;5;1;2;3;;1;;1;1;9
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3718;1695;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;60 o más;Mujeres;;;;;;;;;;;;;;;;1;;1
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3719;1696;Provincia;La Paz;Los Andes;;Los Andes;Los Andes;47;25;10;2;;1;6;1;92;258;230;71;1;13;3;40;14;630
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3720;1697;Provincia;La Paz;Los Andes;;0 a 17;Los Andes;42;22;;2;;;;;66;228;213;11;1;8;;9;11;481
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3721;1698;Provincia;La Paz;Los Andes;;18 a 29;Los Andes;2;2;4;;;;1;1;10;26;15;9;;;;15;2;67
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3722;1699;Provincia;La Paz;Los Andes;;30 a 59;Los Andes;3;1;6;;;1;5;;16;3;2;44;;4;3;16;;72
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3723;1700;Provincia;La Paz;Los Andes;;60 o más;Los Andes;;;;;;;;;;1;;7;;1;;;1;10
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3724;1701;Provincia;La Paz;Los Andes;;Hombres;Hombres;20;9;3;;;;5;;37;136;111;40;;6;1;19;8;321
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3725;1702;Provincia;La Paz;Los Andes;;0 a 17;Hombres;18;9;;;;;;;27;124;103;8;;6;;3;6;250
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3726;1703;Provincia;La Paz;Los Andes;;18 a 29;Hombres;1;;1;;;;1;;3;9;7;5;;;;6;1;28
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3727;1704;Provincia;La Paz;Los Andes;;30 a 59;Hombres;1;;2;;;;4;;7;2;1;23;;;1;10;;37
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3728;1705;Provincia;La Paz;Los Andes;;60 o más;Hombres;;;;;;;;;;1;;4;;;;;1;6
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3729;1706;Provincia;La Paz;Los Andes;;Mujeres;Mujeres;27;16;7;2;;1;1;1;55;122;119;31;1;7;2;21;6;309
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3730;1707;Provincia;La Paz;Los Andes;;0 a 17;Mujeres;24;13;;2;;;;;39;104;110;3;1;2;;6;5;231
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3731;1708;Provincia;La Paz;Los Andes;;18 a 29;Mujeres;1;2;3;;;;;1;7;17;8;4;;;;9;1;39
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3732;1709;Provincia;La Paz;Los Andes;;30 a 59;Mujeres;2;1;4;;;1;1;;9;1;1;21;;4;2;6;;35
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3733;1710;Provincia;La Paz;Los Andes;;60 o más;Mujeres;;;;;;;;;;;;3;;1;;;;4
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3734;1711;Municipio/TIOC;La Paz;Los Andes;Pucarani;Pucarani;Pucarani;21;12;2;;;;1;;36;99;102;21;;4;;13;6;245
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3735;1712;Municipio/TIOC;La Paz;Los Andes;Pucarani;0 a 17;Pucarani;19;11;;;;;;;30;87;98;4;;4;;6;5;204
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3736;1713;Municipio/TIOC;La Paz;Los Andes;Pucarani;18 a 29;Pucarani;1;1;1;;;;;;3;10;4;5;;;;3;;22
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3737;1714;Municipio/TIOC;La Paz;Los Andes;Pucarani;30 a 59;Pucarani;1;;1;;;;1;;3;1;;12;;;;4;;17
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3738;1715;Municipio/TIOC;La Paz;Los Andes;Pucarani;60 o más;Pucarani;;;;;;;;;;1;;;;;;;1;2
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3739;1716;Municipio/TIOC;La Paz;Los Andes;Pucarani;Hombres;Hombres;8;4;;;;;1;;13;49;51;14;;3;;6;3;126
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3740;1717;Municipio/TIOC;La Paz;Los Andes;Pucarani;0 a 17;Hombres;7;4;;;;;;;11;44;49;4;;3;;3;2;105
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3741;1718;Municipio/TIOC;La Paz;Los Andes;Pucarani;18 a 29;Hombres;1;;;;;;;;1;4;2;3;;;;;;9
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3742;1719;Municipio/TIOC;La Paz;Los Andes;Pucarani;30 a 59;Hombres;;;;;;;1;;1;;;7;;;;3;;10
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3743;1720;Municipio/TIOC;La Paz;Los Andes;Pucarani;60 o más;Hombres;;;;;;;;;;1;;;;;;;1;2
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3744;1721;Municipio/TIOC;La Paz;Los Andes;Pucarani;Mujeres;Mujeres;13;8;2;;;;;;23;50;51;7;;1;;7;3;119
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3745;1722;Municipio/TIOC;La Paz;Los Andes;Pucarani;0 a 17;Mujeres;12;7;;;;;;;19;43;49;;;1;;3;3;99
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3746;1723;Municipio/TIOC;La Paz;Los Andes;Pucarani;18 a 29;Mujeres;;1;1;;;;;;2;6;2;2;;;;3;;13
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3747;1724;Municipio/TIOC;La Paz;Los Andes;Pucarani;30 a 59;Mujeres;1;;1;;;;;;2;1;;5;;;;1;;7
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 3748;1725;Municipio/TIOC;La Paz;Los Andes;Pucarani;60 o más;Mujeres;;;;;;;;;;;;;;;;;;
