cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2021_poblacion_2001;2021_poblacion_1996;2021_no_migrantes;2021_porcentaje_de_no_migrantes_;2021_inmigrantes_1996-2001;2021_porcentaje_de_inmigrantes_recientes;2021_emigrantes_1996-2001;2021_porcentaje_de_emigrantes_recientes;2021_migracion_neta;2021_migracion_bruta;2021_tasa_de_inmigracion;2021_tasa_de_emigracion;2021_tasa_de_migracion_neta;2021_indice_de_eficacia_migratoria;2001_poblacion_2001;2001_poblacion_2007;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_2007-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_2007-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2019-2024;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2019-2024;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria;;
;173;Municipio/TIOC;La Paz;Pacajes;Caquiaviri;Hombres;5449.00;5854.00;5341.00;0.20;108.00;0.00;513.00;0.10;-405.00;621.00;3.80;18.20;-14.30;-0.70;6699.00;6780.00;6434.00;0.20;265.00;0.10;346.00;0.10;-81.00;611.00;7.90;10.30;-2.40;-0.10;6178.00;6081.00;5806.00;0.10;372.00;0.10;275.00;0.10;97.00;647.00;12.10;9.00;3.20;0.10;;
;174;Municipio/TIOC;La Paz;Pacajes;Caquiaviri;Mujeres;5354.00;5898.00;5290.00;0.20;64.00;0.00;608.00;0.20;-544.00;672.00;2.30;21.60;-19.30;-0.80;6469.00;6629.00;6263.00;0.20;206.00;0.10;366.00;0.10;-160.00;572.00;6.30;11.20;-4.90;-0.30;6194.00;6136.00;5845.00;0.10;349.00;0.10;291.00;0.10;58.00;640.00;11.30;9.40;1.90;0.10;;
;175;Municipio/TIOC;La Paz;Pacajes;Calacoto;Calacoto;8081.00;8962.00;7706.00;0.10;375.00;0.10;1256.00;0.20;-881.00;1631.00;8.80;29.50;-20.70;-0.50;9014.00;9144.00;8789.00;0.10;225.00;0.00;355.00;0.10;-130.00;580.00;5.00;7.80;-2.90;-0.20;10081.00;9817.00;9404.00;0.10;677.00;0.10;413.00;0.10;264.00;1090.00;13.60;8.30;5.30;0.20;;
;176;Municipio/TIOC;La Paz;Pacajes;Calacoto;Hombres;4129.00;4538.00;3926.00;0.10;203.00;0.10;612.00;0.20;-409.00;815.00;9.40;28.20;-18.90;-0.50;4742.00;4771.00;4614.00;0.10;128.00;0.00;157.00;0.00;-29.00;285.00;5.40;6.60;-1.20;-0.10;5154.00;4996.00;4805.00;0.10;349.00;0.10;191.00;0.10;158.00;540.00;13.80;7.50;6.20;0.30;;
;177;Municipio/TIOC;La Paz;Pacajes;Calacoto;Mujeres;3952.00;4424.00;3780.00;0.10;172.00;0.00;644.00;0.20;-472.00;816.00;8.20;30.80;-22.50;-0.60;4272.00;4373.00;4175.00;0.10;97.00;0.00;198.00;0.10;-101.00;295.00;4.50;9.20;-4.70;-0.30;4927.00;4821.00;4599.00;0.10;328.00;0.10;222.00;0.10;106.00;550.00;13.50;9.10;4.30;0.20;;
;178;Municipio/TIOC;La Paz;Pacajes;Comanche;Comanche;3355.00;3767.00;3187.00;0.10;168.00;0.00;580.00;0.10;-412.00;748.00;9.40;32.60;-23.10;-0.60;3502.00;3690.00;3429.00;0.00;73.00;0.00;261.00;0.00;-188.00;334.00;4.10;14.50;-10.50;-0.60;4519.00;4414.00;4278.00;0.00;241.00;0.00;136.00;0.00;105.00;377.00;10.80;6.10;4.70;0.30;;
;179;Municipio/TIOC;La Paz;Pacajes;Comanche;Hombres;1606.00;1761.00;1505.00;0.00;101.00;0.00;256.00;0.10;-155.00;357.00;12.00;30.40;-18.40;-0.40;1766.00;1837.00;1727.00;0.00;39.00;0.00;110.00;0.00;-71.00;149.00;4.30;12.20;-7.90;-0.50;2193.00;2142.00;2083.00;0.00;110.00;0.00;59.00;0.00;51.00;169.00;10.10;5.40;4.70;0.30;;
;180;Municipio/TIOC;La Paz;Pacajes;Comanche;Mujeres;1749.00;2006.00;1682.00;0.10;67.00;0.00;324.00;0.10;-257.00;391.00;7.10;34.50;-27.40;-0.70;1736.00;1853.00;1702.00;0.00;34.00;0.00;151.00;0.00;-117.00;185.00;3.80;16.80;-13.00;-0.60;2326.00;2272.00;2195.00;0.00;131.00;0.00;77.00;0.00;54.00;208.00;11.40;6.70;4.70;0.30;;
;181;Municipio/TIOC;La Paz;Pacajes;Charaña;Charaña;2387.00;2642.00;2185.00;0.00;202.00;0.00;457.00;0.10;-255.00;659.00;16.10;36.30;-20.30;-0.40;2921.00;2852.00;2705.00;0.00;216.00;0.00;147.00;0.00;69.00;363.00;15.00;10.20;4.80;0.20;3492.00;3464.00;3352.00;0.00;140.00;0.00;112.00;0.00;28.00;252.00;8.10;6.40;1.60;0.10;;
;182;Municipio/TIOC;La Paz;Pacajes;Charaña;Hombres;1213.00;1329.00;1104.00;0.00;109.00;0.00;225.00;0.10;-116.00;334.00;17.20;35.40;-18.30;-0.30;1484.00;1441.00;1368.00;0.00;116.00;0.00;73.00;0.00;43.00;189.00;15.90;10.00;5.90;0.20;1799.00;1782.00;1724.00;0.00;75.00;0.00;58.00;0.00;17.00;133.00;8.40;6.50;1.90;0.10;;
;183;Municipio/TIOC;La Paz;Pacajes;Charaña;Mujeres;1174.00;1313.00;1081.00;0.00;93.00;0.00;232.00;0.10;-139.00;325.00;15.00;37.30;-22.40;-0.40;1437.00;1411.00;1337.00;0.00;100.00;0.00;74.00;0.00;26.00;174.00;14.00;10.40;3.70;0.10;1693.00;1682.00;1628.00;0.00;65.00;0.00;54.00;0.00;11.00;119.00;7.70;6.40;1.30;0.10;;
;184;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Waldo Ballivián;1424.00;1534.00;1396.00;0.00;28.00;0.00;138.00;0.00;-110.00;166.00;3.80;18.70;-14.90;-0.70;4407.00;4321.00;4235.00;0.10;172.00;0.00;86.00;0.00;86.00;258.00;7.90;3.90;3.90;0.30;5404.00;5330.00;5141.00;0.10;263.00;0.00;189.00;0.00;74.00;452.00;9.80;7.00;2.80;0.20;;
;185;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Hombres;734.00;780.00;715.00;0.00;19.00;0.00;65.00;0.00;-46.00;84.00;5.00;17.20;-12.20;-0.50;2297.00;2244.00;2207.00;0.10;90.00;0.00;37.00;0.00;53.00;127.00;7.90;3.30;4.70;0.40;2982.00;2918.00;2826.00;0.10;156.00;0.00;92.00;0.00;64.00;248.00;10.60;6.20;4.30;0.30;;
;186;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Mujeres;690.00;754.00;681.00;0.00;9.00;0.00;73.00;0.00;-64.00;82.00;2.50;20.20;-17.70;-0.80;2110.00;2077.00;2028.00;0.00;82.00;0.00;49.00;0.00;33.00;131.00;7.80;4.70;3.20;0.30;2422.00;2412.00;2315.00;0.10;107.00;0.00;97.00;0.00;10.00;204.00;8.90;8.00;0.80;0.00;;
;187;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Nazacara de Pacajes;253.00;231.00;220.00;0.00;33.00;0.00;11.00;0.00;22.00;44.00;27.30;9.10;18.20;0.50;554.00;539.00;532.00;0.00;22.00;0.00;7.00;0.00;15.00;29.00;8.10;2.60;5.50;0.50;3184.00;3081.00;2986.00;0.00;198.00;0.00;95.00;0.00;103.00;293.00;12.60;6.10;6.60;0.40;;
;188;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Hombres;134.00;115.00;109.00;0.00;25.00;0.00;6.00;0.00;19.00;31.00;40.20;9.60;30.50;0.60;305.00;299.00;293.00;0.00;12.00;0.00;6.00;0.00;6.00;18.00;7.90;4.00;4.00;0.30;1624.00;1567.00;1523.00;0.00;101.00;0.00;44.00;0.00;57.00;145.00;12.70;5.50;7.10;0.40;;
;189;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Mujeres;119.00;116.00;111.00;0.00;8.00;0.00;5.00;0.00;3.00;13.00;13.60;8.50;5.10;0.20;249.00;240.00;239.00;0.00;10.00;0.00;1.00;0.00;9.00;11.00;8.20;0.80;7.40;0.80;1560.00;1514.00;1463.00;0.00;97.00;0.00;51.00;0.00;46.00;148.00;12.60;6.60;6.00;0.30;;
;190;Municipio/TIOC;La Paz;Pacajes;Callapa;Callapa;7275.00;7874.00;7076.00;0.10;199.00;0.00;798.00;0.10;-599.00;997.00;5.30;21.10;-15.80;-0.60;6434.00;6540.00;6175.00;0.10;259.00;0.00;365.00;0.10;-106.00;624.00;8.00;11.30;-3.30;-0.20;6459.00;6344.00;6088.00;0.10;371.00;0.10;256.00;0.00;115.00;627.00;11.60;8.00;3.60;0.20;;
;191;Municipio/TIOC;La Paz;Pacajes;Callapa;Hombres;3788.00;4051.00;3681.00;0.10;107.00;0.00;370.00;0.10;-263.00;477.00;5.50;18.90;-13.40;-0.60;3482.00;3521.00;3326.00;0.10;156.00;0.00;195.00;0.10;-39.00;351.00;8.90;11.10;-2.20;-0.10;3353.00;3332.00;3184.00;0.10;169.00;0.00;148.00;0.00;21.00;317.00;10.10;8.90;1.30;0.10;;
;192;Municipio/TIOC;La Paz;Pacajes;Callapa;Mujeres;3487.00;3823.00;3395.00;0.10;92.00;0.00;428.00;0.10;-336.00;520.00;5.00;23.40;-18.40;-0.60;2952.00;3019.00;2849.00;0.10;103.00;0.00;170.00;0.10;-67.00;273.00;6.90;11.40;-4.50;-0.20;3106.00;3012.00;2904.00;0.10;202.00;0.10;108.00;0.00;94.00;310.00;13.20;7.10;6.10;0.30;;
;193;Provincia;La Paz;Camacho;;Camacho;51958.00;57074.00;49768.00;0.80;2190.00;0.30;7306.00;1.00;-5116.00;9496.00;8.00;26.80;-18.80;-0.50;49025.00;50285.00;47441.00;0.60;1584.00;0.30;2844.00;0.50;-1260.00;4428.00;6.40;11.50;-5.10;-0.30;53858.00;53786.00;51658.00;0.60;2200.00;0.40;2128.00;0.40;72.00;4328.00;8.20;7.90;0.30;0.00;;
;194;Provincia;La Paz;Camacho;;Hombres;25910.00;28203.00;24554.00;0.80;1356.00;0.40;3649.00;1.00;-2293.00;5005.00;10.00;27.00;-16.90;-0.50;24979.00;25532.00;24026.00;0.60;953.00;0.30;1506.00;0.50;-553.00;2459.00;7.50;11.90;-4.40;-0.20;27691.00;27611.00;26499.00;0.60;1192.00;0.40;1112.00;0.40;80.00;2304.00;8.60;8.00;0.60;0.00;;
;195;Provincia;La Paz;Camacho;;Mujeres;26048.00;28871.00;25214.00;0.80;834.00;0.20;3657.00;1.10;-2823.00;4491.00;6.10;26.60;-20.60;-0.60;24046.00;24753.00;23415.00;0.60;631.00;0.20;1338.00;0.50;-707.00;1969.00;5.20;11.00;-5.80;-0.40;26167.00;26175.00;25159.00;0.50;1008.00;0.40;1016.00;0.40;-8.00;2024.00;7.70;7.80;-0.10;0.00;;
;196;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Puerto Acosta;12050.00;14726.00;11478.00;0.20;572.00;0.10;3248.00;0.40;-2676.00;3820.00;8.50;48.50;-40.00;-0.70;10262.00;10552.00;9840.00;0.10;422.00;0.10;712.00;0.10;-290.00;1134.00;8.10;13.70;-5.60;-0.30;11659.00;11659.00;11049.00;0.10;610.00;0.10;610.00;0.10;0.00;1220.00;10.50;10.50;0.00;0.00;;
;197;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Hombres;5897.00;7172.00;5558.00;0.20;339.00;0.10;1614.00;0.40;-1275.00;1953.00;10.40;49.40;-39.00;-0.70;5074.00;5211.00;4835.00;0.10;239.00;0.10;376.00;0.10;-137.00;615.00;9.30;14.60;-5.30;-0.20;5880.00;5866.00;5557.00;0.10;323.00;0.10;309.00;0.10;14.00;632.00;11.00;10.50;0.50;0.00;;
;198;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Mujeres;6153.00;7554.00;5920.00;0.20;233.00;0.10;1634.00;0.50;-1401.00;1867.00;6.80;47.70;-40.90;-0.80;5188.00;5341.00;5005.00;0.10;183.00;0.10;336.00;0.10;-153.00;519.00;7.00;12.80;-5.80;-0.30;5779.00;5793.00;5492.00;0.10;287.00;0.10;301.00;0.10;-14.00;588.00;9.90;10.40;-0.50;0.00;;
;199;Municipio/TIOC;La Paz;Camacho;Mocomoco;Mocomoco;15203.00;16444.00;14824.00;0.20;379.00;0.10;1620.00;0.20;-1241.00;1999.00;4.80;20.50;-15.70;-0.60;14181.00;14645.00;13829.00;0.20;352.00;0.10;816.00;0.10;-464.00;1168.00;4.90;11.30;-6.40;-0.40;15120.00;15258.00;14669.00;0.20;451.00;0.10;589.00;0.10;-138.00;1040.00;5.90;7.80;-1.80;-0.10;;
;200;Municipio/TIOC;La Paz;Camacho;Mocomoco;Hombres;7691.00;8293.00;7466.00;0.20;225.00;0.10;827.00;0.20;-602.00;1052.00;5.60;20.70;-15.10;-0.60;7424.00;7657.00;7230.00;0.20;194.00;0.10;427.00;0.10;-233.00;621.00;5.10;11.30;-6.20;-0.40;7920.00;7998.00;7678.00;0.20;242.00;0.10;320.00;0.10;-78.00;562.00;6.10;8.00;-2.00;-0.10;;
;201;Municipio/TIOC;La Paz;Camacho;Mocomoco;Mujeres;7512.00;8151.00;7358.00;0.20;154.00;0.00;793.00;0.20;-639.00;947.00;3.90;20.30;-16.30;-0.70;6757.00;6988.00;6599.00;0.20;158.00;0.10;389.00;0.10;-231.00;547.00;4.60;11.30;-6.70;-0.40;7200.00;7260.00;6991.00;0.20;209.00;0.10;269.00;0.10;-60.00;478.00;5.80;7.40;-1.70;-0.10;;
;202;Municipio/TIOC;La Paz;Camacho;Puerto Carabuco;Puerto Carabuco;13213.00;13923.00;12424.00;0.20;789.00;0.10;1499.00;0.20;-710.00;2288.00;11.60;22.10;-10.50;-0.30;13138.00;13258.00;12520.00;0.20;618.00;0.10;738.00;0.10;-120.00;1356.00;9.40;11.20;-1.80;-0.10;14665.00;14433.00;13958.00;0.20;707.00;0.10;475.00;0.10;232.00;1182.00;9.70;6.50;3.20;0.20;;
;203;Municipio/TIOC;La Paz;Camacho;Puerto Carabuco;Hombres;6847.00;7058.00;6301.00;0.20;546.00;0.10;757.00;0.20;-211.00;1303.00;15.70;21.80;-6.10;-0.20;6797.00;6781.00;6387.00;0.20;410.00;0.10;394.00;0.10;16.00;804.00;12.10;11.60;0.50;0.00;7570.00;7423.00;7167.00;0.20;403.00;0.10;256.00;0.10;147.00;659.00;10.80;6.80;3.90;0.20;;
;204;Municipio/TIOC;La Paz;Camacho;Puerto Carabuco;Mujeres;6366.00;6865.00;6123.00;0.20;243.00;0.10;742.00;0.20;-499.00;985.00;7.30;22.40;-15.10;-0.50;6341.00;6477.00;6133.00;0.10;208.00;0.10;344.00;0.10;-136.00;552.00;6.50;10.70;-4.20;-0.20;7095.00;7010.00;6791.00;0.10;304.00;0.10;219.00;0.10;85.00;523.00;8.60;6.20;2.40;0.20;;
;205;Municipio/TIOC;La Paz;Camacho;Humanata;Humanata;4825.00;4735.00;4725.00;0.10;100.00;0.00;10.00;0.00;90.00;110.00;4.20;0.40;3.80;0.80;4893.00;5110.00;4827.00;0.10;66.00;0.00;283.00;0.00;-217.00;349.00;2.60;11.30;-8.70;-0.60;4953.00;4990.00;4803.00;0.10;150.00;0.00;187.00;0.00;-37.00;337.00;6.00;7.50;-1.50;-0.10;;
;206;Municipio/TIOC;La Paz;Camacho;Humanata;Hombres;2241.00;2183.00;2179.00;0.10;62.00;0.00;4.00;0.00;58.00;66.00;5.60;0.40;5.20;0.90;2453.00;2571.00;2419.00;0.10;34.00;0.00;152.00;0.00;-118.00;186.00;2.70;12.10;-9.40;-0.60;2578.00;2591.00;2505.00;0.10;73.00;0.00;86.00;0.00;-13.00;159.00;5.60;6.70;-1.00;-0.10;;
;207;Municipio/TIOC;La Paz;Camacho;Humanata;Mujeres;2584.00;2552.00;2546.00;0.10;38.00;0.00;6.00;0.00;32.00;44.00;3.00;0.50;2.50;0.70;2440.00;2539.00;2408.00;0.10;32.00;0.00;131.00;0.00;-99.00;163.00;2.60;10.50;-8.00;-0.60;2375.00;2399.00;2298.00;0.00;77.00;0.00;101.00;0.00;-24.00;178.00;6.50;8.50;-2.00;-0.10;;
;208;Municipio/TIOC;La Paz;Camacho;Escoma;Escoma;6325.00;6036.00;5960.00;0.10;365.00;0.00;76.00;0.00;289.00;441.00;11.80;2.50;9.40;0.70;6551.00;6720.00;6339.00;0.10;212.00;0.00;381.00;0.10;-169.00;593.00;6.40;11.50;-5.10;-0.30;7461.00;7446.00;7101.00;0.10;360.00;0.10;345.00;0.10;15.00;705.00;9.70;9.30;0.40;0.00;;
;209;Municipio/TIOC;La Paz;Camacho;Escoma;Hombres;3047.00;2898.00;2859.00;0.10;188.00;0.00;39.00;0.00;149.00;227.00;12.60;2.60;10.00;0.70;3231.00;3312.00;3107.00;0.10;124.00;0.00;205.00;0.10;-81.00;329.00;7.60;12.50;-5.00;-0.20;3743.00;3733.00;3556.00;0.10;187.00;0.10;177.00;0.10;10.00;364.00;10.00;9.50;0.50;0.00;;
;210;Municipio/TIOC;La Paz;Camacho;Escoma;Mujeres;3278.00;3138.00;3101.00;0.10;177.00;0.00;37.00;0.00;140.00;214.00;11.00;2.30;8.70;0.70;3320.00;3408.00;3232.00;0.10;88.00;0.00;176.00;0.10;-88.00;264.00;5.20;10.50;-5.20;-0.30;3718.00;3713.00;3545.00;0.10;173.00;0.10;168.00;0.10;5.00;341.00;9.30;9.00;0.30;0.00;;
;211;Provincia;La Paz;Muñecas;;Muñecas;21803.00;23196.00;21263.00;0.30;540.00;0.10;1933.00;0.30;-1393.00;2473.00;4.80;17.20;-12.40;-0.60;22622.00;23118.00;21913.00;0.30;709.00;0.10;1205.00;0.20;-496.00;1914.00;6.20;10.50;-4.30;-0.30;28166.00;27911.00;26939.00;0.30;1227.00;0.20;972.00;0.20;255.00;2199.00;8.80;6.90;1.80;0.10;;
;212;Provincia;La Paz;Muñecas;;Hombres;11255.00;11946.00;10964.00;0.30;291.00;0.10;982.00;0.30;-691.00;1273.00;5.00;16.90;-11.90;-0.50;11883.00;12122.00;11495.00;0.30;388.00;0.10;627.00;0.20;-239.00;1015.00;6.50;10.40;-4.00;-0.20;14894.00;14752.00;14240.00;0.30;654.00;0.20;512.00;0.20;142.00;1166.00;8.80;6.90;1.90;0.10;;
;213;Provincia;La Paz;Muñecas;;Mujeres;10548.00;11250.00;10299.00;0.30;249.00;0.10;951.00;0.30;-702.00;1200.00;4.60;17.50;-12.90;-0.60;10739.00;10996.00;10418.00;0.30;321.00;0.10;578.00;0.20;-257.00;899.00;5.90;10.60;-4.70;-0.30;13272.00;13159.00;12699.00;0.30;573.00;0.20;460.00;0.20;113.00;1033.00;8.70;7.00;1.70;0.10;;
;214;Municipio/TIOC;La Paz;Muñecas;Chuma;Chuma;11221.00;11756.00;10951.00;0.20;270.00;0.00;805.00;0.10;-535.00;1075.00;4.70;14.00;-9.30;-0.50;10331.00;10675.00;10038.00;0.10;293.00;0.00;637.00;0.10;-344.00;930.00;5.60;12.10;-6.60;-0.40;15105.00;15147.00;14677.00;0.20;428.00;0.10;470.00;0.10;-42.00;898.00;5.70;6.20;-0.60;0.00;;
;215;Municipio/TIOC;La Paz;Muñecas;Chuma;Hombres;5863.00;6105.00;5719.00;0.20;144.00;0.00;386.00;0.10;-242.00;530.00;4.80;12.90;-8.10;-0.50;5361.00;5537.00;5211.00;0.10;150.00;0.00;326.00;0.10;-176.00;476.00;5.50;12.00;-6.50;-0.40;7894.00;7921.00;7672.00;0.20;222.00;0.10;249.00;0.10;-27.00;471.00;5.60;6.30;-0.70;-0.10;;
;216;Municipio/TIOC;La Paz;Muñecas;Chuma;Mujeres;5358.00;5651.00;5232.00;0.20;126.00;0.00;419.00;0.10;-293.00;545.00;4.60;15.20;-10.60;-0.50;4970.00;5138.00;4827.00;0.10;143.00;0.00;311.00;0.10;-168.00;454.00;5.70;12.30;-6.60;-0.40;7211.00;7226.00;7005.00;0.20;206.00;0.10;221.00;0.10;-15.00;427.00;5.70;6.10;-0.40;0.00;;
;217;Municipio/TIOC;La Paz;Muñecas;Ayata;Ayata;6872.00;7200.00;6717.00;0.10;155.00;0.00;483.00;0.10;-328.00;638.00;4.40;13.70;-9.30;-0.50;7473.00;7611.00;7305.00;0.10;168.00;0.00;306.00;0.00;-138.00;474.00;4.50;8.10;-3.70;-0.30;7535.00;7538.00;7158.00;0.10;377.00;0.10;380.00;0.10;-3.00;757.00;10.00;10.10;-0.10;0.00;;
;218;Municipio/TIOC;La Paz;Muñecas;Ayata;Hombres;3461.00;3640.00;3375.00;0.10;86.00;0.00;265.00;0.10;-179.00;351.00;4.80;14.90;-10.10;-0.50;3912.00;3987.00;3820.00;0.10;92.00;0.00;167.00;0.00;-75.00;259.00;4.70;8.50;-3.80;-0.30;3976.00;3991.00;3779.00;0.10;197.00;0.10;212.00;0.10;-15.00;409.00;9.90;10.60;-0.80;0.00;;
;219;Municipio/TIOC;La Paz;Muñecas;Ayata;Mujeres;3411.00;3560.00;3342.00;0.10;69.00;0.00;218.00;0.10;-149.00;287.00;4.00;12.50;-8.50;-0.50;3561.00;3624.00;3485.00;0.10;76.00;0.00;139.00;0.00;-63.00;215.00;4.20;7.70;-3.50;-0.30;3559.00;3547.00;3379.00;0.10;180.00;0.10;168.00;0.10;12.00;348.00;10.10;9.50;0.70;0.00;;
;220;Municipio/TIOC;La Paz;Muñecas;Aucapata;Aucapata;3568.00;3844.00;3454.00;0.10;114.00;0.00;390.00;0.10;-276.00;504.00;6.20;21.00;-14.90;-0.50;4818.00;4832.00;4539.00;0.10;279.00;0.00;293.00;0.00;-14.00;572.00;11.60;12.10;-0.60;0.00;5526.00;5226.00;5049.00;0.10;477.00;0.10;177.00;0.00;300.00;654.00;17.70;6.60;11.20;0.50;;
;221;Municipio/TIOC;La Paz;Muñecas;Aucapata;Hombres;1848.00;2000.00;1793.00;0.10;55.00;0.00;207.00;0.10;-152.00;262.00;5.70;21.50;-15.80;-0.60;2610.00;2598.00;2452.00;0.10;158.00;0.00;146.00;0.00;12.00;304.00;12.10;11.20;0.90;0.00;3024.00;2840.00;2752.00;0.10;272.00;0.10;88.00;0.00;184.00;360.00;18.60;6.00;12.60;0.50;;
;222;Municipio/TIOC;La Paz;Muñecas;Aucapata;Mujeres;1720.00;1844.00;1661.00;0.10;59.00;0.00;183.00;0.10;-124.00;242.00;6.60;20.50;-13.90;-0.50;2208.00;2234.00;2087.00;0.10;121.00;0.00;147.00;0.00;-26.00;268.00;10.90;13.20;-2.30;-0.10;2502.00;2386.00;2297.00;0.00;205.00;0.10;89.00;0.00;116.00;294.00;16.80;7.30;9.50;0.40;;
;223;Provincia;La Paz;Larecaja;;Larecaja;58510.00;64990.00;54347.00;0.90;4163.00;0.60;10643.00;1.50;-6480.00;14806.00;13.50;34.50;-21.00;-0.40;75346.00;72151.00;68239.00;0.80;7107.00;1.20;3912.00;0.60;3195.00;11019.00;19.30;10.60;8.70;0.30;87875.00;83997.00;79348.00;0.90;8527.00;1.50;4649.00;0.80;3878.00;13176.00;19.80;10.80;9.00;0.30;;
;224;Provincia;La Paz;Larecaja;;Hombres;31165.00;34302.00;28802.00;0.90;2363.00;0.60;5500.00;1.50;-3137.00;7863.00;14.40;33.60;-19.20;-0.40;40417.00;38352.00;36318.00;0.90;4099.00;1.30;2034.00;0.60;2065.00;6133.00;20.80;10.30;10.50;0.30;46517.00;44200.00;41767.00;0.90;4750.00;1.70;2433.00;0.80;2317.00;7183.00;20.90;10.70;10.20;0.30;;
;225;Provincia;La Paz;Larecaja;;Mujeres;27345.00;30688.00;25545.00;0.80;1800.00;0.50;5143.00;1.50;-3343.00;6943.00;12.40;35.40;-23.00;-0.50;34929.00;33799.00;31921.00;0.80;3008.00;1.00;1878.00;0.70;1130.00;4886.00;17.50;10.90;6.60;0.20;41358.00;39797.00;37581.00;0.80;3777.00;1.40;2216.00;0.80;1561.00;5993.00;18.60;10.90;7.70;0.30;;
;226;Municipio/TIOC;La Paz;Larecaja;Sorata;Sorata;16695.00;18274.00;15795.00;0.30;900.00;0.10;2479.00;0.30;-1579.00;3379.00;10.30;28.40;-18.10;-0.50;21032.00;21358.00;20038.00;0.20;994.00;0.10;1320.00;0.20;-326.00;2314.00;9.40;12.50;-3.10;-0.10;24879.00;24493.00;23377.00;0.30;1502.00;0.20;1116.00;0.20;386.00;2618.00;12.20;9.00;3.10;0.10;;
;227;Municipio/TIOC;La Paz;Larecaja;Sorata;Hombres;8547.00;9295.00;8033.00;0.30;514.00;0.10;1262.00;0.30;-748.00;1776.00;11.50;28.30;-16.80;-0.40;10893.00;11011.00;10331.00;0.30;562.00;0.20;680.00;0.20;-118.00;1242.00;10.30;12.40;-2.20;-0.10;12569.00;12377.00;11782.00;0.30;787.00;0.20;595.00;0.20;192.00;1382.00;12.60;9.50;3.10;0.10;;
;228;Municipio/TIOC;La Paz;Larecaja;Sorata;Mujeres;8148.00;8979.00;7762.00;0.20;386.00;0.10;1217.00;0.30;-831.00;1603.00;9.00;28.40;-19.40;-0.50;10139.00;10347.00;9707.00;0.20;432.00;0.10;640.00;0.20;-208.00;1072.00;8.40;12.50;-4.10;-0.20;12310.00;12116.00;11595.00;0.30;715.00;0.20;521.00;0.20;194.00;1236.00;11.70;8.50;3.20;0.20;;
;229;Municipio/TIOC;La Paz;Larecaja;Guanay;Guanay;10406.00;14218.00;9452.00;0.20;954.00;0.10;4766.00;0.60;-3812.00;5720.00;15.50;77.40;-61.90;-0.70;12833.00;12285.00;11247.00;0.10;1586.00;0.20;1038.00;0.20;548.00;2624.00;25.30;16.50;8.70;0.20;13976.00;13384.00;12204.00;0.10;1772.00;0.30;1180.00;0.20;592.00;2952.00;25.90;17.30;8.70;0.20;;
;230;Municipio/TIOC;La Paz;Larecaja;Guanay;Hombres;5601.00;7598.00;5030.00;0.20;571.00;0.10;2568.00;0.70;-1997.00;3139.00;17.30;77.80;-60.50;-0.60;7091.00;6694.00;6120.00;0.20;971.00;0.30;574.00;0.20;397.00;1545.00;28.20;16.70;11.50;0.30;7465.00;7069.00;6439.00;0.10;1026.00;0.30;630.00;0.20;396.00;1656.00;28.20;17.30;10.90;0.20;;
;231;Municipio/TIOC;La Paz;Larecaja;Guanay;Mujeres;4805.00;6620.00;4422.00;0.10;383.00;0.10;2198.00;0.60;-1815.00;2581.00;13.40;77.00;-63.50;-0.70;5742.00;5591.00;5127.00;0.10;615.00;0.20;464.00;0.10;151.00;1079.00;21.70;16.40;5.30;0.10;6511.00;6315.00;5765.00;0.10;746.00;0.20;550.00;0.20;196.00;1296.00;23.30;17.20;6.10;0.20;;
;232;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Tacacoma;5324.00;5810.00;4911.00;0.10;413.00;0.10;899.00;0.10;-486.00;1312.00;14.80;32.30;-17.50;-0.40;7194.00;6895.00;6535.00;0.10;659.00;0.10;360.00;0.10;299.00;1019.00;18.70;10.20;8.50;0.30;8100.00;7688.00;7317.00;0.10;783.00;0.10;371.00;0.10;412.00;1154.00;19.80;9.40;10.40;0.40;;
