cuadro;no;nivel;departamento;provincio;municipio_tioc;area;2001_total_poblacion;2001_total_hombres;2001_total_mujeres;2001_ninguno_total;2001_ninguno_hombres;2001_ninguno_mujeres;2001_primaria_total;2001_primaria_hombres;2001_primaria_mujeres;2001_secundaria_total;2001_secundaria_hombres;2001_secundaria_mujeres;2001_superior_total;2001_superior_hombres;2001_superior_mujeres;2001_otros_total;2001_otros_hombres;2001_otros_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_ninguno_total;2012_ninguno_hombres;2012_ninguno_mujeres;2012_primaria_total;2012_primaria_hombres;2012_primaria_mujeres;2012_secundaria_total;2012_secundaria_hombres;2012_secundaria_mujeres;2012_superior_total;2012_superior_hombres;2012_superior_mujeres;2012_otros_total;2012_otros_hombres;2012_otros_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_ninguno_total;2024_ninguno_hombres;2024_ninguno_mujeres;2024_primaria_total;2024_primaria_hombres;2024_primaria_mujeres;2024_secundaria_total;2024_secundaria_hombres;2024_secundaria_mujeres;2024_superior_total;2024_superior_hombres;2024_superior_mujeres
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2431;408;Provincia;La Paz;Manco Kapac;;Rural;10,781;4,940;5,841;3,533;736;2,797;4,681;2,379;2,302;2,160;1,540;620;391;275;116;16;10;6;12,239;5,772;6,467;2,659;597;2,062;4,783;2,209;2,574;4,190;2,599;1,591;581;355;226;26;12;14;17,671;8,686;8,985;1,698;276;1,422;5,452;2,217;3,235;8,301;4,970;3,331;2,220;1,223;997
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2432;409;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Copacabana;7,977;3,659;4,318;2,148;462;1,686;3,563;1,654;1,909;1,859;1,293;566;367;226;141;40;24;16;9,443;4,435;5,008;1,607;332;1,275;3,592;1,571;2,021;3,449;2,071;1,378;771;451;320;24;10;14;12,299;5,870;6,429;1,026;143;883;3,707;1,379;2,328;5,705;3,371;2,334;1,861;977;884
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2433;410;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Urbana;2,240;1,041;1,199;337;65;272;902;353;549;764;482;282;202;119;83;35;22;13;3,492;1,664;1,828;362;90;272;1,033;403;630;1,523;840;683;559;325;234;15;6;9;4,217;2,029;2,188;219;31;188;961;340;621;1,917;1,088;829;1,120;570;550
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2434;411;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Rural;5,737;2,618;3,119;1,811;397;1,414;2,661;1,301;1,360;1,095;811;284;165;107;58;5;2;3;5,951;2,771;3,180;1,245;242;1,003;2,559;1,168;1,391;1,926;1,231;695;212;126;86;9;4;5;8,082;3,841;4,241;807;112;695;2,746;1,039;1,707;3,788;2,283;1,505;741;407;334
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2435;412;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;3,664;1,725;1,939;1,159;206;953;1,526;818;708;773;543;230;197;151;46;9;7;2;4,268;2,015;2,253;953;205;748;1,562;728;834;1,410;875;535;327;199;128;16;8;8;6,700;3,336;3,364;580;94;486;1,850;769;1,081;3,126;1,844;1,282;1,144;629;515
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2436;413;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2437;414;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Rural;3,664;1,725;1,939;1,159;206;953;1,526;818;708;773;543;230;197;151;46;9;7;2;4,268;2,015;2,253;953;205;748;1,562;728;834;1,410;875;535;327;199;128;16;8;8;6,700;3,336;3,364;580;94;486;1,850;769;1,081;3,126;1,844;1,282;1,144;629;515
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2438;415;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Tito Yupanqui;1,380;597;783;563;133;430;494;260;234;292;186;106;29;17;12;2;1;1;4,279;2,100;2,179;869;291;578;1,098;526;572;2,040;1,119;921;263;161;102;9;3;6;5,732;3,043;2,689;473;121;352;1,277;584;693;3,247;1,940;1,307;735;398;337
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2439;416;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Urbana;;;;;;;;;;;;;;;;;;;2,259;1,114;1,145;408;141;267;436;213;223;1,186;626;560;221;131;90;8;3;5;2,843;1,534;1,309;162;51;111;421;175;246;1,860;1,097;763;400;211;189
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2440;417;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Rural;1,380;597;783;563;133;430;494;260;234;292;186;106;29;17;12;2;1;1;2,020;986;1,034;461;150;311;662;313;349;854;493;361;42;30;12;1;0;1;2,889;1,509;1,380;311;70;241;856;409;447;1,387;843;544;335;187;148
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;8,590;4,581;4,009;1,594;403;1,191;3,890;1,931;1,959;2,721;1,952;769;379;292;87;6;3;3;11,656;6,301;5,355;1,128;286;842;4,014;1,835;2,179;5,628;3,550;2,078;855;611;244;31;19;12;12,517;6,732;5,785;623;97;526;3,400;1,406;1,994;7,003;4,294;2,709;1,491;935;556
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;8,590;4,581;4,009;1,594;403;1,191;3,890;1,931;1,959;2,721;1,952;769;379;292;87;6;3;3;11,656;6,301;5,355;1,128;286;842;4,014;1,835;2,179;5,628;3,550;2,078;855;611;244;31;19;12;12,517;6,732;5,785;623;97;526;3,400;1,406;1,994;7,003;4,294;2,709;1,491;935;556
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2444;421;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;4,352;2,336;2,016;773;200;573;1,792;858;934;1,571;1,115;456;212;161;51;4;2;2;5,841;3,135;2,706;514;130;384;1,818;813;1,005;3,091;1,896;1,195;403;288;115;15;8;7;6,406;3,425;2,981;309;53;256;1,520;615;905;3,865;2,303;1,562;712;454;258
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2445;422;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2446;423;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;4,352;2,336;2,016;773;200;573;1,792;858;934;1,571;1,115;456;212;161;51;4;2;2;5,841;3,135;2,706;514;130;384;1,818;813;1,005;3,091;1,896;1,195;403;288;115;15;8;7;6,406;3,425;2,981;309;53;256;1,520;615;905;3,865;2,303;1,562;712;454;258
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2447;424;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;3,373;1,773;1,600;659;167;492;1,667;848;819;893;637;256;152;120;32;2;1;1;4,579;2,483;2,096;454;107;347;1,749;824;925;1,981;1,266;715;381;275;106;14;11;3;4,725;2,588;2,137;233;38;195;1,452;615;837;2,433;1,556;877;607;379;228
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2448;425;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2449;426;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Rural;3,373;1,773;1,600;659;167;492;1,667;848;819;893;637;256;152;120;32;2;1;1;4,579;2,483;2,096;454;107;347;1,749;824;925;1,981;1,266;715;381;275;106;14;11;3;4,725;2,588;2,137;233;38;195;1,452;615;837;2,433;1,556;877;607;379;228
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2450;427;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;865;472;393;162;36;126;431;225;206;257;200;57;15;11;4;0;0;0;1,236;683;553;160;49;111;447;198;249;556;388;168;71;48;23;2;0;2;1,386;719;667;81;6;75;428;176;252;705;435;270;172;102;70
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2451;428;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2452;429;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Rural;865;472;393;162;36;126;431;225;206;257;200;57;15;11;4;0;0;0;1,236;683;553;160;49;111;447;198;249;556;388;168;71;48;23;2;0;2;1,386;719;667;81;6;75;428;176;252;705;435;270;172;102;70
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2453;430;Provincia;La Paz;General Jos‚ Manuel Pando;;General Jos‚ Manuel Pando;3,648;1,805;1,843;381;75;306;2,130;912;1,218;952;688;264;176;122;54;9;8;1;4,781;2,400;2,381;343;97;246;1,953;801;1,152;2,080;1,239;841;388;253;135;17;10;7;8,270;4,174;4,096;333;120;213;2,181;786;1,395;4,517;2,574;1,943;1,239;694;545
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2454;431;Provincia;La Paz;General Jos‚ Manuel Pando;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2455;432;Provincia;La Paz;General Jos‚ Manuel Pando;;Rural;3,648;1,805;1,843;381;75;306;2,130;912;1,218;952;688;264;176;122;54;9;8;1;4,781;2,400;2,381;343;97;246;1,953;801;1,152;2,080;1,239;841;388;253;135;17;10;7;8,270;4,174;4,096;333;120;213;2,181;786;1,395;4,517;2,574;1,943;1,239;694;545
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2456;433;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Santiago de Machaca;Santiago de Machaca;2,710;1,338;1,372;299;49;250;1,583;682;901;679;507;172;143;94;49;6;6;0;3,093;1,554;1,539;233;52;181;1,387;572;815;1,172;725;447;290;198;92;11;7;4;4,846;2,416;2,430;161;44;117;1,432;489;943;2,527;1,471;1,056;726;412;314
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2457;434;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2458;435;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Santiago de Machaca;Rural;2,710;1,338;1,372;299;49;250;1,583;682;901;679;507;172;143;94;49;6;6;0;3,093;1,554;1,539;233;52;181;1,387;572;815;1,172;725;447;290;198;92;11;7;4;4,846;2,416;2,430;161;44;117;1,432;489;943;2,527;1,471;1,056;726;412;314
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2459;436;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Catacora;Catacora;938;467;471;82;26;56;547;230;317;273;181;92;33;28;5;3;2;1;1,688;846;842;110;45;65;566;229;337;908;514;394;98;55;43;6;3;3;3,424;1,758;1,666;172;76;96;749;297;452;1,990;1,103;887;513;282;231
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2460;437;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Catacora;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2461;438;Municipio/TIOC;La Paz;General Jos‚ Manuel Pando;Catacora;Rural;938;467;471;82;26;56;547;230;317;273;181;92;33;28;5;3;2;1;1,688;846;842;110;45;65;566;229;337;908;514;394;98;55;43;6;3;3;3,424;1,758;1,666;172;76;96;749;297;452;1,990;1,103;887;513;282;231
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2462;439;Provincia;La Paz;Caranavi;;Caranavi;25,762;14,570;11,192;3,174;1,004;2,170;12,179;6,314;5,865;8,952;6,257;2,695;1,365;943;422;92;52;40;34,800;18,879;15,921;2,715;924;1,791;12,006;5,800;6,206;16,172;9,797;6,375;3,785;2,294;1,491;122;64;58;45,002;23,920;21,082;2,027;649;1,378;10,288;4,705;5,583;23,414;13,612;9,802;9,273;4,954;4,319
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2463;440;Provincia;La Paz;Caranavi;;Urbana;5,998;3,087;2,911;470;120;350;2,101;868;1,233;2,711;1,622;1,089;655;443;212;61;34;27;7,965;4,133;3,832;417;118;299;1,905;787;1,118;3,883;2,199;1,684;1,723;1,005;718;37;24;13;13,450;6,794;6,656;445;117;328;2,189;862;1,327;6,567;3,674;2,893;4,249;2,141;2,108
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2464;441;Provincia;La Paz;Caranavi;;Rural;19,764;11,483;8,281;2,704;884;1,820;10,078;5,446;4,632;6,241;4,635;1,606;710;500;210;31;18;13;26,835;14,746;12,089;2,298;806;1,492;10,101;5,013;5,088;12,289;7,598;4,691;2,062;1,289;773;85;40;45;31,552;17,126;14,426;1,582;532;1,050;8,099;3,843;4,256;16,847;9,938;6,909;5,024;2,813;2,211
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2465;442;Municipio/TIOC;La Paz;Caranavi;Caranavi;Caranavi;21,587;12,029;9,558;2,705;848;1,857;10,262;5,241;5,021;7,376;5,102;2,274;1,159;790;369;85;48;37;28,419;15,184;13,235;2,162;721;1,441;9,774;4,597;5,177;13,159;7,882;5,277;3,232;1,940;1,292;92;44;48;38,180;20,061;18,119;1,694;535;1,159;8,561;3,818;4,743;19,799;11,433;8,366;8,126;4,275;3,851
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2466;443;Municipio/TIOC;La Paz;Caranavi;Caranavi;Urbana;5,998;3,087;2,911;470;120;350;2,101;868;1,233;2,711;1,622;1,089;655;443;212;61;34;27;7,965;4,133;3,832;417;118;299;1,905;787;1,118;3,883;2,199;1,684;1,723;1,005;718;37;24;13;13,450;6,794;6,656;445;117;328;2,189;862;1,327;6,567;3,674;2,893;4,249;2,141;2,108
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2467;444;Municipio/TIOC;La Paz;Caranavi;Caranavi;Rural;15,589;8,942;6,647;2,235;728;1,507;8,161;4,373;3,788;4,665;3,480;1,185;504;347;157;24;14;10;20,454;11,051;9,403;1,745;603;1,142;7,869;3,810;4,059;9,276;5,683;3,593;1,509;935;574;55;20;35;24,730;13,267;11,463;1,249;418;831;6,372;2,956;3,416;13,232;7,759;5,473;3,877;2,134;1,743
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2468;445;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Alto Beni;4,175;2,541;1,634;469;156;313;1,917;1,073;844;1,576;1,155;421;206;153;53;7;4;3;6,381;3,695;2,686;553;203;350;2,232;1,203;1,029;3,013;1,915;1,098;553;354;199;30;20;10;6,822;3,859;2,963;333;114;219;1,727;887;840;3,615;2,179;1,436;1,147;679;468
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2469;446;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2470;447;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Rural;4,175;2,541;1,634;469;156;313;1,917;1,073;844;1,576;1,155;421;206;153;53;7;4;3;6,381;3,695;2,686;553;203;350;2,232;1,203;1,029;3,013;1,915;1,098;553;354;199;30;20;10;6,822;3,859;2,963;333;114;219;1,727;887;840;3,615;2,179;1,436;1,147;679;468
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2471;448;Departamento;Cochabamba;;;Cochabamba;768,828;368,177;400,651;109,687;27,794;81,893;284,484;137,155;147,329;220,483;123,960;96,523;145,992;75,316;70,676;8,182;3,952;4,230;1,037,896;501,563;536,333;91,656;23,468;68,188;309,442;142,676;166,766;359,550;198,139;161,411;271,717;134,726;136,991;5,531;2,554;2,977;1,318,104;638,361;679,743;70,746;16,262;54,484;292,436;130,192;162,244;486,621;269,608;217,013;468,301;222,299;246,002
