cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_tasa_asistencia_total;2001_tasa_asistencia_hombres;2001_tasa_asistencia_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_tasa_asistencia_total;2012_tasa_asistencia_hombres;2012_tasa_asistencia_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_tasa_asistencia_total;2024_tasa_asistencia_hombres;2024_tasa_asistencia_mujeres;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3855;1832;Provincia;Cochabamba;Campero;;12 a 17 ;1,442;701;741;88.4;91.4;85.6;1,805;884;921;93.2;93.1;93.4;1,451;718;733;95.8;95.1;96.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3856;1833;Provincia;Cochabamba;Campero;;Rural;11,138;5,900;5,238;69.9;69.1;70.8;8,526;4,380;4,146;80.6;79.8;81.4;6,310;3,235;3,075;90.6;90.4;90.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3857;1834;Provincia;Cochabamba;Campero;;4 a 5 ;1,852;981;871;28.3;27.3;29.5;1,104;543;561;44.0;42.4;45.6;817;417;400;82.1;82.5;81.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3858;1835;Provincia;Cochabamba;Campero;;6 a 11 ;5,536;2,823;2,713;89.8;89.7;89.8;3,735;1,884;1,851;95.4;95.0;95.7;2,730;1,402;1,328;97.8;97.6;97.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3859;1836;Provincia;Cochabamba;Campero;;12 a 17 ;3,750;2,096;1,654;61.1;61.0;61.3;3,687;1,953;1,734;76.5;75.5;77.6;2,763;1,416;1,347;86.0;85.7;86.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3860;1837;Municipio/TIOC;Cochabamba;Campero;Aiquile;Aiquile;10,371;5,340;5,031;74.6;74.4;74.8;8,167;4,140;4,027;83.4;83.6;83.3;6,404;3,228;3,176;92.7;92.6;92.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3861;1838;Municipio/TIOC;Cochabamba;Campero;Aiquile;4 a 5 ;1,633;836;797;34.0;31.8;36.4;1,028;499;529;46.9;47.1;46.7;789;383;406;85.8;85.4;86.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3862;1839;Municipio/TIOC;Cochabamba;Campero;Aiquile;6 a 11 ;4,906;2,509;2,397;90.7;90.0;91.4;3,541;1,783;1,758;95.6;95.5;95.7;2,733;1,413;1,320;98.0;97.9;98.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3863;1840;Municipio/TIOC;Cochabamba;Campero;Aiquile;12 a 17 ;3,832;1,995;1,837;71.2;72.6;69.8;3,598;1,858;1,740;82.0;81.9;82.0;2,882;1,432;1,450;89.5;89.2;89.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3864;1841;Municipio/TIOC;Cochabamba;Campero;Aiquile;Urbana;3,146;1,565;1,581;87.7;88.4;87.0;2,634;1,279;1,355;91.3;91.3;91.2;2,562;1,275;1,287;96.8;96.7;96.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3865;1842;Municipio/TIOC;Cochabamba;Campero;Aiquile;4 a 5 ;400;199;201;56.5;54.8;58.2;281;139;142;60.1;60.4;59.9;327;156;171;92.0;93.6;90.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3866;1843;Municipio/TIOC;Cochabamba;Campero;Aiquile;6 a 11 ;1,304;665;639;96.5;95.3;97.7;1,026;492;534;97.7;97.6;97.8;1,085;571;514;99.5;99.5;99.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3867;1844;Municipio/TIOC;Cochabamba;Campero;Aiquile;12 a 17 ;1,442;701;741;88.4;91.4;85.6;1,327;648;679;92.9;93.2;92.6;1,150;548;602;95.6;94.7;96.3;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3868;1845;Municipio/TIOC;Cochabamba;Campero;Aiquile;Rural;7,225;3,775;3,450;68.9;68.5;69.2;5,533;2,861;2,672;79.7;80.1;79.3;3,842;1,953;1,889;89.9;89.9;89.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3869;1846;Municipio/TIOC;Cochabamba;Campero;Aiquile;4 a 5 ;1,233;637;596;26.8;24.6;29.0;747;360;387;41.9;41.9;41.9;462;227;235;81.4;79.7;83.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3870;1847;Municipio/TIOC;Cochabamba;Campero;Aiquile;6 a 11 ;3,602;1,844;1,758;88.6;88.0;89.2;2,515;1,291;1,224;94.7;94.7;94.8;1,648;842;806;96.9;96.9;96.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3871;1848;Municipio/TIOC;Cochabamba;Campero;Aiquile;12 a 17 ;2,390;1,294;1,096;60.9;62.4;59.1;2,271;1,210;1,061;75.6;75.9;75.2;1,732;884;848;85.5;85.7;85.3;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3872;1849;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Pasorapa;1,722;954;768;74.7;73.6;76.2;2,023;1,069;954;87.0;84.7;89.7;1,431;782;649;95.0;95.0;94.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3873;1850;Municipio/TIOC;Cochabamba;Campero;Pasorapa;4 a 5 ;268;157;111;28.7;28.0;29.7;254;147;107;53.9;51.7;57.0;215;131;84;81.9;86.3;75.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3874;1851;Municipio/TIOC;Cochabamba;Campero;Pasorapa;6 a 11 ;848;433;415;91.6;92.8;90.4;762;402;360;97.6;97.0;98.3;587;304;283;99.1;98.4;100.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3875;1852;Municipio/TIOC;Cochabamba;Campero;Pasorapa;12 a 17 ;606;364;242;71.5;70.3;73.1;1,007;520;487;87.4;84.4;90.6;629;347;282;95.5;95.4;95.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3876;1853;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Urbana;;;;;;;936;489;447;90.3;88.5;92.2;649;361;288;97.4;97.0;97.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3877;1854;Municipio/TIOC;Cochabamba;Campero;Pasorapa;4 a 5 ;;;;;;;121;69;52;56.2;50.7;63.5;88;57;31;94.3;94.7;93.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3878;1855;Municipio/TIOC;Cochabamba;Campero;Pasorapa;6 a 11 ;;;;;;;337;184;153;97.0;97.3;96.7;260;134;126;99.2;98.5;100.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3879;1856;Municipio/TIOC;Cochabamba;Campero;Pasorapa;12 a 17 ;;;;;;;478;236;242;94.1;92.8;95.5;301;170;131;96.7;96.5;96.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3880;1857;Municipio/TIOC;Cochabamba;Campero;Pasorapa;Rural;1,722;954;768;74.7;73.6;76.2;1,087;580;507;84.3;81.4;87.6;782;421;361;93.0;93.3;92.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3881;1858;Municipio/TIOC;Cochabamba;Campero;Pasorapa;4 a 5 ;268;157;111;28.7;28.0;29.7;133;78;55;51.9;52.6;50.9;127;74;53;73.2;79.7;64.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3882;1859;Municipio/TIOC;Cochabamba;Campero;Pasorapa;6 a 11 ;848;433;415;91.6;92.8;90.4;425;218;207;98.1;96.8;99.5;327;170;157;99.1;98.2;100.0;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3883;1860;Municipio/TIOC;Cochabamba;Campero;Pasorapa;12 a 17 ;606;364;242;71.5;70.3;73.1;529;284;245;81.3;77.5;85.7;328;177;151;94.5;94.4;94.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3884;1861;Municipio/TIOC;Cochabamba;Campero;Omereque;Omereque;2,191;1,171;1,020;69.5;67.5;71.9;1,906;939;967;80.8;77.8;83.8;1,686;861;825;91.1;90.4;91.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3885;1862;Municipio/TIOC;Cochabamba;Campero;Omereque;4 a 5 ;351;187;164;33.6;35.8;31.1;224;105;119;46.4;36.2;55.5;228;116;112;88.6;89.7;87.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3886;1863;Municipio/TIOC;Cochabamba;Campero;Omereque;6 a 11 ;1,086;546;540;92.2;93.0;91.3;795;375;420;96.0;95.2;96.7;755;390;365;99.1;99.0;99.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3887;1864;Municipio/TIOC;Cochabamba;Campero;Omereque;12 a 17 ;754;438;316;53.6;49.1;59.8;887;459;428;76.0;73.2;79.0;703;355;348;83.4;81.1;85.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3888;1865;Municipio/TIOC;Cochabamba;Campero;Omereque;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3889;1866;Municipio/TIOC;Cochabamba;Campero;Omereque;4 a 5 ;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3890;1867;Municipio/TIOC;Cochabamba;Campero;Omereque;6 a 11 ;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3891;1868;Municipio/TIOC;Cochabamba;Campero;Omereque;12 a 17 ;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3892;1869;Municipio/TIOC;Cochabamba;Campero;Omereque;Rural;2,191;1,171;1,020;69.5;67.5;71.9;1,906;939;967;80.8;77.8;83.8;1,686;861;825;91.1;90.4;91.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3893;1870;Municipio/TIOC;Cochabamba;Campero;Omereque;4 a 5 ;351;187;164;33.6;35.8;31.1;224;105;119;46.4;36.2;55.5;228;116;112;88.6;89.7;87.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3894;1871;Municipio/TIOC;Cochabamba;Campero;Omereque;6 a 11 ;1,086;546;540;92.2;93.0;91.3;795;375;420;96.0;95.2;96.7;755;390;365;99.1;99.0;99.2;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3895;1872;Municipio/TIOC;Cochabamba;Campero;Omereque;12 a 17 ;754;438;316;53.6;49.1;59.8;887;459;428;76.0;73.2;79.0;703;355;348;83.4;81.1;85.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3896;1873;Provincia;Cochabamba;Ayopaya;;Ayopaya;22,258;11,374;10,884;69.0;72.0;65.8;17,635;8,986;8,649;77.7;79.0;76.4;15,746;8,174;7,572;89.4;89.6;89.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3897;1874;Provincia;Cochabamba;Ayopaya;;4 a 5 ;3,788;1,937;1,851;30.5;30.7;30.3;2,452;1,261;1,191;34.6;33.2;36.1;2,044;1,070;974;70.7;69.7;71.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3898;1875;Provincia;Cochabamba;Ayopaya;;6 a 11 ;10,570;5,365;5,205;87.5;88.4;86.6;7,445;3,753;3,692;94.2;94.5;93.9;6,975;3,562;3,413;97.5;97.6;97.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3899;1876;Provincia;Cochabamba;Ayopaya;;12 a 17 ;7,900;4,072;3,828;62.6;69.9;54.9;7,738;3,972;3,766;75.6;79.0;72.1;6,727;3,542;3,185;86.7;87.6;85.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3900;1877;Provincia;Cochabamba;Ayopaya;;Urbana;769;402;367;88.4;90.5;86.1;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3901;1878;Provincia;Cochabamba;Ayopaya;;4 a 5 ;126;70;56;65.1;74.3;53.6;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3902;1879;Provincia;Cochabamba;Ayopaya;;6 a 11 ;363;192;171;96.4;97.4;95.3;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3903;1880;Provincia;Cochabamba;Ayopaya;;12 a 17 ;280;140;140;88.6;89.3;87.9;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3904;1881;Provincia;Cochabamba;Ayopaya;;Rural;21,489;10,972;10,517;68.3;71.3;65.1;17,635;8,986;8,649;77.7;79.0;76.4;15,746;8,174;7,572;89.4;89.6;89.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3905;1882;Provincia;Cochabamba;Ayopaya;;4 a 5 ;3,662;1,867;1,795;29.3;29.1;29.6;2,452;1,261;1,191;34.6;33.2;36.1;2,044;1,070;974;70.7;69.7;71.9;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3906;1883;Provincia;Cochabamba;Ayopaya;;6 a 11 ;10,207;5,173;5,034;87.2;88.1;86.3;7,445;3,753;3,692;94.2;94.5;93.9;6,975;3,562;3,413;97.5;97.6;97.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 3907;1884;Provincia;Cochabamba;Ayopaya;;12 a 17 ;7,620;3,932;3,688;61.7;69.2;53.6;7,738;3,972;3,766;75.6;79.0;72.1;6,727;3,542;3,185;86.7;87.6;85.6;;;
