cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;__por_canheria_dentro_de_la_vivienda;__por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;__no_se_distribuye_por_canheria;_2012_total;__por_canheria_dentro_de_la_vivienda;__por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;__por_canheria_fuera_de_la_vivienda,_del_lote_o_terreno;__no_se_distribuye_por_canheria;_2024_total;__por_canheria_dentro_de_la_vivienda;__por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;__no_se_distribuye_por_canheria;distribucion_porcentual_2001_por_canheria_dentro_de_la_vivienda;distribucion_porcentual_2001_por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;distribucion_porcentual_2001_no_se_distribuye_por_canheria;distribucion_porcentual_2012_por_canheria_dentro_de_la_vivienda;distribucion_porcentual_2012_por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;distribucion_porcentual_2012_por_canheria_fuera_de_la_vivienda,_del_lote_o_terreno;distribucion_porcentual_2012_no_se_distribuye_por_canheria;distribucion_porcentual_2024_por_canheria_dentro_de_la_vivienda;distribucion_porcentual_2024_por_canheria_fuera_de_la_vivienda_pero_dentro_del_lote_o_terreno;distribucion_porcentual_2024_no_se_distribuye_por_canheria
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2325;302;Provincia;La Paz;Inquisivi;;Urbana;1,781;616;783;382;3,248;1,226;1,067;865;90;5,831;2,734;1,150;1,947;34.6;44.0;21.4;37.7;32.9;26.6;2.8;46.9;19.7;33.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2326;303;Provincia;La Paz;Inquisivi;;Rural;14,155;943;4,399;8,813;16,598;1,855;7,727;1,012;6,004;24,752;4,400;9,913;10,439;6.7;31.1;62.3;11.2;46.6;6.1;36.2;17.8;40.0;42.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2327;304;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Inquisivi;4,091;239;1,242;2,610;4,894;426;1,926;230;2,312;7,144;898;3,163;3,083;5.8;30.4;63.8;8.7;39.4;4.7;47.2;12.6;44.3;43.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2328;305;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Urbana;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2329;306;Municipio/TIOC;La Paz;Inquisivi;Inquisivi;Rural;4,091;239;1,242;2,610;4,894;426;1,926;230;2,312;7,144;898;3,163;3,083;5.8;30.4;63.8;8.7;39.4;4.7;47.2;12.6;44.3;43.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2330;307;Municipio/TIOC;La Paz;Inquisivi;Quime;Quime;2,305;495;686;1,124;3,387;1,030;1,200;405;752;4,434;1,717;1,126;1,591;21.5;29.8;48.8;30.4;35.4;12.0;22.2;38.7;25.4;35.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2331;308;Municipio/TIOC;La Paz;Inquisivi;Quime;Urbana;732;342;291;99;1,158;712;392;12;42;1,610;1,148;227;235;46.7;39.8;13.5;61.5;33.9;1.0;3.6;71.3;14.1;14.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2332;309;Municipio/TIOC;La Paz;Inquisivi;Quime;Rural;1,573;153;395;1,025;2,229;318;808;393;710;2,824;569;899;1,356;9.7;25.1;65.2;14.3;36.2;17.6;31.9;20.1;31.8;48.0
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2333;310;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Cajuata;1,925;206;1,243;476;3,019;490;2,162;45;322;5,809;1,713;3,026;1,070;10.7;64.6;24.7;16.2;71.6;1.5;10.7;29.5;52.1;18.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2334;311;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Urbana;;;;;;;;;;706;246;377;83;;;;;;;;34.8;53.4;11.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2335;312;Municipio/TIOC;La Paz;Inquisivi;Cajuata;Rural;1,925;206;1,243;476;3,019;490;2,162;45;322;5,103;1,467;2,649;987;10.7;64.6;24.7;16.2;71.6;1.5;10.7;28.7;51.9;19.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2336;313;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Colquiri;4,953;368;1,147;3,438;5,830;757;2,313;1,033;1,727;7,870;1,576;2,350;3,944;7.4;23.2;69.4;13.0;39.7;17.7;29.6;20.0;29.9;50.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2337;314;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Urbana;1,049;274;492;283;1,728;366;464;851;47;2,222;601;207;1,414;26.1;46.9;27.0;21.2;26.9;49.2;2.7;27.0;9.3;63.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2338;315;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Rural;3,904;94;655;3,155;4,102;391;1,849;182;1,680;5,648;975;2,143;2,530;2.4;16.8;80.8;9.5;45.1;4.4;41.0;17.3;37.9;44.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2339;316;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Ichoca;1,924;123;491;1,310;1,695;194;594;137;770;3,455;396;755;2,304;6.4;25.5;68.1;11.4;35.0;8.1;45.4;11.5;21.9;66.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2340;317;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Urbana;;;;;;;;;;480;175;179;126;;;;;;;;36.5;37.3;26.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2341;318;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Rural;1,924;123;491;1,310;1,695;194;594;137;770;2,975;221;576;2,178;6.4;25.5;68.1;11.4;35.0;8.1;45.4;7.4;19.4;73.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2342;319;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Villa Libertad Licoma;738;128;373;237;1,021;184;599;27;211;1,871;834;643;394;17.3;50.5;32.1;18.0;58.7;2.6;20.7;44.6;34.4;21.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2343;320;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Urbana;;;;;362;148;211;2;1;813;564;160;89;;;;40.9;58.3;0.6;0.3;69.4;19.7;10.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2344;321;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Rural;738;128;373;237;659;36;388;25;210;1,058;270;483;305;17.3;50.5;32.1;5.5;58.9;3.8;31.9;25.5;45.7;28.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2345;322;Provincia;La Paz;Sur Yungas;;Sur Yungas;17,566;2,411;9,392;5,763;37,770;5,522;18,026;2,193;12,029;49,680;13,570;22,548;13,562;13.7;53.5;32.8;14.6;47.7;5.8;31.8;27.3;45.4;27.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2346;323;Provincia;La Paz;Sur Yungas;;Urbana;1,461;552;806;103;3,806;1,409;1,827;121;449;6,744;3,800;1,730;1,214;37.8;55.2;7.0;37.0;48.0;3.2;11.8;56.3;25.7;18.0
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2347;324;Provincia;La Paz;Sur Yungas;;Rural;16,105;1,859;8,586;5,660;33,964;4,113;16,199;2,072;11,580;42,936;9,770;20,818;12,348;11.5;53.3;35.1;12.1;47.7;6.1;34.1;22.8;48.5;28.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2348;325;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Chulumani;3,734;936;2,258;540;6,079;1,821;3,491;170;597;7,214;2,834;3,535;845;25.1;60.5;14.5;30.0;57.4;2.8;9.8;39.3;49.0;11.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2349;326;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Urbana;752;475;222;55;760;617;125;5;13;1,081;855;133;93;63.2;29.5;7.3;81.2;16.4;0.7;1.7;79.1;12.3;8.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2350;327;Municipio/TIOC;La Paz;Sur Yungas;Chulumani;Rural;2,982;461;2,036;485;5,319;1,204;3,366;165;584;6,133;1,979;3,402;752;15.5;68.3;16.3;22.6;63.3;3.1;11.0;32.3;55.5;12.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2351;328;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Irupana;3,624;532;1,908;1,184;6,499;1,140;3,552;421;1,386;9,458;2,373;4,028;3,057;14.7;52.6;32.7;17.5;54.7;6.5;21.3;25.1;42.6;32.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2352;329;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Urbana;;;;;;;;;;1,372;898;314;160;;;;;;;;65.5;22.9;11.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2353;330;Municipio/TIOC;La Paz;Sur Yungas;Irupana;Rural;3,624;532;1,908;1,184;6,499;1,140;3,552;421;1,386;8,086;1,475;3,714;2,897;14.7;52.6;32.7;17.5;54.7;6.5;21.3;18.2;45.9;35.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2354;331;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Yanacachi;1,188;253;661;274;2,308;761;1,065;106;376;2,998;1,145;1,419;434;21.3;55.6;23.1;33.0;46.1;4.6;16.3;38.2;47.3;14.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2355;332;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Urbana;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2356;333;Municipio/TIOC;La Paz;Sur Yungas;Yanacachi;Rural;1,188;253;661;274;2,308;761;1,065;106;376;2,998;1,145;1,419;434;21.3;55.6;23.1;33.0;46.1;4.6;16.3;38.2;47.3;14.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2357;334;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Palos Blancos;4,248;233;2,255;1,760;9,246;781;4,805;200;3,460;11,630;2,802;4,625;4,203;5.5;53.1;41.4;8.4;52.0;2.2;37.4;24.1;39.8;36.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2358;335;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Urbana;709;77;584;48;2,037;416;1,162;54;405;2,994;1,205;1,027;762;10.9;82.4;6.8;20.4;57.0;2.7;19.9;40.2;34.3;25.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2359;336;Municipio/TIOC;La Paz;Sur Yungas;Palos Blancos;Rural;3,539;156;1,671;1,712;7,209;365;3,643;146;3,055;8,636;1,597;3,598;3,441;4.4;47.2;48.4;5.1;50.5;2.0;42.4;18.5;41.7;39.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2360;337;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;La Asunta;4,772;457;2,310;2,005;13,638;1,019;5,113;1,296;6,210;18,380;4,416;8,941;5,023;9.6;48.4;42.0;7.5;37.5;9.5;45.5;24.0;48.6;27.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2361;338;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Urbana;;;;;1,009;376;540;62;31;1,297;842;256;199;;;;37.3;53.5;6.1;3.1;64.9;19.7;15.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2362;339;Municipio/TIOC;La Paz;Sur Yungas;La Asunta;Rural;4,772;457;2,310;2,005;12,629;643;4,573;1,234;6,179;17,083;3,574;8,685;4,824;9.6;48.4;42.0;5.1;36.2;9.8;48.9;20.9;50.8;28.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2363;340;Provincia;La Paz;Los Andes;;Los Andes;19,728;771;5,405;13,552;27,292;2,487;9,173;765;14,867;46,763;11,753;14,018;20,992;3.9;27.4;68.7;9.1;33.6;2.8;54.5;25.1;30.0;44.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2364;341;Provincia;La Paz;Los Andes;;Urbana;;;;;700;429;230;3;38;12,755;6,165;2,708;3,882;;;;61.3;32.9;0.4;5.4;48.3;21.2;30.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2365;342;Provincia;La Paz;Los Andes;;Rural;19,728;771;5,405;13,552;26,592;2,058;8,943;762;14,829;34,008;5,588;11,310;17,110;3.9;27.4;68.7;7.7;33.6;2.9;55.8;16.4;33.3;50.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2366;343;Municipio/TIOC;La Paz;Los Andes;Pucarani;Pucarani;7,081;187;1,753;5,141;11,121;1,022;3,089;271;6,739;21,459;4,897;6,172;10,390;2.6;24.8;72.6;9.2;27.8;2.4;60.6;22.8;28.8;48.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2367;344;Municipio/TIOC;La Paz;Los Andes;Pucarani;Urbana;;;;;;;;;;7,346;2,759;1,764;2,823;;;;;;;;37.6;24.0;38.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2368;345;Municipio/TIOC;La Paz;Los Andes;Pucarani;Rural;7,081;187;1,753;5,141;11,121;1,022;3,089;271;6,739;14,113;2,138;4,408;7,567;2.6;24.8;72.6;9.2;27.8;2.4;60.6;15.1;31.2;53.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2369;346;Municipio/TIOC;La Paz;Los Andes;Laja;Laja;4,457;163;1,208;3,086;7,761;531;2,778;332;4,120;13,613;4,150;4,367;5,096;3.7;27.1;69.2;6.8;35.8;4.3;53.1;30.5;32.1;37.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2370;347;Municipio/TIOC;La Paz;Los Andes;Laja;Urbana;;;;;;;;;;4,394;2,672;846;876;;;;;;;;60.8;19.3;19.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2371;348;Municipio/TIOC;La Paz;Los Andes;Laja;Rural;4,457;163;1,208;3,086;7,761;531;2,778;332;4,120;9,219;1,478;3,521;4,220;3.7;27.1;69.2;6.8;35.8;4.3;53.1;16.0;38.2;45.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2372;349;Municipio/TIOC;La Paz;Los Andes;Batallas;Batallas;5,739;285;1,903;3,551;6,062;698;2,305;66;2,993;8,503;2,211;2,697;3,595;5.0;33.2;61.9;11.5;38.0;1.1;49.4;26.0;31.7;42.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISTRIBUCIÓN DEL AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2373;350;Municipio/TIOC;La Paz;Los Andes;Batallas;Urbana;;;;;700;429;230;3;38;1,015;734;98;183;;;;61.3;32.9;0.4;5.4;72.3;9.7;18.0
