cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_alcantarillado;numero_de_viviendas_2001_camara_septica;numero_de_viviendas_2001_pozo_ciego;numero_de_viviendas_2001_superficie;numero_de_viviendas_2001_sin_banho;numero_de_viviendas_2012_total;numero_de_viviendas_2012_al_alcantarillado;numero_de_viviendas_2012_a_una_camara_septica;numero_de_viviendas_2012_a_un_pozo_ciego;numero_de_viviendas_2012_a_la_calle;numero_de_viviendas_2012_a_la_quebrada,_rio;numero_de_viviendas_2012_a_un_lago,_laguna,_curichi;numero_de_viviendas_2012_sin_banho;numero_de_viviendas_2024_total;numero_de_viviendas_2024_al_alcantarillado;numero_de_viviendas_2024_a_una_camara_septica;numero_de_viviendas_2024_a_un_pozo_ciego;numero_de_viviendas_2024_a_un_pozo_de_absorcion;numero_de_viviendas_2024_superficie,_calle,_quebrada;numero_de_viviendas_2024_es_un_banho_ecologico;numero_de_viviendas_2024_sin_banho
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2224;201;Municipio/TIOC;La Paz;Camacho;Mocomoco;Rural;5,788;33;190;1,201;101;4,263;6,606;130;127;1,533;11;9;1;4,795;8,013;587;149;2,492;41;48;62;4,634
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2225;202;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Puerto Mayor de Carabuco;4,730;86;128;633;55;3,828;5,347;91;74;1,000;2;34;0;4,146;7,065;367;215;2,000;25;60;66;4,332
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2226;203;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2227;204;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Rural;4,730;86;128;633;55;3,828;5,347;91;74;1,000;2;34;0;4,146;7,065;367;215;2,000;25;60;66;4,332
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2228;205;Municipio/TIOC;La Paz;Camacho;Humanata;Humanata;1,825;4;12;176;16;1,617;2,108;0;12;419;4;7;3;1,663;2,527;69;46;568;20;18;16;1,790
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2229;206;Municipio/TIOC;La Paz;Camacho;Humanata;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2230;207;Municipio/TIOC;La Paz;Camacho;Humanata;Rural;1,825;4;12;176;16;1,617;2,108;0;12;419;4;7;3;1,663;2,527;69;46;568;20;18;16;1,790
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2231;208;Municipio/TIOC;La Paz;Camacho;Escoma;Escoma;2,614;2;26;225;7;2,354;3,027;132;24;208;0;5;1;2,657;4,116;426;92;711;13;11;87;2,776
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2232;209;Municipio/TIOC;La Paz;Camacho;Escoma;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2233;210;Municipio/TIOC;La Paz;Camacho;Escoma;Rural;2,614;2;26;225;7;2,354;3,027;132;24;208;0;5;1;2,657;4,116;426;92;711;13;11;87;2,776
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2234;211;Provincia;La Paz;Muñecas;;Muñecas;6,765;25;50;917;49;5,724;8,623;125;207;2,076;25;95;1;6,094;12,382;1,214;289;3,941;46;216;93;6,583
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2235;212;Provincia;La Paz;Muñecas;;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2236;213;Provincia;La Paz;Muñecas;;Rural;6,765;25;50;917;49;5,724;8,623;125;207;2,076;25;95;1;6,094;12,382;1,214;289;3,941;46;216;93;6,583
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2237;214;Municipio/TIOC;La Paz;Muñecas;Chuma;Chuma;3,444;2;50;457;20;2,915;3,938;20;120;957;7;3;0;2,831;6,388;565;174;2,241;23;72;54;3,259
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2238;215;Municipio/TIOC;La Paz;Muñecas;Chuma;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2239;216;Municipio/TIOC;La Paz;Muñecas;Chuma;Rural;3,444;2;50;457;20;2,915;3,938;20;120;957;7;3;0;2,831;6,388;565;174;2,241;23;72;54;3,259
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2240;217;Municipio/TIOC;La Paz;Muñecas;Ayata;Ayata;2,148;3;0;406;2;1,737;2,747;7;78;841;14;14;0;1,793;3,494;214;76;1,250;17;43;18;1,876
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2241;218;Municipio/TIOC;La Paz;Muñecas;Ayata;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2242;219;Municipio/TIOC;La Paz;Muñecas;Ayata;Rural;2,148;3;0;406;2;1,737;2,747;7;78;841;14;14;0;1,793;3,494;214;76;1,250;17;43;18;1,876
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2243;220;Municipio/TIOC;La Paz;Muñecas;Aucapata;Aucapata;1,173;20;0;54;27;1,072;1,938;98;9;278;4;78;1;1,470;2,500;435;39;450;6;101;21;1,448
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2244;221;Municipio/TIOC;La Paz;Muñecas;Aucapata;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2245;222;Municipio/TIOC;La Paz;Muñecas;Aucapata;Rural;1,173;20;0;54;27;1,072;1,938;98;9;278;4;78;1;1,470;2,500;435;39;450;6;101;21;1,448
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2246;223;Provincia;La Paz;Larecaja;;Larecaja;19,804;1,283;618;3,052;884;13,967;29,451;3,149;999;6,755;84;1,099;5;17,360;39,439;8,934;1,298;13,381;331;2,070;195;13,230
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2247;224;Provincia;La Paz;Larecaja;;Urbana;2,794;906;122;441;73;1,252;4,928;2,174;237;1,200;39;55;1;1,222;8,590;5,047;363;2,027;36;316;20;781
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2248;225;Provincia;La Paz;Larecaja;;Rural;17,010;377;496;2,611;811;12,715;24,523;975;762;5,555;45;1,044;4;16,138;30,849;3,887;935;11,354;295;1,754;175;12,449
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2249;226;Municipio/TIOC;La Paz;Larecaja;Sorata;Sorata;6,149;362;95;887;254;4,551;8,775;917;236;1,780;22;254;0;5,566;11,459;2,467;259;3,481;88;576;56;4,532
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2250;227;Municipio/TIOC;La Paz;Larecaja;Sorata;Urbana;668;332;8;9;28;291;1,125;757;25;61;8;4;0;270;1,792;1,241;36;184;3;68;8;252
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2251;228;Municipio/TIOC;La Paz;Larecaja;Sorata;Rural;5,481;30;87;878;226;4,260;7,650;160;211;1,719;14;250;0;5,296;9,667;1,226;223;3,297;85;508;48;4,280
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2252;229;Municipio/TIOC;La Paz;Larecaja;Guanay;Guanay;2,828;469;114;537;29;1,679;4,681;791;194;979;2;46;1;2,668;6,269;1,419;248;2,576;37;146;14;1,829
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2253;230;Municipio/TIOC;La Paz;Larecaja;Guanay;Urbana;939;461;33;78;2;365;1,290;774;48;157;1;13;0;297;1,505;1,000;92;280;8;21;2;102
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2254;231;Municipio/TIOC;La Paz;Larecaja;Guanay;Rural;1,889;8;81;459;27;1,314;3,391;17;146;822;1;33;1;2,371;4,764;419;156;2,296;29;125;12;1,727
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2255;232;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Tacacoma;1,920;14;120;357;204;1,225;2,980;180;27;747;2;302;0;1,722;4,152;389;93;1,788;112;320;31;1,419
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2256;233;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2257;234;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Rural;1,920;14;120;357;204;1,225;2,980;180;27;747;2;302;0;1,722;4,152;389;93;1,788;112;320;31;1,419
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2258;235;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Quiabaya;697;3;25;51;1;617;1,027;39;27;298;0;4;1;658;1,391;122;40;408;2;1;1;817
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2259;236;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2260;237;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Rural;697;3;25;51;1;617;1,027;39;27;298;0;4;1;658;1,391;122;40;408;2;1;1;817
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2261;238;Municipio/TIOC;La Paz;Larecaja;Combaya;Combaya;863;6;0;7;8;842;994;29;12;235;6;3;0;709;1,425;382;22;154;0;12;19;836
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2262;239;Municipio/TIOC;La Paz;Larecaja;Combaya;Urbana;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2263;240;Municipio/TIOC;La Paz;Larecaja;Combaya;Rural;863;6;0;7;8;842;994;29;12;235;6;3;0;709;1,425;382;22;154;0;12;19;836
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2264;241;Municipio/TIOC;La Paz;Larecaja;Tipuani;Tipuani;2,776;377;82;340;234;1,743;3,457;640;128;576;23;331;0;1,759;3,243;943;152;849;23;483;7;786
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2265;242;Municipio/TIOC;La Paz;Larecaja;Tipuani;Urbana;627;111;44;202;31;239;740;176;56;281;11;24;0;192;893;320;65;334;11;47;0;116
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2266;243;Municipio/TIOC;La Paz;Larecaja;Tipuani;Rural;2,149;266;38;138;203;1,504;2,717;464;72;295;12;307;0;1,567;2,350;623;87;515;12;436;7;670
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2267;244;Municipio/TIOC;La Paz;Larecaja;Mapiri;Mapiri;2,284;27;75;347;129;1,706;4,050;536;171;1,035;23;143;2;2,140;6,898;2,670;232;2,246;39;458;21;1,232
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2268;245;Municipio/TIOC;La Paz;Larecaja;Mapiri;Urbana;560;2;37;152;12;357;1,773;467;108;701;19;14;1;463;3,465;2,332;107;656;11;147;3;209
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2269;246;Municipio/TIOC;La Paz;Larecaja;Mapiri;Rural;1,724;25;38;195;117;1,349;2,277;69;63;334;4;129;1;1,677;3,433;338;125;1,590;28;311;18;1,023
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2270;247;Municipio/TIOC;La Paz;Larecaja;Teoponte;Teoponte;2,287;25;107;526;25;1,604;3,487;17;204;1,105;6;16;1;2,138;4,602;542;252;1,879;30;74;46;1,779
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2271;248;Municipio/TIOC;La Paz;Larecaja;Teoponte;Urbana;;;;;;;;;;;;;;;935;154;63;573;3;33;7;102
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2272;249;Municipio/TIOC;La Paz;Larecaja;Teoponte;Rural;2,287;25;107;526;25;1,604;3,487;17;204;1,105;6;16;1;2,138;3,667;388;189;1,306;27;41;39;1,677
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2273;250;Provincia;La Paz;Franz Tamayo;;Franz Tamayo;4,127;134;50;494;69;3,380;6,855;727;97;1,563;68;53;3;4,344;9,232;1,577;212;3,021;51;135;64;4,172
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2274;251;Provincia;La Paz;Franz Tamayo;;Urbana;507;130;20;50;54;253;1,420;512;32;184;32;0;0;660;1,835;967;76;367;9;31;3;382
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2275;252;Provincia;La Paz;Franz Tamayo;;Rural;3,620;4;30;444;15;3,127;5,435;215;65;1,379;36;53;3;3,684;7,397;610;136;2,654;42;104;61;3,790
