cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2012_total;numero_de_viviendas_2012_basurero_publico_o_contenedor;numero_de_viviendas_2012_carro_basurero;numero_de_viviendas_2012_la_botan_a_terreno_baldio_o_calle;numero_de_viviendas_2012_la_botan_al_rio;numero_de_viviendas_2012_la_queman;numero_de_viviendas_2012_la_entierran;numero_de_viviendas_2012_otra;numero_de_viviendas_2024_total;numero_de_viviendas_2024_basurero_publico_o_contenedor;numero_de_viviendas_2024_carro_basurero;numero_de_viviendas_2024_la_botan_a_terreno_baldio_o_calle;numero_de_viviendas_2024_la_botan_al_rio;numero_de_viviendas_2024_la_queman;numero_de_viviendas_2024_la_entierran;numero_de_viviendas_2024_otra;distribucion_porcentual_2012_basurero_publico_o_contenedor;distribucion_porcentual_2012_carro_basurero;distribucion_porcentual_2012_la_botan_a_terreno_baldio_o_calle;distribucion_porcentual_2012_la_botan_al_rio;distribucion_porcentual_2012_la_queman;distribucion_porcentual_2012_la_entierran;distribucion_porcentual_2012_otra;distribucion_porcentual_2024_basurero_publico_o_contenedor;distribucion_porcentual_2024_carro_basurero;distribucion_porcentual_2024_la_botan_a_terreno_baldio_o_calle;distribucion_porcentual_2024_la_botan_al_rio;distribucion_porcentual_2024_la_queman;distribucion_porcentual_2024_la_entierran;distribucion_porcentual_2024_otra
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2429;406;Provincia;La Paz;Manco Kapac;;Manco Kapac;8,906;487;1,090;363;343;6,161;378;84;11,922;1,815;1,156;250;81;7,887;559;174;5.5;12.2;4.1;3.9;69.2;4.2;0.9;15.2;9.7;2.1;0.7;66.2;4.7;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2430;407;Provincia;La Paz;Manco Kapac;;Urbana;2,539;416;1,074;111;29;833;48;28;2,973;1,180;930;39;11;709;56;48;16.4;42.3;4.4;1.1;32.8;1.9;1.1;39.7;31.3;1.3;0.4;23.8;1.9;1.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2431;408;Provincia;La Paz;Manco Kapac;;Rural;6,367;71;16;252;314;5,328;330;56;8,949;635;226;211;70;7,178;503;126;1.1;0.3;4.0;4.9;83.7;5.2;0.9;7.1;2.5;2.4;0.8;80.2;5.6;1.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2432;409;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Copacabana;5,144;457;1,081;75;89;3,271;137;34;6,817;1,144;950;100;19;4,282;222;100;8.9;21.0;1.5;1.7;63.6;2.7;0.7;16.8;13.9;1.5;0.3;62.8;3.3;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2433;410;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Urbana;1,923;410;1,073;28;4;386;11;11;2,502;1,046;922;19;2;432;36;45;21.3;55.8;1.5;0.2;20.1;0.6;0.6;41.8;36.9;0.8;0.1;17.3;1.4;1.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2434;411;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Rural;3,221;47;8;47;85;2,885;126;23;4,315;98;28;81;17;3,850;186;55;1.5;0.2;1.5;2.6;89.6;3.9;0.7;2.3;0.6;1.9;0.4;89.2;4.3;1.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2435;412;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;2,467;23;7;163;201;1,895;155;23;3,631;523;195;97;35;2,505;220;56;0.9;0.3;6.6;8.1;76.8;6.3;0.9;14.4;5.4;2.7;1.0;69.0;6.1;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2436;413;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2437;414;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Rural;2,467;23;7;163;201;1,895;155;23;3,631;523;195;97;35;2,505;220;56;0.9;0.3;6.6;8.1;76.8;6.3;0.9;14.4;5.4;2.7;1.0;69.0;6.1;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2438;415;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Tito Yupanqui;1,295;7;2;125;53;995;86;27;1,474;148;11;53;27;1,100;117;18;0.5;0.2;9.7;4.1;76.8;6.6;2.1;10.0;0.7;3.6;1.8;74.6;7.9;1.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2439;416;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Urbana;616;6;1;83;25;447;37;17;471;134;8;20;9;277;20;3;1.0;0.2;13.5;4.1;72.6;6.0;2.8;28.5;1.7;4.2;1.9;58.8;4.2;0.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2440;417;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Rural;679;1;1;42;28;548;49;10;1,003;14;3;33;18;823;97;15;0.1;0.1;6.2;4.1;80.7;7.2;1.5;1.4;0.3;3.3;1.8;82.1;9.7;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;6,026;18;1;189;1,064;3,921;741;92;7,253;114;17;162;429;5,272;1,121;138;0.3;0.0;3.1;17.7;65.1;12.3;1.5;1.6;0.2;2.2;5.9;72.7;15.5;1.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;6,026;18;1;189;1,064;3,921;741;92;7,253;114;17;162;429;5,272;1,121;138;0.3;0.0;3.1;17.7;65.1;12.3;1.5;1.6;0.2;2.2;5.9;72.7;15.5;1.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2444;421;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;2,828;8;0;60;691;1,754;286;29;3,484;38;4;70;283;2,561;468;60;0.3;0.0;2.1;24.4;62.0;10.1;1.0;1.1;0.1;2.0;8.1;73.5;13.4;1.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2445;422;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2446;423;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;2,828;8;0;60;691;1,754;286;29;3,484;38;4;70;283;2,561;468;60;0.3;0.0;2.1;24.4;62.0;10.1;1.0;1.1;0.1;2.0;8.1;73.5;13.4;1.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2447;424;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;2,429;8;1;122;84;1,766;395;53;2,888;55;12;55;32;2,160;527;47;0.3;0.0;5.0;3.5;72.7;16.3;2.2;1.9;0.4;1.9;1.1;74.8;18.2;1.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2448;425;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2449;426;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Rural;2,429;8;1;122;84;1,766;395;53;2,888;55;12;55;32;2,160;527;47;0.3;0.0;5.0;3.5;72.7;16.3;2.2;1.9;0.4;1.9;1.1;74.8;18.2;1.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2450;427;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;769;2;0;7;289;401;60;10;881;21;1;37;114;551;126;31;0.3;0.0;0.9;37.6;52.1;7.8;1.3;2.4;0.1;4.2;12.9;62.5;14.3;3.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2451;428;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2452;429;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Rural;769;2;0;7;289;401;60;10;881;21;1;37;114;551;126;31;0.3;0.0;0.9;37.6;52.1;7.8;1.3;2.4;0.1;4.2;12.9;62.5;14.3;3.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2453;430;Provincia;La Paz;General José Manuel Pando;;General José Manuel Pando;2,566;94;9;83;267;1,625;428;60;4,651;437;16;154;105;2,650;1,143;146;3.7;0.4;3.2;10.4;63.3;16.7;2.3;9.4;0.3;3.3;2.3;57.0;24.6;3.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2454;431;Provincia;La Paz;General José Manuel Pando;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2455;432;Provincia;La Paz;General José Manuel Pando;;Rural;2,566;94;9;83;267;1,625;428;60;4,651;437;16;154;105;2,650;1,143;146;3.7;0.4;3.2;10.4;63.3;16.7;2.3;9.4;0.3;3.3;2.3;57.0;24.6;3.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2456;433;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;1,830;55;7;51;212;1,179;288;38;2,956;326;15;132;77;1,713;631;62;3.0;0.4;2.8;11.6;64.4;15.7;2.1;11.0;0.5;4.5;2.6;57.9;21.3;2.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2457;434;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2458;435;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Rural;1,830;55;7;51;212;1,179;288;38;2,956;326;15;132;77;1,713;631;62;3.0;0.4;2.8;11.6;64.4;15.7;2.1;11.0;0.5;4.5;2.6;57.9;21.3;2.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2459;436;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Catacora;736;39;2;32;55;446;140;22;1,695;111;1;22;28;937;512;84;5.3;0.3;4.3;7.5;60.6;19.0;3.0;6.5;0.1;1.3;1.7;55.3;30.2;5.0
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2460;437;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2461;438;Municipio/TIOC;La Paz;General José Manuel Pando;Catacora;Rural;736;39;2;32;55;446;140;22;1,695;111;1;22;28;937;512;84;5.3;0.3;4.3;7.5;60.6;19.0;3.0;6.5;0.1;1.3;1.7;55.3;30.2;5.0
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2462;439;Provincia;La Paz;Caranavi;;Caranavi;21,231;1,008;3,508;2,230;707;5,980;5,505;2,293;25,572;2,719;3,872;1,234;269;10,889;4,727;1,862;4.7;16.5;10.5;3.3;28.2;25.9;10.8;10.6;15.1;4.8;1.1;42.6;18.5;7.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2463;440;Provincia;La Paz;Caranavi;;Urbana;4,460;605;3,206;131;30;352;112;24;7,802;2,174;3,785;136;35;1,258;184;230;13.6;71.9;2.9;0.7;7.9;2.5;0.5;27.9;48.5;1.7;0.4;16.1;2.4;2.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2464;441;Provincia;La Paz;Caranavi;;Rural;16,771;403;302;2,099;677;5,628;5,393;2,269;17,770;545;87;1,098;234;9,631;4,543;1,632;2.4;1.8;12.5;4.0;33.6;32.2;13.5;3.1;0.5;6.2;1.3;54.2;25.6;9.2
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2465;442;Municipio/TIOC;La Paz;Caranavi;Caranavi;Caranavi;17,021;949;3,480;1,725;550;3,979;4,494;1,844;21,081;2,649;3,859;997;218;7,820;3,905;1,633;5.6;20.4;10.1;3.2;23.4;26.4;10.8;12.6;18.3;4.7;1.0;37.1;18.5;7.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2466;443;Municipio/TIOC;La Paz;Caranavi;Caranavi;Urbana;4,460;605;3,206;131;30;352;112;24;7,802;2,174;3,785;136;35;1,258;184;230;13.6;71.9;2.9;0.7;7.9;2.5;0.5;27.9;48.5;1.7;0.4;16.1;2.4;2.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2467;444;Municipio/TIOC;La Paz;Caranavi;Caranavi;Rural;12,561;344;274;1,594;520;3,627;4,382;1,820;13,279;475;74;861;183;6,562;3,721;1,403;2.7;2.2;12.7;4.1;28.9;34.9;14.5;3.6;0.6;6.5;1.4;49.4;28.0;10.6
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2468;445;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Alto Beni;4,210;59;28;505;157;2,001;1,011;449;4,491;70;13;237;51;3,069;822;229;1.4;0.7;12.0;3.7;47.5;24.0;10.7;1.6;0.3;5.3;1.1;68.3;18.3;5.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2469;446;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2470;447;Municipio/TIOC;La Paz;Caranavi;Alto Beni;Rural;4,210;59;28;505;157;2,001;1,011;449;4,491;70;13;237;51;3,069;822;229;1.4;0.7;12.0;3.7;47.5;24.0;10.7;1.6;0.3;5.3;1.1;68.3;18.3;5.1
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2471;448;Departamento;Cochabamba;;;Cochabamba;516,608;72,885;212,920;32,303;34,181;138,823;17,026;8,470;675,064;84,673;355,014;8,001;7,079;201,018;13,932;5,347;14.1;41.2;6.3;6.6;26.9;3.3;1.6;12.5;52.6;1.2;1.0;29.8;2.1;0.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2472;449;Departamento;Cochabamba;;;Urbana;330,051;70,848;204,187;4,214;8,110;38,164;2,542;1,986;442,960;76,983;329,768;1,378;893;30,049;1,785;2,104;21.5;61.9;1.3;2.5;11.6;0.8;0.6;17.4;74.4;0.3;0.2;6.8;0.4;0.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2473;450;Departamento;Cochabamba;;;Rural;186,557;2,037;8,733;28,089;26,071;100,659;14,484;6,484;232,104;7,690;25,246;6,623;6,186;170,969;12,147;3,243;1.1;4.7;15.1;14.0;54.0;7.8;3.5;3.3;10.9;2.9;2.7;73.7;5.2;1.4
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2474;451;Provincia;Cochabamba;Cercado;;Cercado;177,376;50,924;108,501;1,353;2,504;12,543;757;794;212,273;42,493;162,897;372;144;5,143;449;775;28.7;61.2;0.8;1.4;7.1;0.4;0.4;20.0;76.7;0.2;0.1;2.4;0.2;0.4
