cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_personas_2001_total;numero_de_personas_2001_tiene_;numero_de_personas_2001_no_tiene;numero_de_personas_2012_total;numero_de_personas_2012_tiene_;numero_de_personas_2012_no_tiene;numero_de_personas_2024_total;numero_de_personas_2024_tiene_;numero_de_personas_2024_no_tiene
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2391;368;Municipio/TIOC;La Paz;Aroma;Calamarca;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2392;369;Municipio/TIOC;La Paz;Aroma;Calamarca;Rural;12,079;2,988;9,091;12,344;9,188;3,156;15,249;13,066;2,183
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2393;370;Municipio/TIOC;La Paz;Aroma;Patacamaya;Patacamaya;19,413;9,300;10,113;22,315;18,087;4,228;24,462;21,640;2,822
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2394;371;Municipio/TIOC;La Paz;Aroma;Patacamaya;Urbana;8,222;5,806;2,416;10,779;9,603;1,176;12,801;11,802;999
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2395;372;Municipio/TIOC;La Paz;Aroma;Patacamaya;Rural;11,191;3,494;7,697;11,536;8,484;3,052;11,661;9,838;1,823
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2396;373;Municipio/TIOC;La Paz;Aroma;Colquencha;Colquencha;8,014;1,470;6,544;9,862;6,951;2,911;12,468;10,585;1,883
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2397;374;Municipio/TIOC;La Paz;Aroma;Colquencha;Urbana;2,350;607;1,743;3,074;2,667;407;7,447;6,576;871
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2398;375;Municipio/TIOC;La Paz;Aroma;Colquencha;Rural;5,664;863;4,801;6,788;4,284;2,504;5,021;4,009;1,012
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2399;376;Municipio/TIOC;La Paz;Aroma;Collana;Collana;2,848;922;1,926;4,979;3,889;1,090;5,507;4,936;571
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2400;377;Municipio/TIOC;La Paz;Aroma;Collana;Urbana;;;;2,797;2,370;427;3,683;3,424;259
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2401;378;Municipio/TIOC;La Paz;Aroma;Collana;Rural;2,848;922;1,926;2,182;1,519;663;1,824;1,512;312
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2402;379;Provincia;La Paz;Nor Yungas;;Nor Yungas;22,124;14,109;8,015;35,495;29,559;5,936;49,530;43,568;5,962
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2403;380;Provincia;La Paz;Nor Yungas;;Urbana;4,090;3,520;570;2,205;2,174;31;5,620;5,524;96
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2404;381;Provincia;La Paz;Nor Yungas;;Rural;18,034;10,589;7,445;33,290;27,385;5,905;43,910;38,044;5,866
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2405;382;Municipio/TIOC;La Paz;Nor Yungas;Coroico;Coroico;10,889;6,097;4,792;18,727;14,452;4,275;26,606;21,836;4,770
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2406;383;Municipio/TIOC;La Paz;Nor Yungas;Coroico;Urbana;1,977;1,787;190;2,205;2,174;31;2,638;2,570;68
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2407;384;Municipio/TIOC;La Paz;Nor Yungas;Coroico;Rural;8,912;4,310;4,602;16,522;12,278;4,244;23,968;19,266;4,702
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2408;385;Municipio/TIOC;La Paz;Nor Yungas;Coripata;Coripata;11,235;8,012;3,223;16,768;15,107;1,661;22,924;21,732;1,192
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2409;386;Municipio/TIOC;La Paz;Nor Yungas;Coripata;Urbana;2,113;1,733;380;;;;2,982;2,954;28
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2410;387;Municipio/TIOC;La Paz;Nor Yungas;Coripata;Rural;9,122;6,279;2,843;16,768;15,107;1,661;19,942;18,778;1,164
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2411;388;Provincia;La Paz;Abel Iturralde;;Abel Iturralde;11,193;3,906;7,287;16,552;10,890;5,662;20,974;16,633;4,341
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2412;389;Provincia;La Paz;Abel Iturralde;;Urbana;2,226;1,736;490;6,948;6,341;607;8,581;8,230;351
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2413;390;Provincia;La Paz;Abel Iturralde;;Rural;8,967;2,170;6,797;9,604;4,549;5,055;12,393;8,403;3,990
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2414;391;Municipio/TIOC;La Paz;Abel Iturralde;Ixiamas;Ixiamas;5,207;1,256;3,951;8,338;5,095;3,243;11,330;7,850;3,480
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2415;392;Municipio/TIOC;La Paz;Abel Iturralde;Ixiamas;Urbana;;;;3,580;3,089;491;4,263;4,095;168
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2416;393;Municipio/TIOC;La Paz;Abel Iturralde;Ixiamas;Rural;5,207;1,256;3,951;4,758;2,006;2,752;7,067;3,755;3,312
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2417;394;Municipio/TIOC;La Paz;Abel Iturralde;San Buenaventura;San Buenaventura;5,986;2,650;3,336;8,214;5,795;2,419;9,644;8,783;861
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2418;395;Municipio/TIOC;La Paz;Abel Iturralde;San Buenaventura;Urbana;2,226;1,736;490;3,368;3,252;116;4,318;4,135;183
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2419;396;Municipio/TIOC;La Paz;Abel Iturralde;San Buenaventura;Rural;3,760;914;2,846;4,846;2,543;2,303;5,326;4,648;678
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2420;397;Provincia;La Paz;Bautista Saavedra;;Bautista Saavedra;11,287;1,190;10,097;16,191;10,149;6,042;22,223;17,333;4,890
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2421;398;Provincia;La Paz;Bautista Saavedra;;Urbana;;;;3,274;2,603;671;2,752;2,442;310
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2422;399;Provincia;La Paz;Bautista Saavedra;;Rural;11,287;1,190;10,097;12,917;7,546;5,371;19,471;14,891;4,580
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2423;400;Municipio/TIOC;La Paz;Bautista Saavedra;Charazani;Charazani;9,083;1,040;8,043;12,927;8,258;4,669;15,649;12,848;2,801
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2424;401;Municipio/TIOC;La Paz;Bautista Saavedra;Charazani;Urbana;;;;3,274;2,603;671;2,752;2,442;310
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2425;402;Municipio/TIOC;La Paz;Bautista Saavedra;Charazani;Rural;9,083;1,040;8,043;9,653;5,655;3,998;12,897;10,406;2,491
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2426;403;Municipio/TIOC;La Paz;Bautista Saavedra;Curva;Curva;2,204;150;2,054;3,264;1,891;1,373;6,574;4,485;2,089
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2427;404;Municipio/TIOC;La Paz;Bautista Saavedra;Curva;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2428;405;Municipio/TIOC;La Paz;Bautista Saavedra;Curva;Rural;2,204;150;2,054;3,264;1,891;1,373;6,574;4,485;2,089
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2429;406;Provincia;La Paz;Manco Kapac;;Manco Kapac;22,103;13,614;8,489;26,675;21,010;5,665;33,349;27,460;5,889
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2430;407;Provincia;La Paz;Manco Kapac;;Urbana;3,819;3,064;755;8,824;7,457;1,367;9,344;8,244;1,100
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2431;408;Provincia;La Paz;Manco Kapac;;Rural;18,284;10,550;7,734;17,851;13,553;4,298;24,005;19,216;4,789
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2432;409;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Copacabana;14,052;9,178;4,874;14,487;12,504;1,983;17,215;14,525;2,690
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2433;410;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Urbana;3,819;3,064;755;5,381;4,943;438;5,877;5,357;520
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2434;411;Municipio/TIOC;La Paz;Manco Kapac;Copacabana;Rural;10,233;6,114;4,119;9,106;7,561;1,545;11,338;9,168;2,170
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2435;412;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;San Pedro de Tiquina;5,845;3,441;2,404;5,943;4,503;1,440;8,807;7,517;1,290
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2436;413;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2437;414;Municipio/TIOC;La Paz;Manco Kapac;San Pedro de Tiquina;Rural;5,845;3,441;2,404;5,943;4,503;1,440;8,807;7,517;1,290
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2438;415;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Tito Yupanqui;2,206;995;1,211;6,245;4,003;2,242;7,327;5,418;1,909
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2439;416;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Urbana;;;;3,443;2,514;929;3,467;2,887;580
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2440;417;Municipio/TIOC;La Paz;Manco Kapac;Tito Yupanqui;Rural;2,206;995;1,211;2,802;1,489;1,313;3,860;2,531;1,329
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2441;418;Provincia;La Paz;Gualberto Villarroel;;Gualberto Villarroel;15,696;215;15,481;17,795;9,493;8,302;17,892;13,734;4,158
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2442;419;Provincia;La Paz;Gualberto Villarroel;;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2443;420;Provincia;La Paz;Gualberto Villarroel;;Rural;15,696;215;15,481;17,795;9,493;8,302;17,892;13,734;4,158
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2444;421;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;San Pedro de Curahuara;8,086;94;7,992;8,809;4,373;4,436;9,203;7,318;1,885
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2445;422;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2446;423;Municipio/TIOC;La Paz;Gualberto Villarroel;San Pedro de Curahuara;Rural;8,086;94;7,992;8,809;4,373;4,436;9,203;7,318;1,885
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2447;424;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Papel Pampa;6,044;106;5,938;6,986;3,866;3,120;6,641;5,029;1,612
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2448;425;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2449;426;Municipio/TIOC;La Paz;Gualberto Villarroel;Papel Pampa;Rural;6,044;106;5,938;6,986;3,866;3,120;6,641;5,029;1,612
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2450;427;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Chacarilla;1,566;15;1,551;2,000;1,254;746;2,048;1,387;661
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2451;428;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2452;429;Municipio/TIOC;La Paz;Gualberto Villarroel;Chacarilla;Rural;1,566;15;1,551;2,000;1,254;746;2,048;1,387;661
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2453;430;Provincia;La Paz;General José Manuel Pando;;General José Manuel Pando;6,075;519;5,556;7,409;3,672;3,737;12,109;9,422;2,687
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2454;431;Provincia;La Paz;General José Manuel Pando;;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2455;432;Provincia;La Paz;General José Manuel Pando;;Rural;6,075;519;5,556;7,409;3,672;3,737;12,109;9,422;2,687
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2456;433;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Santiago de Machaca;4,342;460;3,882;4,549;2,018;2,531;6,774;5,311;1,463
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2457;434;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Urbana;;;;;;;;;
BOLIVIA: POBLACIÓN CON ACCESO A ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2458;435;Municipio/TIOC;La Paz;General José Manuel Pando;Santiago de Machaca;Rural;4,342;460;3,882;4,549;2,018;2,531;6,774;5,311;1,463
