cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_edad;area_;2012_numero_total;2012_numero_hombre;2012_numero_mujer;2012_porcentaje_total;2012_porcentaje_hombre;2012_porcentaje_mujer;2024_numero_total;2024_numero_hombre;2024_numero_mujer;2024_numero_sin_especificar;2024_porcentaje_total;2024_porcentaje_hombre;2024_porcentaje_mujer;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2213;190;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;30 a 59;Urbana;27;11;16;20.9;15.7;27.1;30;19;11;0;21;23.5;17.7;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2214;191;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;60 o más;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2215;192;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Sin especificar;Urbana;0;0;0;0;0;0;6;3;3;0;4.2;3.7;4.8;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2216;193;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;Rural;255;132;123;100;100;100;127;78;49;0;100;100;100;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2217;194;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;0 a 17;Rural;26;10;16;10.2;7.6;13;15;12;3;0;11.8;15.4;6.1;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2218;195;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;18 a 29;Rural;178;93;85;69.8;70.5;69.1;73;40;33;0;57.5;51.3;67.3;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2219;196;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;30 a 59;Rural;46;24;22;18;18.2;17.9;30;21;9;0;23.6;26.9;18.4;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2220;197;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;60 o más;Rural;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2221;198;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Sin especificar;Rural;5;5;0;2;3.8;0;9;5;4;0;7.1;6.4;8.2;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2222;199;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Presto;Presto;157;74;83;100;100;100;197;98;99;0;100;100;100;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2223;200;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;0 a 17;Presto;20;11;9;12.7;14.9;10.8;25;11;14;0;12.7;11.2;14.1;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2224;201;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;18 a 29;Presto;107;49;58;68.2;66.2;69.9;125;68;57;0;63.5;69.4;57.6;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2225;202;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;30 a 59;Presto;26;12;14;16.6;16.2;16.9;38;16;22;0;19.3;16.3;22.2;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2226;203;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;60 o más;Presto;1;1;0;0.6;1.4;0;1;0;1;0;0.5;0;1;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2227;204;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Sin especificar;Presto;3;1;2;1.9;1.4;2.4;8;3;5;0;4.1;3.1;5.1;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2228;205;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Urbana;Urbana;44;21;23;100;100;100;63;33;30;0;100;100;100;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2229;206;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;0 a 17;Urbana;4;2;2;9.1;9.5;8.7;10;5;5;0;15.9;15.2;16.7;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2230;207;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;18 a 29;Urbana;27;13;14;61.4;61.9;60.9;34;20;14;0;54;60.6;46.7;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2231;208;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;30 a 59;Urbana;10;5;5;22.7;23.8;21.7;15;6;9;0;23.8;18.2;30;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2232;209;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;60 o más;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2233;210;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Sin especificar;Urbana;3;1;2;6.8;4.8;8.7;4;2;2;0;6.3;6.1;6.7;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2234;211;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Rural;Rural;113;53;60;100;100;100;134;65;69;0;100;100;100;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2235;212;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;0 a 17;Rural;16;9;7;14.2;17;11.7;15;6;9;0;11.2;9.2;13;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2236;213;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;18 a 29;Rural;80;36;44;70.8;67.9;73.3;91;48;43;0;67.9;73.8;62.3;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2237;214;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;30 a 59;Rural;16;7;9;14.2;13.2;15;23;10;13;0;17.2;15.4;18.8;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2238;215;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;60 o más;Rural;1;1;0;0.9;1.9;0;1;0;1;0;0.7;0;1.4;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2239;216;Municipio/TIOC;Chuquisaca;Zudáñez;Presto;Sin especificar;Rural;0;0;0;0;0;0;4;1;3;0;3;1.5;4.3;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2240;217;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Mojocoya;Mojocoya;404;197;207;100;100;100;275;131;142;2;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2241;218;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;0 a 17;Mojocoya;55;19;36;13.6;9.6;17.4;32;13;19;0;11.6;9.9;13.4;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2242;219;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;18 a 29;Mojocoya;287;152;135;71;77.2;65.2;165;86;78;1;60;65.6;54.9;50
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2243;220;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;30 a 59;Mojocoya;53;23;30;13.1;11.7;14.5;70;28;42;0;25.5;21.4;29.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2244;221;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;60 o más;Mojocoya;2;0;2;0.5;0;1;0;0;0;0;0;0;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2245;222;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Sin especificar;Mojocoya;7;3;4;1.7;1.5;1.9;8;4;3;1;2.9;3.1;2.1;50
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2246;223;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Urbana;Urbana;0;0;0;0;0;0;102;49;52;1;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2247;224;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;0 a 17;Urbana;0;0;0;0;0;0;14;3;11;0;13.7;6.1;21.2;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2248;225;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;18 a 29;Urbana;0;0;0;0;0;0;57;34;22;1;55.9;69.4;42.3;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2249;226;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;30 a 59;Urbana;0;0;0;0;0;0;28;9;19;0;27.5;18.4;36.5;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2250;227;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;60 o más;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2251;228;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Sin especificar;Urbana;0;0;0;0;0;0;3;3;0;0;2.9;6.1;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2252;229;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Rural;Rural;404;197;207;100;100;100;173;82;90;1;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2253;230;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;0 a 17;Rural;55;19;36;13.6;9.6;17.4;18;10;8;0;10.4;12.2;8.9;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2254;231;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;18 a 29;Rural;287;152;135;71;77.2;65.2;108;52;56;0;62.4;63.4;62.2;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2255;232;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;30 a 59;Rural;53;23;30;13.1;11.7;14.5;42;19;23;0;24.3;23.2;25.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2256;233;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;60 o más;Rural;2;0;2;0.5;0;1;0;0;0;0;0;0;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2257;234;Municipio/TIOC;Chuquisaca;Zudáñez;Mojocoya;Sin especificar;Rural;7;3;4;1.7;1.5;1.9;5;1;3;1;2.9;1.2;3.3;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2258;235;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Icla;Icla;506;265;241;100;100;100;315;174;139;2;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2259;236;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;0 a 17;Icla;69;36;33;13.6;13.6;13.7;53;29;24;0;16.8;16.7;17.3;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2260;237;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;18 a 29;Icla;350;184;166;69.2;69.4;68.9;197;114;81;2;62.5;65.5;58.3;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2261;238;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;30 a 59;Icla;76;41;35;15;15.5;14.5;59;29;30;0;18.7;16.7;21.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2262;239;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;60 o más;Icla;1;0;1;0.2;0;0.4;0;0;0;0;0;0;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2263;240;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Sin especificar;Icla;10;4;6;2;1.5;2.5;6;2;4;0;1.9;1.1;2.9;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2264;241;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Urbana;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2265;242;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;0 a 17;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2266;243;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;18 a 29;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2267;244;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;30 a 59;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2268;245;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;60 o más;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2269;246;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Sin especificar;Urbana;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2270;247;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Rural;Rural;506;265;241;100;100;100;315;174;139;2;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2271;248;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;0 a 17;Rural;69;36;33;13.6;13.6;13.7;53;29;24;0;16.8;16.7;17.3;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2272;249;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;18 a 29;Rural;350;184;166;69.2;69.4;68.9;197;114;81;2;62.5;65.5;58.3;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2273;250;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;30 a 59;Rural;76;41;35;15;15.5;14.5;59;29;30;0;18.7;16.7;21.6;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2274;251;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;60 o más;Rural;1;0;1;0.2;0;0.4;0;0;0;0;0;0;0;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2275;252;Municipio/TIOC;Chuquisaca;Zudáñez;Icla;Sin especificar;Rural;10;4;6;2;1.5;2.5;6;2;4;0;1.9;1.1;2.9;0
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2276;253;Provincia;Chuquisaca;Tomina;;Tomina;Tomina;1268;650;618;100;100;100;883;472;411;0;100;100;100;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2277;254;Provincia;Chuquisaca;Tomina;;0 a 17;Tomina;203;102;101;16;15.7;16.3;97;54;43;0;11;11.4;10.5;
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2278;255;Provincia;Chuquisaca;Tomina;;18 a 29;Tomina;833;426;407;65.7;65.5;65.9;505;263;242;0;57.2;55.7;58.9;
