cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_numero_total;2012_numero_argentina;2012_numero_espanha;2012_numero_brasil;2012_numero_chile;2012_numero_eeuu;2012_numero_otros_paises;2012_numero_sin_especificar;2012_porcentaje_argentina;2012_porcentaje_espanha;2012_porcentaje_brasil;2012_porcentaje_chile;2012_porcentaje_eeuu;2012_porcentaje_otros_paises;2012_porcentaje_sin_especificar;2024_numero__total;2024_numero__argentina;2024_numero__espanha;2024_numero__brasil;2024_numero__chile;2024_numero__eeuu;2024_numero__otros_paises;2024_numero__sin_especificar;2024_porcentaje_argentina;2024_porcentaje_espanha;2024_porcentaje_brasil;2024_porcentaje_chile;2024_porcentaje_eeuu;2024_porcentaje_otros_paises;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2228;205;Municipio/TIOC;La Paz;Camacho;Humanata;Humanata;252;58;1;148;7;0;6;32;23;0.4;58.7;2.8;0;2.4;12.7;183;40;3;127;9;0;2;2;21.9;1.6;69.4;4.9;0;1.1;1.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2229;206;Municipio/TIOC;La Paz;Camacho;Humanata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2230;207;Municipio/TIOC;La Paz;Camacho;Humanata;Rural;252;58;1;148;7;0;6;32;23;0.4;58.7;2.8;0;2.4;12.7;183;40;3;127;9;0;2;2;21.9;1.6;69.4;4.9;0;1.1;1.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2231;208;Municipio/TIOC;La Paz;Camacho;Escoma;Escoma;636;418;7;169;7;1;13;21;65.7;1.1;26.6;1.1;0.2;2;3.3;296;106;4;155;15;1;6;9;35.8;1.4;52.4;5.1;0.3;2;3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2232;209;Municipio/TIOC;La Paz;Camacho;Escoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2233;210;Municipio/TIOC;La Paz;Camacho;Escoma;Rural;636;418;7;169;7;1;13;21;65.7;1.1;26.6;1.1;0.2;2;3.3;296;106;4;155;15;1;6;9;35.8;1.4;52.4;5.1;0.3;2;3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2234;211;Provincia;La Paz;Muñecas;;Muñecas;696;279;26;297;13;23;25;33;40.1;3.7;42.7;1.9;3.3;3.6;4.7;480;87;4;309;48;8;15;9;18.1;0.8;64.4;10;1.7;3.1;1.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2235;212;Provincia;La Paz;Muñecas;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2236;213;Provincia;La Paz;Muñecas;;Rural;696;279;26;297;13;23;25;33;40.1;3.7;42.7;1.9;3.3;3.6;4.7;480;87;4;309;48;8;15;9;18.1;0.8;64.4;10;1.7;3.1;1.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2237;214;Municipio/TIOC;La Paz;Muñecas;Chuma;Chuma;467;194;14;200;5;14;12;28;41.5;3;42.8;1.1;3;2.6;6;214;41;2;132;16;7;14;2;19.2;0.9;61.7;7.5;3.3;6.5;0.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2238;215;Municipio/TIOC;La Paz;Muñecas;Chuma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2239;216;Municipio/TIOC;La Paz;Muñecas;Chuma;Rural;467;194;14;200;5;14;12;28;41.5;3;42.8;1.1;3;2.6;6;214;41;2;132;16;7;14;2;19.2;0.9;61.7;7.5;3.3;6.5;0.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2240;217;Municipio/TIOC;La Paz;Muñecas;Ayata;Ayata;151;71;7;51;5;4;12;1;47;4.6;33.8;3.3;2.6;7.9;0.7;192;34;1;123;29;1;1;3;17.7;0.5;64.1;15.1;0.5;0.5;1.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2241;218;Municipio/TIOC;La Paz;Muñecas;Ayata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2242;219;Municipio/TIOC;La Paz;Muñecas;Ayata;Rural;151;71;7;51;5;4;12;1;47;4.6;33.8;3.3;2.6;7.9;0.7;192;34;1;123;29;1;1;3;17.7;0.5;64.1;15.1;0.5;0.5;1.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2243;220;Municipio/TIOC;La Paz;Muñecas;Aucapata;Aucapata;78;14;5;46;3;5;1;4;17.9;6.4;59;3.8;6.4;1.3;5.1;74;12;1;54;3;0;0;4;16.2;1.4;73;4.1;0;0;5.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2244;221;Municipio/TIOC;La Paz;Muñecas;Aucapata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2245;222;Municipio/TIOC;La Paz;Muñecas;Aucapata;Rural;78;14;5;46;3;5;1;4;17.9;6.4;59;3.8;6.4;1.3;5.1;74;12;1;54;3;0;0;4;16.2;1.4;73;4.1;0;0;5.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2246;223;Provincia;La Paz;Larecaja;;Larecaja;2,231;712;379;742;120;46;151;81;31.9;17;33.3;5.4;2.1;6.8;3.6;1,332;295;88;447;382;16;82;22;22.1;6.6;33.6;28.7;1.2;6.2;1.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2247;224;Provincia;La Paz;Larecaja;;Urbana;463;102;129;117;29;15;62;9;22;27.9;25.3;6.3;3.2;13.4;1.9;387;63;30;108;135;7;38;6;16.3;7.8;27.9;34.9;1.8;9.8;1.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2248;225;Provincia;La Paz;Larecaja;;Rural;1,768;610;250;625;91;31;89;72;34.5;14.1;35.4;5.1;1.8;5;4.1;945;232;58;339;247;9;44;16;24.6;6.1;35.9;26.1;1;4.7;1.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2249;226;Municipio/TIOC;La Paz;Larecaja;Sorata;Sorata;620;216;55;235;27;19;39;29;34.8;8.9;37.9;4.4;3.1;6.3;4.7;294;81;8;121;57;5;15;7;27.6;2.7;41.2;19.4;1.7;5.1;2.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2250;227;Municipio/TIOC;La Paz;Larecaja;Sorata;Urbana;90;18;18;18;6;6;19;5;20;20;20;6.7;6.7;21.1;5.6;57;7;5;18;13;3;7;4;12.3;8.8;31.6;22.8;5.3;12.3;7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2251;228;Municipio/TIOC;La Paz;Larecaja;Sorata;Rural;530;198;37;217;21;13;20;24;37.4;7;40.9;4;2.5;3.8;4.5;237;74;3;103;44;2;8;3;31.2;1.3;43.5;18.6;0.8;3.4;1.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2252;229;Municipio/TIOC;La Paz;Larecaja;Guanay;Guanay;439;132;76;148;20;6;44;13;30.1;17.3;33.7;4.6;1.4;10;3;309;58;27;94;102;4;23;1;18.8;8.7;30.4;33;1.3;7.4;0.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2253;230;Municipio/TIOC;La Paz;Larecaja;Guanay;Urbana;186;30;49;60;10;4;31;2;16.1;26.3;32.3;5.4;2.2;16.7;1.1;97;13;12;21;37;3;11;0;13.4;12.4;21.6;38.1;3.1;11.3;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2254;231;Municipio/TIOC;La Paz;Larecaja;Guanay;Rural;253;102;27;88;10;2;13;11;40.3;10.7;34.8;4;0.8;5.1;4.3;212;45;15;73;65;1;12;1;21.2;7.1;34.4;30.7;0.5;5.7;0.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2255;232;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Tacacoma;134;52;32;26;5;3;10;6;38.8;23.9;19.4;3.7;2.2;7.5;4.5;55;9;8;19;17;1;1;0;16.4;14.5;34.5;30.9;1.8;1.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2256;233;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2257;234;Municipio/TIOC;La Paz;Larecaja;Tacacoma;Rural;134;52;32;26;5;3;10;6;38.8;23.9;19.4;3.7;2.2;7.5;4.5;55;9;8;19;17;1;1;0;16.4;14.5;34.5;30.9;1.8;1.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2258;235;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Quiabaya;87;30;8;35;2;4;4;4;34.5;9.2;40.2;2.3;4.6;4.6;4.6;19;1;2;14;1;0;1;0;5.3;10.5;73.7;5.3;0;5.3;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2259;236;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2260;237;Municipio/TIOC;La Paz;Larecaja;Quiabaya;Rural;87;30;8;35;2;4;4;4;34.5;9.2;40.2;2.3;4.6;4.6;4.6;19;1;2;14;1;0;1;0;5.3;10.5;73.7;5.3;0;5.3;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2261;238;Municipio/TIOC;La Paz;Larecaja;Combaya;Combaya;96;46;3;35;4;0;0;8;47.9;3.1;36.5;4.2;0;0;8.3;70;18;4;37;9;0;1;1;25.7;5.7;52.9;12.9;0;1.4;1.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2262;239;Municipio/TIOC;La Paz;Larecaja;Combaya;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2263;240;Municipio/TIOC;La Paz;Larecaja;Combaya;Rural;96;46;3;35;4;0;0;8;47.9;3.1;36.5;4.2;0;0;8.3;70;18;4;37;9;0;1;1;25.7;5.7;52.9;12.9;0;1.4;1.4
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2264;241;Municipio/TIOC;La Paz;Larecaja;Tipuani;Tipuani;346;91;118;72;21;6;26;12;26.3;34.1;20.8;6.1;1.7;7.5;3.5;128;31;17;20;42;4;13;1;24.2;13.3;15.6;32.8;3.1;10.2;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2265;242;Municipio/TIOC;La Paz;Larecaja;Tipuani;Urbana;92;21;43;13;9;1;5;0;22.8;46.7;14.1;9.8;1.1;5.4;0;45;4;4;4;25;0;8;0;8.9;8.9;8.9;55.6;0;17.8;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2266;243;Municipio/TIOC;La Paz;Larecaja;Tipuani;Rural;254;70;75;59;12;5;21;12;27.6;29.5;23.2;4.7;2;8.3;4.7;83;27;13;16;17;4;5;1;32.5;15.7;19.3;20.5;4.8;6;1.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2267;244;Municipio/TIOC;La Paz;Larecaja;Mapiri;Mapiri;225;76;45;69;16;6;11;2;33.8;20;30.7;7.1;2.7;4.9;0.9;260;59;13;91;74;2;16;5;22.7;5;35;28.5;0.8;6.2;1.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2268;245;Municipio/TIOC;La Paz;Larecaja;Mapiri;Urbana;95;33;19;26;4;4;7;2;34.7;20;27.4;4.2;4.2;7.4;2.1;138;30;8;50;38;1;10;1;21.7;5.8;36.2;27.5;0.7;7.2;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2269;246;Municipio/TIOC;La Paz;Larecaja;Mapiri;Rural;130;43;26;43;12;2;4;0;33.1;20;33.1;9.2;1.5;3.1;0;122;29;5;41;36;1;6;4;23.8;4.1;33.6;29.5;0.8;4.9;3.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2270;247;Municipio/TIOC;La Paz;Larecaja;Teoponte;Teoponte;284;69;42;122;25;2;17;7;24.3;14.8;43;8.8;0.7;6;2.5;197;38;9;51;80;0;12;7;19.3;4.6;25.9;40.6;0;6.1;3.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2271;248;Municipio/TIOC;La Paz;Larecaja;Teoponte;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;9;1;15;22;0;2;1;18;2;30;44;0;4;2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2272;249;Municipio/TIOC;La Paz;Larecaja;Teoponte;Rural;284;69;42;122;25;2;17;7;24.3;14.8;43;8.8;0.7;6;2.5;147;29;8;36;58;0;10;6;19.7;5.4;24.5;39.5;0;6.8;4.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2273;250;Provincia;La Paz;Franz Tamayo;;Franz Tamayo;667;190;81;245;40;12;76;23;28.5;12.1;36.7;6;1.8;11.4;3.4;632;125;13;263;176;4;38;13;19.8;2.1;41.6;27.8;0.6;6;2.1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2274;251;Provincia;La Paz;Franz Tamayo;;Urbana;215;42;48;52;14;10;37;12;19.5;22.3;24.2;6.5;4.7;17.2;5.6;132;21;3;36;57;4;9;2;15.9;2.3;27.3;43.2;3;6.8;1.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2275;252;Provincia;La Paz;Franz Tamayo;;Rural;452;148;33;193;26;2;39;11;32.7;7.3;42.7;5.8;0.4;8.6;2.4;500;104;10;227;119;0;29;11;20.8;2;45.4;23.8;0;5.8;2.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2276;253;Municipio/TIOC;La Paz;Franz Tamayo;Apolo;Apolo;543;148;73;187;38;10;64;23;27.3;13.4;34.4;7;1.8;11.8;4.2;557;99;12;234;166;4;29;13;17.8;2.2;42;29.8;0.7;5.2;2.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2277;254;Municipio/TIOC;La Paz;Franz Tamayo;Apolo;Urbana;215;42;48;52;14;10;37;12;19.5;22.3;24.2;6.5;4.7;17.2;5.6;132;21;3;36;57;4;9;2;15.9;2.3;27.3;43.2;3;6.8;1.5
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2278;255;Municipio/TIOC;La Paz;Franz Tamayo;Apolo;Rural;328;106;25;135;24;0;27;11;32.3;7.6;41.2;7.3;0;8.2;3.4;425;78;9;198;109;0;20;11;18.4;2.1;46.6;25.6;0;4.7;2.6
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2279;256;Municipio/TIOC;La Paz;Franz Tamayo;Pelechuco;Pelechuco;124;42;8;58;2;2;12;0;33.9;6.5;46.8;1.6;1.6;9.7;0;75;26;1;29;10;0;9;0;34.7;1.3;38.7;13.3;0;12;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2280;257;Municipio/TIOC;La Paz;Franz Tamayo;Pelechuco;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2281;258;Municipio/TIOC;La Paz;Franz Tamayo;Pelechuco;Rural;124;42;8;58;2;2;12;0;33.9;6.5;46.8;1.6;1.6;9.7;0;75;26;1;29;10;0;9;0;34.7;1.3;38.7;13.3;0;12;0
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2282;259;Provincia;La Paz;Ingavi;;Ingavi;6,261;2,597;229;2,634;265;48;253;235;41.5;3.7;42.1;4.2;0.8;4;3.8;4,679;1,155;90;2,472;712;40;174;36;24.7;1.9;52.8;15.2;0.9;3.7;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2283;260;Provincia;La Paz;Ingavi;;Urbana;2,490;903;130;1,040;181;17;141;78;36.3;5.2;41.8;7.3;0.7;5.7;3.1;2,322;516;46;1,143;453;21;126;17;22.2;2;49.2;19.5;0.9;5.4;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2284;261;Provincia;La Paz;Ingavi;;Rural;3,771;1,694;99;1,594;84;31;112;157;44.9;2.6;42.3;2.2;0.8;3;4.2;2,357;639;44;1,329;259;19;48;19;27.1;1.9;56.4;11;0.8;2;0.8
