cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;numero_total_total;numero_total_hombres;numero_total_mujeres;numero_agricultura,_ganaderia,_silvicultura_total;numero_agricultura,_ganaderia,_silvicultura_hombres;numero_agricultura,_ganaderia,_silvicultura_mujeres;numero_pesca_total;numero_pesca_hombres;numero_pesca_mujeres;numero_explotacion_de_minas_y_canteras_total;numero_explotacion_de_minas_y_canteras_hombres;numero_explotacion_de_minas_y_canteras_mujeres;numero_industria_manufacturera_total;numero_industria_manufacturera_hombres;numero_industria_manufacturera_mujeres;numero__electricidad,_gas_y_agua_total;numero__electricidad,_gas_y_agua_hombres;numero__electricidad,_gas_y_agua_mujeres;numero_construccion_total;numero_construccion_hombres;numero_construccion_mujeres;numero_comercio_al_por_mayor_y_menor_total;numero_comercio_al_por_mayor_y_menor_hombres;numero_comercio_al_por_mayor_y_menor_mujeres;numero_transporte,_almacenamiento_y_comunicacion_total;numero_transporte,_almacenamiento_y_comunicacion_hombres;numero_transporte,_almacenamiento_y_comunicacion_mujeres;numero_hoteles_y_restaurantes_total;numero_hoteles_y_restaurantes_hombres;numero_hoteles_y_restaurantes_mujeres;numero_intermedicion_financiera_total;numero_intermedicion_financiera_hombres;numero_intermedicion_financiera_mujeres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_total;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_hombres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_mujeres;numero_administracion,_publica,_defensa_y_seguridad_social_total;numero_administracion,_publica,_defensa_y_seguridad_social_hombres;numero_administracion,_publica,_defensa_y_seguridad_social_mujeres;numero_educacion_total;numero_educacion_hombres;numero_educacion_mujeres;numero_servicios_sociales_y_de_salud_total;numero_servicios_sociales_y_de_salud_hombres;numero_servicios_sociales_y_de_salud_mujeres;numero_servicios_comunitarios,_sociales_y_personales_total;numero_servicios_comunitarios,_sociales_y_personales_hombres;numero_servicios_comunitarios,_sociales_y_personales_mujeres;numero_servicios_a_los_hogares_y_servicios_domesticos_total;numero_servicios_a_los_hogares_y_servicios_domesticos_hombres;numero_servicios_a_los_hogares_y_servicios_domesticos_mujeres;numero_servicios_de_organizaciones_extraterritoriales_total;numero_servicios_de_organizaciones_extraterritoriales_hombres;numero_servicios_de_organizaciones_extraterritoriales_mujeres;numero_sin_especificar_total;numero_sin_especificar_hombres;numero_sin_especificar_mujeres
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4191;2504;Municipio/TIOC;La Paz;Inquisivi;Colquiri;60 o más;977;603;374;847;549;298;0;0;0;18;17;1;29;5;24;0;0;0;7;7;0;20;2;18;2;2;0;4;1;3;0;0;0;1;1;0;0;0;0;3;2;1;1;1;0;9;4;5;6;0;6;0;0;0;30;12;18
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4192;2505;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Urbana;1,266;896;370;46;27;19;0;0;0;524;517;7;68;41;27;6;6;0;71;71;0;148;45;103;66;63;3;41;7;34;0;0;0;15;13;2;24;16;8;123;44;79;16;8;8;25;12;13;42;1;41;0;0;0;51;25;26
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4193;2507;Municipio/TIOC;La Paz;Inquisivi;Colquiri;14 a 19;99;64;35;11;10;1;0;0;0;18;18;0;9;8;1;1;1;0;7;7;0;15;4;11;7;7;0;8;2;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;14;1;13;0;0;0;7;4;3
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4194;2508;Municipio/TIOC;La Paz;Inquisivi;Colquiri;20 a 29;402;286;116;11;5;6;0;0;0;192;186;6;14;7;7;2;2;0;27;27;0;23;6;17;24;23;1;11;2;9;0;0;0;5;3;2;4;2;2;56;19;37;4;0;4;3;1;2;14;0;14;0;0;0;12;3;9
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4195;2509;Municipio/TIOC;La Paz;Inquisivi;Colquiri;30 a 39;362;261;101;9;4;5;0;0;0;166;165;1;16;8;8;2;2;0;17;17;0;41;14;27;14;13;1;6;1;5;0;0;0;3;3;0;9;6;3;40;13;27;7;5;2;9;4;5;8;0;8;0;0;0;15;6;9
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4196;2510;Municipio/TIOC;La Paz;Inquisivi;Colquiri;40 a 49;251;189;62;4;3;1;0;0;0;109;109;0;13;9;4;1;1;0;10;10;0;35;12;23;17;16;1;10;1;9;0;0;0;3;3;0;10;7;3;22;10;12;1;0;1;3;1;2;2;0;2;0;0;0;11;7;4
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4197;2511;Municipio/TIOC;La Paz;Inquisivi;Colquiri;50 a 59;96;69;27;3;2;1;0;0;0;32;32;0;9;6;3;0;0;0;7;7;0;23;7;16;3;3;0;2;0;2;0;0;0;2;2;0;1;1;0;4;2;2;3;2;1;2;2;0;2;0;2;0;0;0;3;3;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4198;2512;Municipio/TIOC;La Paz;Inquisivi;Colquiri;60 o más;56;27;29;8;3;5;0;0;0;7;7;0;7;3;4;0;0;0;3;3;0;11;2;9;1;1;0;4;1;3;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;7;3;4;2;0;2;0;0;0;3;2;1
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4199;2513;Municipio/TIOC;La Paz;Inquisivi;Colquiri;Rural;5,618;3,430;2,188;4,535;2,855;1,680;1;1;0;118;115;3;256;40;216;1;1;0;134;132;2;105;43;62;54;54;0;9;1;8;0;0;0;3;3;0;15;13;2;132;86;46;6;4;2;18;6;12;37;1;36;0;0;0;194;75;119
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4200;2515;Municipio/TIOC;La Paz;Inquisivi;Colquiri;14 a 19;602;281;321;446;203;243;1;1;0;15;15;0;49;13;36;0;0;0;10;10;0;6;4;2;2;2;0;2;0;2;0;0;0;1;1;0;1;1;0;4;3;1;0;0;0;2;0;2;10;0;10;0;0;0;53;28;25
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4201;2516;Municipio/TIOC;La Paz;Inquisivi;Colquiri;20 a 29;1,188;730;458;866;548;318;0;0;0;34;33;1;67;12;55;0;0;0;46;46;0;31;13;18;22;22;0;2;0;2;0;0;0;1;1;0;4;3;1;60;33;27;1;0;1;4;2;2;5;1;4;0;0;0;45;16;29
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4202;2517;Municipio/TIOC;La Paz;Inquisivi;Colquiri;30 a 39;1,057;662;395;808;524;284;0;0;0;25;25;0;62;4;58;0;0;0;31;30;1;24;14;10;18;18;0;0;0;0;0;0;0;0;0;0;6;6;0;42;29;13;1;1;0;5;2;3;9;0;9;0;0;0;26;9;17
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4203;2518;Municipio/TIOC;La Paz;Inquisivi;Colquiri;40 a 49;1,019;645;374;847;547;300;0;0;0;25;25;0;29;4;25;1;1;0;24;24;0;22;6;16;9;9;0;3;0;3;0;0;0;0;0;0;2;2;0;18;14;4;2;1;1;5;1;4;7;0;7;0;0;0;25;11;14
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4204;2519;Municipio/TIOC;La Paz;Inquisivi;Colquiri;50 a 59;831;536;295;729;487;242;0;0;0;8;7;1;27;5;22;0;0;0;19;18;1;13;6;7;2;2;0;2;1;1;0;0;0;1;1;0;2;1;1;6;5;1;2;2;0;0;0;0;2;0;2;0;0;0;18;1;17
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4205;2520;Municipio/TIOC;La Paz;Inquisivi;Colquiri;60 o más;921;576;345;839;546;293;0;0;0;11;10;1;22;2;20;0;0;0;4;4;0;9;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;1;1;4;0;4;0;0;0;27;10;17
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4206;2521;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Ichoca;2,726;1,569;1,157;2,101;1,174;927;0;0;0;76;73;3;81;27;54;9;9;0;70;69;1;125;64;61;28;28;0;13;4;9;0;0;0;3;3;0;8;7;1;88;64;24;5;1;4;7;7;0;12;1;11;0;0;0;100;38;62
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4207;2523;Municipio/TIOC;La Paz;Inquisivi;Ichoca;14 a 19;268;115;153;197;82;115;0;0;0;2;2;0;11;1;10;1;1;0;5;5;0;14;7;7;3;3;0;1;0;1;0;0;0;0;0;0;1;0;1;3;1;2;0;0;0;0;0;0;3;0;3;0;0;0;27;13;14
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4208;2524;Municipio/TIOC;La Paz;Inquisivi;Ichoca;20 a 29;534;307;227;373;203;170;0;0;0;13;13;0;24;12;12;2;2;0;18;18;0;22;13;9;10;10;0;4;2;2;0;0;0;0;0;0;0;0;0;42;26;16;1;0;1;1;1;0;4;0;4;0;0;0;20;7;13
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4209;2525;Municipio/TIOC;La Paz;Inquisivi;Ichoca;30 a 39;574;319;255;426;235;191;0;0;0;22;20;2;20;4;16;1;1;0;17;17;0;29;9;20;4;4;0;4;1;3;0;0;0;1;1;0;4;4;0;22;17;5;2;0;2;2;2;0;1;0;1;0;0;0;19;4;15
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4210;2526;Municipio/TIOC;La Paz;Inquisivi;Ichoca;40 a 49;497;307;190;375;214;161;0;0;0;24;23;1;10;4;6;3;3;0;16;16;0;29;17;12;6;6;0;1;0;1;0;0;0;1;1;0;1;1;0;14;13;1;1;0;1;1;1;0;1;0;1;0;0;0;14;8;6
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4211;2527;Municipio/TIOC;La Paz;Inquisivi;Ichoca;50 a 59;425;256;169;340;189;151;0;0;0;12;12;0;10;5;5;2;2;0;14;13;1;24;16;8;5;5;0;2;1;1;0;0;0;1;1;0;1;1;0;5;5;0;1;1;0;2;2;0;0;0;0;0;0;0;6;3;3
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4212;2528;Municipio/TIOC;La Paz;Inquisivi;Ichoca;60 o más;428;265;163;390;251;139;0;0;0;3;3;0;6;1;5;0;0;0;0;0;0;7;2;5;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2;2;0;0;0;0;1;1;0;3;1;2;0;0;0;14;3;11
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4213;2529;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4214;2531;Municipio/TIOC;La Paz;Inquisivi;Ichoca;14 a 19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4215;2532;Municipio/TIOC;La Paz;Inquisivi;Ichoca;20 a 29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4216;2533;Municipio/TIOC;La Paz;Inquisivi;Ichoca;30 a 39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4217;2534;Municipio/TIOC;La Paz;Inquisivi;Ichoca;40 a 49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4218;2535;Municipio/TIOC;La Paz;Inquisivi;Ichoca;50 a 59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4219;2536;Municipio/TIOC;La Paz;Inquisivi;Ichoca;60 o más;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4220;2537;Municipio/TIOC;La Paz;Inquisivi;Ichoca;Rural;2,726;1,569;1,157;2,101;1,174;927;0;0;0;76;73;3;81;27;54;9;9;0;70;69;1;125;64;61;28;28;0;13;4;9;0;0;0;3;3;0;8;7;1;88;64;24;5;1;4;7;7;0;12;1;11;0;0;0;100;38;62
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4221;2539;Municipio/TIOC;La Paz;Inquisivi;Ichoca;14 a 19;268;115;153;197;82;115;0;0;0;2;2;0;11;1;10;1;1;0;5;5;0;14;7;7;3;3;0;1;0;1;0;0;0;0;0;0;1;0;1;3;1;2;0;0;0;0;0;0;3;0;3;0;0;0;27;13;14
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4222;2540;Municipio/TIOC;La Paz;Inquisivi;Ichoca;20 a 29;534;307;227;373;203;170;0;0;0;13;13;0;24;12;12;2;2;0;18;18;0;22;13;9;10;10;0;4;2;2;0;0;0;0;0;0;0;0;0;42;26;16;1;0;1;1;1;0;4;0;4;0;0;0;20;7;13
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4223;2541;Municipio/TIOC;La Paz;Inquisivi;Ichoca;30 a 39;574;319;255;426;235;191;0;0;0;22;20;2;20;4;16;1;1;0;17;17;0;29;9;20;4;4;0;4;1;3;0;0;0;1;1;0;4;4;0;22;17;5;2;0;2;2;2;0;1;0;1;0;0;0;19;4;15
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4224;2542;Municipio/TIOC;La Paz;Inquisivi;Ichoca;40 a 49;497;307;190;375;214;161;0;0;0;24;23;1;10;4;6;3;3;0;16;16;0;29;17;12;6;6;0;1;0;1;0;0;0;1;1;0;1;1;0;14;13;1;1;0;1;1;1;0;1;0;1;0;0;0;14;8;6
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4225;2543;Municipio/TIOC;La Paz;Inquisivi;Ichoca;50 a 59;425;256;169;340;189;151;0;0;0;12;12;0;10;5;5;2;2;0;14;13;1;24;16;8;5;5;0;2;1;1;0;0;0;1;1;0;1;1;0;5;5;0;1;1;0;2;2;0;0;0;0;0;0;0;6;3;3
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4226;2544;Municipio/TIOC;La Paz;Inquisivi;Ichoca;60 o más;428;265;163;390;251;139;0;0;0;3;3;0;6;1;5;0;0;0;0;0;0;7;2;5;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2;2;0;0;0;0;1;1;0;3;1;2;0;0;0;14;3;11
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4227;2545;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;Villa Libertad Licoma;1,026;689;337;673;522;151;0;0;0;1;1;0;84;19;65;2;2;0;44;44;0;71;25;46;26;26;0;12;1;11;0;0;0;8;8;0;8;7;1;31;17;14;3;2;1;6;5;1;22;0;22;0;0;0;35;10;25
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4228;2547;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;14 a 19;85;54;31;52;43;9;0;0;0;0;0;0;10;1;9;0;0;0;4;4;0;9;2;7;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;3;3
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4229;2548;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;20 a 29;201;136;65;104;79;25;0;0;0;0;0;0;10;4;6;0;0;0;15;15;0;13;5;8;12;12;0;3;0;3;0;0;0;4;4;0;2;2;0;21;9;12;0;0;0;3;3;0;5;0;5;0;0;0;9;3;6
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 4230;2549;Municipio/TIOC;La Paz;Inquisivi;Villa Libertad Licoma;30 a 39;223;143;80;144;106;38;0;0;0;0;0;0;23;7;16;2;2;0;8;8;0;13;4;9;7;7;0;5;1;4;0;0;0;2;2;0;1;0;1;5;4;1;1;0;1;2;1;1;5;0;5;0;0;0;5;1;4
